DrugId:START_ID(Drug),Relation:TYPE,ProteinId:END_ID(Protein),RelationName,Action
DB00013,DrugToProtein,Q9Y5Y6,Target,Substrate
DB00013,DrugToProtein,P14543,Target,Substrate
DB00013,DrugToProtein,P00747,Target,Ligand
DB00013,DrugToProtein,Q03405,Target,Ligand
DB00013,DrugToProtein,P05121,Target,Ligand
DB00013,DrugToProtein,P05120,Target,Ligand
DB00013,DrugToProtein,P05154,Target,Ligand
DB00013,DrugToProtein,P98164,Target,Ligand
DB00013,DrugToProtein,Q9Y5Y6,Target,Ligand
DB00013,DrugToProtein,P14543,Target,Ligand
DB00014,DrugToProtein,P22888,Target,Agonist
DB00014,DrugToProtein,P30968,Target,Agonist
DB00015,DrugToProtein,P00747,Target,Activator
DB00015,DrugToProtein,P02671,Target,Activator
DB00015,DrugToProtein,P05121,Target,Activator
DB00015,DrugToProtein,P00747,Target,Unknown
DB00015,DrugToProtein,P02671,Target,Unknown
DB00015,DrugToProtein,P05121,Target,Unknown
DB00016,DrugToProtein,P19235,Target,Agonist
DB00017,DrugToProtein,P30988,Target,Agonist
DB00018,DrugToProtein,P17181,Target,Agonist
DB00018,DrugToProtein,P48551,Target,Agonist
DB00019,DrugToProtein,Q99062,Target,Agonist
DB00020,DrugToProtein,P15509,Target,Agonist
DB00020,DrugToProtein,P26951,Target,Agonist
DB00020,DrugToProtein,P32927,Target,Agonist
DB00020,DrugToProtein,P34741,Target,Agonist
DB00020,DrugToProtein,P13727,Target,Agonist
DB00020,DrugToProtein,P15509,Target,Unknown
DB00020,DrugToProtein,P26951,Target,Unknown
DB00020,DrugToProtein,P32927,Target,Unknown
DB00020,DrugToProtein,P34741,Target,Unknown
DB00020,DrugToProtein,P13727,Target,Unknown
DB00022,DrugToProtein,P17181,Target,Agonist
DB00022,DrugToProtein,P48551,Target,Agonist
DB00024,DrugToProtein,P16473,Target,Agonist
DB00025,DrugToProtein,P00742,Target,Activator
DB00025,DrugToProtein,P00740,Target,Activator
DB00025,DrugToProtein,P04275,Target,Activator
DB00025,DrugToProtein,O14832,Target,Activator
DB00025,DrugToProtein,P07307,Target,Activator
DB00025,DrugToProtein,P11021,Target,Activator
DB00025,DrugToProtein,P27797,Target,Activator
DB00025,DrugToProtein,P27824,Target,Activator
DB00025,DrugToProtein,P49257,Target,Activator
DB00025,DrugToProtein,Q07954,Target,Activator
DB00025,DrugToProtein,Q8NI22,Target,Activator
DB00025,DrugToProtein,P00742,Target,Cofactor
DB00025,DrugToProtein,P00740,Target,Cofactor
DB00025,DrugToProtein,P04275,Target,Cofactor
DB00025,DrugToProtein,O14832,Target,Cofactor
DB00025,DrugToProtein,P07307,Target,Cofactor
DB00025,DrugToProtein,P11021,Target,Cofactor
DB00025,DrugToProtein,P27797,Target,Cofactor
DB00025,DrugToProtein,P27824,Target,Cofactor
DB00025,DrugToProtein,P49257,Target,Cofactor
DB00025,DrugToProtein,Q07954,Target,Cofactor
DB00025,DrugToProtein,Q8NI22,Target,Cofactor
DB00025,DrugToProtein,P00742,Target,Binder
DB00025,DrugToProtein,P00740,Target,Binder
DB00025,DrugToProtein,P04275,Target,Binder
DB00025,DrugToProtein,O14832,Target,Binder
DB00025,DrugToProtein,P07307,Target,Binder
DB00025,DrugToProtein,P11021,Target,Binder
DB00025,DrugToProtein,P27797,Target,Binder
DB00025,DrugToProtein,P27824,Target,Binder
DB00025,DrugToProtein,P49257,Target,Binder
DB00025,DrugToProtein,Q07954,Target,Binder
DB00025,DrugToProtein,Q8NI22,Target,Binder
DB00025,DrugToProtein,P00742,Target,Antagonist
DB00025,DrugToProtein,P00740,Target,Antagonist
DB00025,DrugToProtein,P04275,Target,Antagonist
DB00025,DrugToProtein,O14832,Target,Antagonist
DB00025,DrugToProtein,P07307,Target,Antagonist
DB00025,DrugToProtein,P11021,Target,Antagonist
DB00025,DrugToProtein,P27797,Target,Antagonist
DB00025,DrugToProtein,P27824,Target,Antagonist
DB00025,DrugToProtein,P49257,Target,Antagonist
DB00025,DrugToProtein,Q07954,Target,Antagonist
DB00025,DrugToProtein,Q8NI22,Target,Antagonist
DB00025,DrugToProtein,P00742,Target,Chaperone
DB00025,DrugToProtein,P00740,Target,Chaperone
DB00025,DrugToProtein,P04275,Target,Chaperone
DB00025,DrugToProtein,O14832,Target,Chaperone
DB00025,DrugToProtein,P07307,Target,Chaperone
DB00025,DrugToProtein,P11021,Target,Chaperone
DB00025,DrugToProtein,P27797,Target,Chaperone
DB00025,DrugToProtein,P27824,Target,Chaperone
DB00025,DrugToProtein,P49257,Target,Chaperone
DB00025,DrugToProtein,Q07954,Target,Chaperone
DB00025,DrugToProtein,Q8NI22,Target,Chaperone
DB00025,DrugToProtein,P00742,Target,Modulator
DB00025,DrugToProtein,P00740,Target,Modulator
DB00025,DrugToProtein,P04275,Target,Modulator
DB00025,DrugToProtein,O14832,Target,Modulator
DB00025,DrugToProtein,P07307,Target,Modulator
DB00025,DrugToProtein,P11021,Target,Modulator
DB00025,DrugToProtein,P27797,Target,Modulator
DB00025,DrugToProtein,P27824,Target,Modulator
DB00025,DrugToProtein,P49257,Target,Modulator
DB00025,DrugToProtein,Q07954,Target,Modulator
DB00025,DrugToProtein,Q8NI22,Target,Modulator
DB00026,DrugToProtein,P14778,Target,Antagonist
DB00028,DrugToProtein,P12314,Target,Antagonist
DB00028,DrugToProtein,Q92637,Target,Antagonist
DB00028,DrugToProtein,P12318,Target,Antagonist
DB00028,DrugToProtein,P31994,Target,Antagonist
DB00028,DrugToProtein,P31995,Target,Antagonist
DB00028,DrugToProtein,P08637,Target,Antagonist
DB00028,DrugToProtein,O75015,Target,Antagonist
DB00028,DrugToProtein,P01024,Target,Antagonist
DB00028,DrugToProtein,P0C0L4,Target,Antagonist
DB00028,DrugToProtein,P0C0L5,Target,Antagonist
DB00028,DrugToProtein,P01031,Target,Antagonist
DB00028,DrugToProtein,P12314,Target,Binder
DB00028,DrugToProtein,Q92637,Target,Binder
DB00028,DrugToProtein,P12318,Target,Binder
DB00028,DrugToProtein,P31994,Target,Binder
DB00028,DrugToProtein,P31995,Target,Binder
DB00028,DrugToProtein,P08637,Target,Binder
DB00028,DrugToProtein,O75015,Target,Binder
DB00028,DrugToProtein,P01024,Target,Binder
DB00028,DrugToProtein,P0C0L4,Target,Binder
DB00028,DrugToProtein,P0C0L5,Target,Binder
DB00028,DrugToProtein,P01031,Target,Binder
DB00029,DrugToProtein,P00747,Target,Activator
DB00029,DrugToProtein,P02671,Target,Activator
DB00029,DrugToProtein,P05121,Target,Activator
DB00029,DrugToProtein,P00747,Target,Unknown
DB00029,DrugToProtein,P02671,Target,Unknown
DB00029,DrugToProtein,P05121,Target,Unknown
DB00030,DrugToProtein,P06213,Target,Agonist
DB00030,DrugToProtein,P08069,Target,Agonist
DB00030,DrugToProtein,P16870,Target,Agonist
DB00030,DrugToProtein,P48745,Target,Agonist
DB00030,DrugToProtein,P98164,Target,Agonist
DB00030,DrugToProtein,Q16270,Target,Agonist
DB00030,DrugToProtein,P06213,Target,Activator
DB00030,DrugToProtein,P08069,Target,Activator
DB00030,DrugToProtein,P16870,Target,Activator
DB00030,DrugToProtein,P48745,Target,Activator
DB00030,DrugToProtein,P98164,Target,Activator
DB00030,DrugToProtein,Q16270,Target,Activator
DB00030,DrugToProtein,P06213,Target,Modulator
DB00030,DrugToProtein,P08069,Target,Modulator
DB00030,DrugToProtein,P16870,Target,Modulator
DB00030,DrugToProtein,P48745,Target,Modulator
DB00030,DrugToProtein,P98164,Target,Modulator
DB00030,DrugToProtein,Q16270,Target,Modulator
DB00030,DrugToProtein,P06213,Target,Downregulator
DB00030,DrugToProtein,P08069,Target,Downregulator
DB00030,DrugToProtein,P16870,Target,Downregulator
DB00030,DrugToProtein,P48745,Target,Downregulator
DB00030,DrugToProtein,P98164,Target,Downregulator
DB00030,DrugToProtein,Q16270,Target,Downregulator
DB00030,DrugToProtein,P06213,Target,Substrate
DB00030,DrugToProtein,P08069,Target,Substrate
DB00030,DrugToProtein,P16870,Target,Substrate
DB00030,DrugToProtein,P48745,Target,Substrate
DB00030,DrugToProtein,P98164,Target,Substrate
DB00030,DrugToProtein,Q16270,Target,Substrate
DB00030,DrugToProtein,P06213,Target,Inhibitor
DB00030,DrugToProtein,P08069,Target,Inhibitor
DB00030,DrugToProtein,P16870,Target,Inhibitor
DB00030,DrugToProtein,P48745,Target,Inhibitor
DB00030,DrugToProtein,P98164,Target,Inhibitor
DB00030,DrugToProtein,Q16270,Target,Inhibitor
DB00031,DrugToProtein,P00747,Target,Activator
DB00031,DrugToProtein,P02671,Target,Activator
DB00031,DrugToProtein,Q03405,Target,Activator
DB00031,DrugToProtein,P05121,Target,Activator
DB00031,DrugToProtein,P05120,Target,Activator
DB00031,DrugToProtein,P05452,Target,Activator
DB00031,DrugToProtein,P05787,Target,Activator
DB00031,DrugToProtein,P07355,Target,Activator
DB00031,DrugToProtein,P27797,Target,Activator
DB00031,DrugToProtein,P27824,Target,Activator
DB00031,DrugToProtein,Q07954,Target,Activator
DB00031,DrugToProtein,P00747,Target,Unknown
DB00031,DrugToProtein,P02671,Target,Unknown
DB00031,DrugToProtein,Q03405,Target,Unknown
DB00031,DrugToProtein,P05121,Target,Unknown
DB00031,DrugToProtein,P05120,Target,Unknown
DB00031,DrugToProtein,P05452,Target,Unknown
DB00031,DrugToProtein,P05787,Target,Unknown
DB00031,DrugToProtein,P07355,Target,Unknown
DB00031,DrugToProtein,P27797,Target,Unknown
DB00031,DrugToProtein,P27824,Target,Unknown
DB00031,DrugToProtein,Q07954,Target,Unknown
DB00032,DrugToProtein,P23945,Target,Binder
DB00032,DrugToProtein,P22888,Target,Binder
DB00032,DrugToProtein,P23945,Target,Unknown
DB00032,DrugToProtein,P22888,Target,Unknown
DB00033,DrugToProtein,P15260,Target,Binder
DB00033,DrugToProtein,P38484,Target,Binder
DB00034,DrugToProtein,P17181,Target,Unknown
DB00034,DrugToProtein,P48551,Target,Unknown
DB00035,DrugToProtein,P30518,Target,Agonist
DB00035,DrugToProtein,P37288,Target,Agonist
DB00035,DrugToProtein,P47901,Target,Agonist
DB00035,DrugToProtein,P30518,Target,Unknown
DB00035,DrugToProtein,P37288,Target,Unknown
DB00035,DrugToProtein,P47901,Target,Unknown
DB00036,DrugToProtein,P00742,Target,Unknown
DB00036,DrugToProtein,P13726,Target,Unknown
DB00036,DrugToProtein,P10646,Target,Unknown
DB00036,DrugToProtein,P38435,Target,Unknown
DB00036,DrugToProtein,P08709,Target,Unknown
DB00038,DrugToProtein,Q14626,Target,Agonist
DB00039,DrugToProtein,P21802,Target,Agonist
DB00039,DrugToProtein,P11362,Target,Agonist
DB00039,DrugToProtein,P98160,Target,Agonist
DB00039,DrugToProtein,P21802,Target,Ligand
DB00039,DrugToProtein,P11362,Target,Ligand
DB00039,DrugToProtein,P98160,Target,Ligand
DB00040,DrugToProtein,P47871,Target,Agonist
DB00040,DrugToProtein,O95838,Target,Agonist
DB00040,DrugToProtein,P43220,Target,Agonist
DB00041,DrugToProtein,P14784,Target,Agonist
DB00041,DrugToProtein,P01589,Target,Agonist
DB00041,DrugToProtein,P31785,Target,Agonist
DB00042,DrugToProtein,P63027,Target,Binder
DB00042,DrugToProtein,P23763,Target,Binder
DB00042,DrugToProtein,Q8N9I0,Target,Binder
DB00042,DrugToProtein,P63027,Target,Unknown
DB00042,DrugToProtein,P23763,Target,Unknown
DB00042,DrugToProtein,Q8N9I0,Target,Unknown
DB00043,DrugToProtein,P12319,Target,Inhibitor
DB00043,DrugToProtein,Q01362,Target,Inhibitor
DB00044,DrugToProtein,P22888,Target,Agonist
DB00045,DrugToProtein,O60603,Target,Other/unknown
DB00046,DrugToProtein,P06213,Target,Agonist
DB00046,DrugToProtein,P08069,Target,Agonist
DB00046,DrugToProtein,P06213,Target,Activator
DB00046,DrugToProtein,P08069,Target,Activator
DB00047,DrugToProtein,P06213,Target,Agonist
DB00047,DrugToProtein,P08069,Target,Agonist
DB00047,DrugToProtein,P06213,Target,Activator
DB00047,DrugToProtein,P08069,Target,Activator
DB00048,DrugToProtein,P02452,Target,Binder
DB00048,DrugToProtein,P02458,Target,Binder
DB00048,DrugToProtein,P02461,Target,Binder
DB00050,DrugToProtein,P30968,Target,Antagonist
DB00050,DrugToProtein,P22888,Target,Antagonist
DB00050,DrugToProtein,P30968,Target,Unknown
DB00050,DrugToProtein,P22888,Target,Unknown
DB00051,DrugToProtein,P01375,Target,Inhibitor
DB00052,DrugToProtein,P10912,Target,Ligand
DB00052,DrugToProtein,P16471,Target,Ligand
DB00054,DrugToProtein,P05106,Target,Antagonist
DB00054,DrugToProtein,P08514,Target,Antagonist
DB00054,DrugToProtein,P12318,Target,Antagonist
DB00054,DrugToProtein,P31994,Target,Antagonist
DB00054,DrugToProtein,P04004,Target,Antagonist
DB00054,DrugToProtein,P05106,Target,Unknown
DB00054,DrugToProtein,P08514,Target,Unknown
DB00054,DrugToProtein,P12318,Target,Unknown
DB00054,DrugToProtein,P31994,Target,Unknown
DB00054,DrugToProtein,P04004,Target,Unknown
DB00055,DrugToProtein,P00451,Target,Inhibitor
DB00055,DrugToProtein,P12259,Target,Inhibitor
DB00055,DrugToProtein,P05121,Target,Inhibitor
DB00055,DrugToProtein,P07204,Target,Inhibitor
DB00055,DrugToProtein,P07225,Target,Inhibitor
DB00055,DrugToProtein,P00734,Target,Inhibitor
DB00055,DrugToProtein,P02776,Target,Inhibitor
DB00055,DrugToProtein,P05154,Target,Inhibitor
DB00055,DrugToProtein,P35237,Target,Inhibitor
DB00055,DrugToProtein,Q9UNN8,Target,Inhibitor
DB00055,DrugToProtein,P00451,Target,Unknown
DB00055,DrugToProtein,P12259,Target,Unknown
DB00055,DrugToProtein,P05121,Target,Unknown
DB00055,DrugToProtein,P07204,Target,Unknown
DB00055,DrugToProtein,P07225,Target,Unknown
DB00055,DrugToProtein,P00734,Target,Unknown
DB00055,DrugToProtein,P02776,Target,Unknown
DB00055,DrugToProtein,P05154,Target,Unknown
DB00055,DrugToProtein,P35237,Target,Unknown
DB00055,DrugToProtein,Q9UNN8,Target,Unknown
DB00056,DrugToProtein,P20138,Target,Antibody
DB00056,DrugToProtein,O75015,Target,Antibody
DB00056,DrugToProtein,P08637,Target,Antibody
DB00056,DrugToProtein,P12314,Target,Antibody
DB00056,DrugToProtein,P20138,Target,Unknown
DB00056,DrugToProtein,O75015,Target,Unknown
DB00056,DrugToProtein,P08637,Target,Unknown
DB00056,DrugToProtein,P12314,Target,Unknown
DB00058,DrugToProtein,P08246,Target,Inhibitor
DB00060,DrugToProtein,P17181,Target,Agonist
DB00060,DrugToProtein,P48551,Target,Agonist
DB00060,DrugToProtein,P17181,Target,Unknown
DB00060,DrugToProtein,P48551,Target,Unknown
DB00061,DrugToProtein,P62993,Target,Metabolizer
DB00061,DrugToProtein,P62993,Target,Binder
DB00063,DrugToProtein,P05106,Target,Unknown
DB00063,DrugToProtein,Q00975,Target,Unknown
DB00063,DrugToProtein,P05106,Target,Antagonist
DB00063,DrugToProtein,Q00975,Target,Antagonist
DB00065,DrugToProtein,P01375,Target,Inhibitor
DB00066,DrugToProtein,P23945,Target,Agonist
DB00067,DrugToProtein,P30518,Target,Agonist
DB00067,DrugToProtein,P37288,Target,Agonist
DB00067,DrugToProtein,P47901,Target,Agonist
DB00067,DrugToProtein,P30559,Target,Agonist
DB00068,DrugToProtein,P17181,Target,Agonist
DB00068,DrugToProtein,P48551,Target,Agonist
DB00069,DrugToProtein,P17181,Target,Binder
DB00069,DrugToProtein,P48551,Target,Binder
DB00070,DrugToProtein,P01137,Target,Other
DB00070,DrugToProtein,P01137,Target,Inhibitor
DB00071,DrugToProtein,P06213,Target,Binder
DB00071,DrugToProtein,P08069,Target,Binder
DB00071,DrugToProtein,P06213,Target,Unknown
DB00071,DrugToProtein,P08069,Target,Unknown
DB00072,DrugToProtein,P04626,Target,Binder
DB00073,DrugToProtein,P11836,Target,Antibody
DB00074,DrugToProtein,P01589,Target,Antibody
DB00074,DrugToProtein,P14784,Target,Antibody
DB00075,DrugToProtein,P04234,Target,Unknown
DB00075,DrugToProtein,P07766,Target,Unknown
DB00075,DrugToProtein,P09693,Target,Unknown
DB00075,DrugToProtein,P20963,Target,Unknown
DB00075,DrugToProtein,O75015,Target,Unknown
DB00075,DrugToProtein,P04234,Target,Binder
DB00075,DrugToProtein,P07766,Target,Binder
DB00075,DrugToProtein,P09693,Target,Binder
DB00075,DrugToProtein,P20963,Target,Binder
DB00075,DrugToProtein,O75015,Target,Binder
DB00078,DrugToProtein,P11836,Target,Antibody
DB00081,DrugToProtein,P11836,Target,Antibody
DB00081,DrugToProtein,P31994,Target,Antibody
DB00081,DrugToProtein,P11836,Target,Unknown
DB00081,DrugToProtein,P31994,Target,Unknown
DB00082,DrugToProtein,P10912,Target,Antagonist
DB00083,DrugToProtein,P60880,Target,Inhibitor
DB00083,DrugToProtein,P62745,Target,Inhibitor
DB00086,DrugToProtein,P00747,Target,Activator
DB00086,DrugToProtein,P25116,Target,Activator
DB00087,DrugToProtein,P31358,Target,Antibody
DB00087,DrugToProtein,O75015,Target,Antibody
DB00087,DrugToProtein,P08637,Target,Antibody
DB00087,DrugToProtein,P12314,Target,Antibody
DB00087,DrugToProtein,P12318,Target,Antibody
DB00087,DrugToProtein,P31994,Target,Antibody
DB00087,DrugToProtein,P31995,Target,Antibody
DB00087,DrugToProtein,P31358,Target,Binder
DB00087,DrugToProtein,O75015,Target,Binder
DB00087,DrugToProtein,P08637,Target,Binder
DB00087,DrugToProtein,P12314,Target,Binder
DB00087,DrugToProtein,P12318,Target,Binder
DB00087,DrugToProtein,P31994,Target,Binder
DB00087,DrugToProtein,P31995,Target,Binder
DB00089,DrugToProtein,Q04609,Target,Other/unknown
DB00091,DrugToProtein,P49069,Target,Binder
DB00091,DrugToProtein,Q96LZ3,Target,Binder
DB00091,DrugToProtein,P62937,Target,Binder
DB00091,DrugToProtein,P30405,Target,Binder
DB00091,DrugToProtein,P49069,Target,Inhibitor
DB00091,DrugToProtein,Q96LZ3,Target,Inhibitor
DB00091,DrugToProtein,P62937,Target,Inhibitor
DB00091,DrugToProtein,P30405,Target,Inhibitor
DB00092,DrugToProtein,P06729,Target,Inhibitor
DB00092,DrugToProtein,P08637,Target,Inhibitor
DB00092,DrugToProtein,O75015,Target,Inhibitor
DB00092,DrugToProtein,P06729,Target,Unknown
DB00092,DrugToProtein,P08637,Target,Unknown
DB00092,DrugToProtein,O75015,Target,Unknown
DB00093,DrugToProtein,P37288,Target,Agonist
DB00094,DrugToProtein,P23945,Target,Agonist
DB00095,DrugToProtein,P20702,Target,Antibody
DB00095,DrugToProtein,P20701,Target,Antibody
DB00097,DrugToProtein,P22888,Target,Unknown
DB00097,DrugToProtein,P23945,Target,Unknown
DB00097,DrugToProtein,P22888,Target,Binder
DB00097,DrugToProtein,P23945,Target,Binder
DB00098,DrugToProtein,Q95460,Target,Antagonist
DB00098,DrugToProtein,P20701,Target,Antagonist
DB00098,DrugToProtein,P42081,Target,Antagonist
DB00098,DrugToProtein,P31994,Target,Antagonist
DB00098,DrugToProtein,P01730,Target,Antagonist
DB00098,DrugToProtein,P05556,Target,Antagonist
DB00098,DrugToProtein,P06756,Target,Antagonist
DB00098,DrugToProtein,P05106,Target,Antagonist
DB00098,DrugToProtein,P06126,Target,Antagonist
DB00098,DrugToProtein,Q95460,Target,Unknown
DB00098,DrugToProtein,P20701,Target,Unknown
DB00098,DrugToProtein,P42081,Target,Unknown
DB00098,DrugToProtein,P31994,Target,Unknown
DB00098,DrugToProtein,P01730,Target,Unknown
DB00098,DrugToProtein,P05556,Target,Unknown
DB00098,DrugToProtein,P06756,Target,Unknown
DB00098,DrugToProtein,P05106,Target,Unknown
DB00098,DrugToProtein,P06126,Target,Unknown
DB00098,DrugToProtein,Q95460,Target,Binder
DB00098,DrugToProtein,P20701,Target,Binder
DB00098,DrugToProtein,P42081,Target,Binder
DB00098,DrugToProtein,P31994,Target,Binder
DB00098,DrugToProtein,P01730,Target,Binder
DB00098,DrugToProtein,P05556,Target,Binder
DB00098,DrugToProtein,P06756,Target,Binder
DB00098,DrugToProtein,P05106,Target,Binder
DB00098,DrugToProtein,P06126,Target,Binder
DB00098,DrugToProtein,Q95460,Target,Inhibitor
DB00098,DrugToProtein,P20701,Target,Inhibitor
DB00098,DrugToProtein,P42081,Target,Inhibitor
DB00098,DrugToProtein,P31994,Target,Inhibitor
DB00098,DrugToProtein,P01730,Target,Inhibitor
DB00098,DrugToProtein,P05556,Target,Inhibitor
DB00098,DrugToProtein,P06756,Target,Inhibitor
DB00098,DrugToProtein,P05106,Target,Inhibitor
DB00098,DrugToProtein,P06126,Target,Inhibitor
DB00099,DrugToProtein,Q99062,Target,Stimulator
DB00100,DrugToProtein,P00742,Target,Activator
DB00100,DrugToProtein,P03951,Target,Activator
DB00100,DrugToProtein,P08709,Target,Activator
DB00100,DrugToProtein,P00451,Target,Activator
DB00100,DrugToProtein,P00734,Target,Activator
DB00100,DrugToProtein,Q07954,Target,Activator
DB00100,DrugToProtein,P38435,Target,Activator
DB00100,DrugToProtein,P00742,Target,Ligand
DB00100,DrugToProtein,P03951,Target,Ligand
DB00100,DrugToProtein,P08709,Target,Ligand
DB00100,DrugToProtein,P00451,Target,Ligand
DB00100,DrugToProtein,P00734,Target,Ligand
DB00100,DrugToProtein,Q07954,Target,Ligand
DB00100,DrugToProtein,P38435,Target,Ligand
DB00100,DrugToProtein,P00742,Target,Cofactor
DB00100,DrugToProtein,P03951,Target,Cofactor
DB00100,DrugToProtein,P08709,Target,Cofactor
DB00100,DrugToProtein,P00451,Target,Cofactor
DB00100,DrugToProtein,P00734,Target,Cofactor
DB00100,DrugToProtein,Q07954,Target,Cofactor
DB00100,DrugToProtein,P38435,Target,Cofactor
DB00100,DrugToProtein,P00742,Target,Unknown
DB00100,DrugToProtein,P03951,Target,Unknown
DB00100,DrugToProtein,P08709,Target,Unknown
DB00100,DrugToProtein,P00451,Target,Unknown
DB00100,DrugToProtein,P00734,Target,Unknown
DB00100,DrugToProtein,Q07954,Target,Unknown
DB00100,DrugToProtein,P38435,Target,Unknown
DB00102,DrugToProtein,P09619,Target,Unknown
DB00102,DrugToProtein,P16234,Target,Unknown
DB00102,DrugToProtein,P01023,Target,Unknown
DB00105,DrugToProtein,P48551,Target,Binder
DB00105,DrugToProtein,P17181,Target,Binder
DB00106,DrugToProtein,P30968,Target,Antagonist
DB00107,DrugToProtein,P30559,Target,Agonist
DB00108,DrugToProtein,P13612,Target,Antibody
DB00108,DrugToProtein,O75015,Target,Antibody
DB00108,DrugToProtein,P12314,Target,Antibody
DB00108,DrugToProtein,P05362,Target,Antibody
DB00108,DrugToProtein,P13612,Target,Ligand
DB00108,DrugToProtein,O75015,Target,Ligand
DB00108,DrugToProtein,P12314,Target,Ligand
DB00108,DrugToProtein,P05362,Target,Ligand
DB00110,DrugToProtein,O75015,Target,Unknown
