GoId:ID(GO),GoTermName,GoTermType,:LABEL
126,Transcription factor tfiiib complex,Cellular_component,GO
127,Transcription factor tfiiic complex,Cellular_component,GO
128,Flocculation,Biological_process,GO
131,Incipient cellular bud site,Cellular_component,GO
132,Establishment of mitotic spindle orientation,Biological_process,GO
133,Polarisome,Cellular_component,GO
136,Mannan polymerase complex,Cellular_component,GO
137,Golgi cis cisterna,Cellular_component,GO
138,Golgi trans cisterna,Cellular_component,GO
139,Golgi membrane,Cellular_component,GO
140,Acylglycerone-phosphate reductase (nadp+) activity,Molecular_function,GO
142,Cellular bud neck contractile ring,Cellular_component,GO
144,Cellular bud neck septin ring,Cellular_component,GO
145,Exocyst,Cellular_component,GO
146,Microfilament motor activity,Molecular_function,GO
147,Actin cortical patch assembly,Biological_process,GO
148,"1,3-beta-d-glucan synthase complex",Cellular_component,GO
149,Snare binding,Molecular_function,GO
150,Dna strand exchange activity,Molecular_function,GO
151,Ubiquitin ligase complex,Cellular_component,GO
152,Nuclear ubiquitin ligase complex,Cellular_component,GO
153,Cytoplasmic ubiquitin ligase complex,Cellular_component,GO
154,Rrna modification,Biological_process,GO
155,Phosphorelay sensor kinase activity,Molecular_function,GO
156,Phosphorelay response regulator activity,Molecular_function,GO
159,Protein phosphatase type 2a complex,Cellular_component,GO
160,Phosphorelay signal transduction system,Biological_process,GO
162,Tryptophan biosynthetic process,Biological_process,GO
164,Protein phosphatase type 1 complex,Cellular_component,GO
165,Mapk cascade,Biological_process,GO
166,Nucleotide binding,Molecular_function,GO
170,Sphingosine hydroxylase activity,Molecular_function,GO
171,Ribonuclease mrp activity,Molecular_function,GO
172,Ribonuclease mrp complex,Cellular_component,GO
175,3'-5'-rna exonuclease activity,Molecular_function,GO
176,Nuclear exosome (rnase complex),Cellular_component,GO
177,Cytoplasmic exosome (rnase complex),Cellular_component,GO
178,Exosome (rnase complex),Cellular_component,GO
179,"Rrna (adenine-n6,n6-)-dimethyltransferase activity",Molecular_function,GO
182,Rdna binding,Molecular_function,GO
183,Rdna heterochromatin formation,Biological_process,GO
184,"Nuclear-transcribed mrna catabolic process, nonsense-mediated decay",Biological_process,GO
196,Cell wall integrity mapk cascade,Biological_process,GO
209,Protein polyubiquitination,Biological_process,GO
210,Nad+ diphosphatase activity,Molecular_function,GO
212,Meiotic spindle organization,Biological_process,GO
213,Trna-intron endonuclease activity,Molecular_function,GO
214,Trna-intron endonuclease complex,Cellular_component,GO
215,Trna 2'-phosphotransferase activity,Molecular_function,GO
217,Dna secondary structure binding,Molecular_function,GO
220,"Vacuolar proton-transporting v-type atpase, v0 domain",Cellular_component,GO
221,"Vacuolar proton-transporting v-type atpase, v1 domain",Cellular_component,GO
222,"Plasma membrane proton-transporting v-type atpase, v0 domain",Cellular_component,GO
223,"Plasma membrane proton-transporting v-type atpase, v1 domain",Cellular_component,GO
224,Peptide-n4-(n-acetyl-beta-glucosaminyl)asparagine amidase activity,Molecular_function,GO
225,N-acetylglucosaminylphosphatidylinositol deacetylase activity,Molecular_function,GO
226,Microtubule cytoskeleton organization,Biological_process,GO
228,Nuclear chromosome,Cellular_component,GO
234,Phosphoethanolamine n-methyltransferase activity,Molecular_function,GO
235,Astral microtubule,Cellular_component,GO
236,Mitotic prometaphase,Biological_process,GO
237,Leptotene,Biological_process,GO
238,Zygotene,Biological_process,GO
239,Pachytene,Biological_process,GO
240,Diplotene,Biological_process,GO
241,Diakinesis,Biological_process,GO
242,Pericentriolar material,Cellular_component,GO
243,Commitment complex,Cellular_component,GO
244,Spliceosomal tri-snrnp complex assembly,Biological_process,GO
245,Spliceosomal complex assembly,Biological_process,GO
246,Delta24(24-1) sterol reductase activity,Molecular_function,GO
247,C-8 sterol isomerase activity,Molecular_function,GO
248,C-5 sterol desaturase activity,Molecular_function,GO
249,C-22 sterol desaturase (nadph) activity,Molecular_function,GO
250,Lanosterol synthase activity,Molecular_function,GO
252,C-3 sterol dehydrogenase (c-4 sterol decarboxylase) activity,Molecular_function,GO
253,3-keto sterol reductase activity,Molecular_function,GO
254,C-4 methylsterol oxidase activity,Molecular_function,GO
255,Allantoin metabolic process,Biological_process,GO
256,Allantoin catabolic process,Biological_process,GO
257,Nitrilase activity,Molecular_function,GO
262,Mitochondrial chromosome,Cellular_component,GO
266,Mitochondrial fission,Biological_process,GO
268,Peroxisome targeting sequence binding,Molecular_function,GO
269,Toxin export channel activity,Molecular_function,GO
270,Peptidoglycan metabolic process,Biological_process,GO
271,Polysaccharide biosynthetic process,Biological_process,GO
272,Polysaccharide catabolic process,Biological_process,GO
274,"Mitochondrial proton-transporting atp synthase, stator stalk",Cellular_component,GO
275,"Mitochondrial proton-transporting atp synthase complex, catalytic sector f(1)",Cellular_component,GO
276,"Mitochondrial proton-transporting atp synthase complex, coupling factor f(o)",Cellular_component,GO
277,[cytochrome c]-lysine n-methyltransferase activity,Molecular_function,GO
278,Mitotic cell cycle,Biological_process,GO
279,M phase,Biological_process,GO
280,Nuclear division,Biological_process,GO
281,Mitotic cytokinesis,Biological_process,GO
282,Cellular bud site selection,Biological_process,GO
285,1-phosphatidylinositol-3-phosphate 5-kinase activity,Molecular_function,GO
286,Alanine dehydrogenase activity,Molecular_function,GO
287,Magnesium ion binding,Molecular_function,GO
288,"Nuclear-transcribed mrna catabolic process, deadenylation-dependent decay",Biological_process,GO
289,Nuclear-transcribed mrna poly(a) tail shortening,Biological_process,GO
290,Deadenylation-dependent decapping of nuclear-transcribed mrna,Biological_process,GO
292,Rna fragment catabolic process,Biological_process,GO
293,Ferric-chelate reductase activity,Molecular_function,GO
294,"Nuclear-transcribed mrna catabolic process, rnase mrp-dependent",Biological_process,GO
295,Adenine nucleotide transmembrane transporter activity,Molecular_function,GO
296,Spermine transport,Biological_process,GO
297,Spermine transmembrane transporter activity,Molecular_function,GO
298,Endopolyphosphatase activity,Molecular_function,GO
301,"Retrograde transport, vesicle recycling within golgi",Biological_process,GO
302,Response to reactive oxygen species,Biological_process,GO
303,Response to superoxide,Biological_process,GO
304,Response to singlet oxygen,Biological_process,GO
305,Response to oxygen radical,Biological_process,GO
307,Cyclin-dependent protein kinase holoenzyme complex,Cellular_component,GO
308,Cytoplasmic cyclin-dependent protein kinase holoenzyme complex,Cellular_component,GO
309,Nicotinamide-nucleotide adenylyltransferase activity,Molecular_function,GO
310,Xanthine phosphoribosyltransferase activity,Molecular_function,GO
311,Plastid large ribosomal subunit,Cellular_component,GO
312,Plastid small ribosomal subunit,Cellular_component,GO
313,Organellar ribosome,Cellular_component,GO
314,Organellar small ribosomal subunit,Cellular_component,GO
315,Organellar large ribosomal subunit,Cellular_component,GO
316,Sulfite transport,Biological_process,GO
319,Sulfite transmembrane transporter activity,Molecular_function,GO
320,Re-entry into mitotic cell cycle,Biological_process,GO
321,Re-entry into mitotic cell cycle after pheromone arrest,Biological_process,GO
322,Storage vacuole,Cellular_component,GO
323,Lytic vacuole,Cellular_component,GO
324,Fungal-type vacuole,Cellular_component,GO
325,Plant-type vacuole,Cellular_component,GO
326,Protein storage vacuole,Cellular_component,GO
327,Lytic vacuole within protein storage vacuole,Cellular_component,GO
328,Fungal-type vacuole lumen,Cellular_component,GO
329,Fungal-type vacuole membrane,Cellular_component,GO
330,Plant-type vacuole lumen,Cellular_component,GO
331,Contractile vacuole,Cellular_component,GO
332,Template for synthesis of g-rich strand of telomere dna activity,Molecular_function,GO
333,Telomerase catalytic core complex,Cellular_component,GO
334,"3-hydroxyanthranilate 3,4-dioxygenase activity",Molecular_function,GO
338,Protein deneddylation,Biological_process,GO
339,Rna cap binding,Molecular_function,GO
340,Rna 7-methylguanosine cap binding,Molecular_function,GO
341,Rna trimethylguanosine cap binding,Molecular_function,GO
342,Rna cap 4 binding,Molecular_function,GO
343,Plastid-encoded plastid rna polymerase complex a,Cellular_component,GO
344,Plastid-encoded plastid rna polymerase complex b,Cellular_component,GO
345,Cytosolic dna-directed rna polymerase complex,Cellular_component,GO
346,Transcription export complex,Cellular_component,GO
347,Tho complex,Cellular_component,GO
348,Mrna branch site recognition,Biological_process,GO
349,Generation of catalytic spliceosome for first transesterification step,Biological_process,GO
350,Generation of catalytic spliceosome for second transesterification step,Biological_process,GO
352,Trans assembly of sl-containing precatalytic spliceosome,Biological_process,GO
353,Formation of quadruple sl/u4/u5/u6 snrnp,Biological_process,GO
354,Cis assembly of pre-catalytic spliceosome,Biological_process,GO
365,"Mrna trans splicing, via spliceosome",Biological_process,GO
366,Intergenic mrna trans splicing,Biological_process,GO
372,Group i intron splicing,Biological_process,GO
373,Group ii intron splicing,Biological_process,GO
374,Group iii intron splicing,Biological_process,GO
375,"Rna splicing, via transesterification reactions",Biological_process,GO
376,"Rna splicing, via transesterification reactions with guanosine as nucleophile",Biological_process,GO
377,"Rna splicing, via transesterification reactions with bulged adenosine as nucleophile",Biological_process,GO
378,Rna exon ligation,Biological_process,GO
379,Trna-type intron splice site recognition and cleavage,Biological_process,GO
380,"Alternative mrna splicing, via spliceosome",Biological_process,GO
381,"Regulation of alternative mrna splicing, via spliceosome",Biological_process,GO
384,First spliceosomal transesterification activity,Molecular_function,GO
386,Second spliceosomal transesterification activity,Molecular_function,GO
387,Spliceosomal snrnp assembly,Biological_process,GO
388,Spliceosome conformational change to release u4 (or u4atac) and u1 (or u11),Biological_process,GO
389,Mrna 3'-splice site recognition,Biological_process,GO
390,Spliceosomal complex disassembly,Biological_process,GO
393,Spliceosomal conformational changes to generate catalytic conformation,Biological_process,GO
394,"Rna splicing, via endonucleolytic cleavage and ligation",Biological_process,GO
395,Mrna 5'-splice site recognition,Biological_process,GO
398,"Mrna splicing, via spliceosome",Biological_process,GO
399,Cellular bud neck septin structure,Cellular_component,GO
400,Four-way junction dna binding,Molecular_function,GO
401,Open form four-way junction dna binding,Molecular_function,GO
402,Crossed form four-way junction dna binding,Molecular_function,GO
403,Y-form dna binding,Molecular_function,GO
404,Heteroduplex dna loop binding,Molecular_function,GO
405,Bubble dna binding,Molecular_function,GO
406,Double-strand/single-strand dna junction binding,Molecular_function,GO
407,Phagophore assembly site,Cellular_component,GO
408,Ekc/keops complex,Cellular_component,GO
409,Regulation of transcription by galactose,Biological_process,GO
410,Carbon catabolite repression of transcription by galactose,Biological_process,GO
411,Positive regulation of transcription by galactose,Biological_process,GO
413,Protein peptidyl-prolyl isomerization,Biological_process,GO
417,Hir complex,Cellular_component,GO
418,Rna polymerase iv complex,Cellular_component,GO
419,Rna polymerase v complex,Cellular_component,GO
421,Autophagosome membrane,Cellular_component,GO
422,Autophagy of mitochondrion,Biological_process,GO
423,Mitophagy,Biological_process,GO
424,Micromitophagy,Biological_process,GO
425,Pexophagy,Biological_process,GO
426,Micropexophagy,Biological_process,GO
427,Plastid-encoded plastid rna polymerase complex,Cellular_component,GO
428,Dna-directed rna polymerase complex,Cellular_component,GO
429,Carbon catabolite regulation of transcription from rna polymerase ii promoter,Biological_process,GO
430,Regulation of transcription from rna polymerase ii promoter by glucose,Biological_process,GO
431,Regulation of transcription from rna polymerase ii promoter by galactose,Biological_process,GO
432,Positive regulation of transcription from rna polymerase ii promoter by glucose,Biological_process,GO
433,Carbon catabolite repression of transcription from rna polymerase ii promoter by glucose,Biological_process,GO
434,Carbon catabolite repression of transcription from rna polymerase ii promoter by galactose,Biological_process,GO
435,Positive regulation of transcription from rna polymerase ii promoter by galactose,Biological_process,GO
436,Carbon catabolite activation of transcription from rna polymerase ii promoter,Biological_process,GO
437,Carbon catabolite repression of transcription from rna polymerase ii promoter,Biological_process,GO
438,Core tfiih complex portion of holo tfiih complex,Cellular_component,GO
439,Transcription factor tfiih core complex,Cellular_component,GO
440,Core tfiih complex portion of nef3 complex,Cellular_component,GO
444,Mis12/mind type complex,Cellular_component,GO
445,Tho complex part of transcription export complex,Cellular_component,GO
446,Nucleoplasmic tho complex,Cellular_component,GO
447,"Endonucleolytic cleavage in its1 to separate ssu-rrna from 5.8s rrna and lsu-rrna from tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
448,"Cleavage in its2 between 5.8s rrna and lsu-rrna of tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
449,"Endonucleolytic cleavage of tricistronic rrna transcript (ssu-rrna, lsu-rrna, 5s)",Biological_process,GO
450,"Cleavage of bicistronic rrna transcript (ssu-rrna, lsu-rrna)",Biological_process,GO
451,Rrna 2'-o-methylation,Biological_process,GO
452,Snorna guided rrna 2'-o-methylation,Biological_process,GO
454,Snorna guided rrna pseudouridine synthesis,Biological_process,GO
455,Enzyme-directed rrna pseudouridine synthesis,Biological_process,GO
457,"Endonucleolytic cleavage between ssu-rrna and lsu-rrna of tricistronic rrna transcript (ssu-rrna, lsu-rrna, 5s)",Biological_process,GO
458,"Endonucleolytic cleavage between lsu-rrna and 5s rrna of tricistronic rrna transcript (ssu-rrna, lsu-rrna, 5s)",Biological_process,GO
460,Maturation of 5.8s rrna,Biological_process,GO
461,"Endonucleolytic cleavage to generate mature 3'-end of ssu-rrna from (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
462,"Maturation of ssu-rrna from tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
463,"Maturation of lsu-rrna from tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
464,"Endonucleolytic cleavage in its1 upstream of 5.8s rrna from tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
465,"Exonucleolytic trimming to generate mature 5'-end of 5.8s rrna from tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
466,"Maturation of 5.8s rrna from tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
467,"Exonucleolytic trimming to generate mature 3'-end of 5.8s rrna from tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
468,"Generation of mature 3'-end of lsu-rrna from tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
470,Maturation of lsu-rrna,Biological_process,GO
471,"Endonucleolytic cleavage in 3'-ets of tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
472,"Endonucleolytic cleavage to generate mature 5'-end of ssu-rrna from (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
473,"Maturation of lsu-rrna from tetracistronic rrna transcript (ssu-rrna, 5.8s rrna, 2s rrna, lsu-rrna)",Biological_process,GO
474,"Maturation of ssu-rrna from tetracistronic rrna transcript (ssu-rrna, 5.8s rrna, 2s rrna, lsu-rrna)",Biological_process,GO
475,Maturation of 2s rrna,Biological_process,GO
476,Maturation of 4.5s rrna,Biological_process,GO
477,"Generation of mature 5'-end of lsu-rrna from tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
479,"Endonucleolytic cleavage of tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
480,"Endonucleolytic cleavage in 5'-ets of tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
481,Maturation of 5s rrna,Biological_process,GO
482,"Maturation of 5s rrna from tetracistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",Biological_process,GO
483,"Endonucleolytic cleavage of tetracistronic rrna transcript (ssu-rrna, 5.8s rrna, 2s rrna, lsu-rrna)",Biological_process,GO
484,"Cleavage between ssu-rrna and 5.8s rrna of tetracistronic rrna transcript (ssu-rrna, 5.8s rrna, 2s rrna, lsu-rrna)",Biological_process,GO
485,"Cleavage between 2s rrna and lsu-rrna of tetracistronic rrna transcript (ssu-rrna, 5.8s rrna, 2s rrna, lsu-rrna)",Biological_process,GO
486,"Cleavage between 5.8s rrna and 2s rrna of tetracistronic rrna transcript (ssu-rrna, 5.8s rrna, 2s rrna, lsu-rrna)",Biological_process,GO
487,"Maturation of 5.8s rrna from tetracistronic rrna transcript (ssu-rrna, 5.8s rrna, 2s rrna, lsu-rrna)",Biological_process,GO
488,"Maturation of lsu-rrna from tetracistronic rrna transcript (ssu-rrna, lsu-rrna, 4.5s-rrna, 5s-rrna)",Biological_process,GO
489,"Maturation of ssu-rrna from tetracistronic rrna transcript (ssu-rrna, lsu-rrna, 4.5s-rrna, 5s-rrna)",Biological_process,GO
491,Small nucleolar ribonucleoprotein complex assembly,Biological_process,GO
492,Box c/d snornp assembly,Biological_process,GO
493,Box h/aca snornp assembly,Biological_process,GO
494,Box c/d sno(s)rna 3'-end processing,Biological_process,GO
495,Box h/aca sno(s)rna 3'-end processing,Biological_process,GO
497,Dna template activity,Molecular_function,GO
500,Rna polymerase i upstream activating factor complex,Cellular_component,GO
502,Proteasome complex,Cellular_component,GO
506,Glycosylphosphatidylinositol-n-acetylglucosaminyltransferase (gpi-gnt) complex,Cellular_component,GO
510,H3-h4 histone complex chaperone activity,Molecular_function,GO
511,H2a-h2b histone complex chaperone activity,Molecular_function,GO
512,Lncrna-mediated post-transcriptional gene silencing,Biological_process,GO
513,Actin severing activator activity,Molecular_function,GO
514,"3-sulfino-l-alanine: proton, glutamate antiporter activity",Molecular_function,GO
515,"Aspartate:glutamate, proton antiporter activity",Molecular_function,GO
578,Embryonic axis specification,Biological_process,GO
700,Mismatch base pair dna n-glycosylase activity,Molecular_function,GO
701,Purine-specific mismatch base pair dna n-glycosylase activity,Molecular_function,GO
702,Oxidized base lesion dna n-glycosylase activity,Molecular_function,GO
703,Oxidized pyrimidine nucleobase lesion dna n-glycosylase activity,Molecular_function,GO
704,Pyrimidine dimer dna n-glycosylase activity,Molecular_function,GO
705,Achiasmate meiosis i,Biological_process,GO
706,Meiotic dna double-strand break processing,Biological_process,GO
707,Meiotic dna recombinase assembly,Biological_process,GO
708,Meiotic strand invasion,Biological_process,GO
709,Meiotic joint molecule formation,Biological_process,GO
710,Meiotic mismatch repair,Biological_process,GO
711,Meiotic dna repair synthesis,Biological_process,GO
712,Resolution of meiotic recombination intermediates,Biological_process,GO
713,Meiotic heteroduplex formation,Biological_process,GO
714,Meiotic strand displacement,Biological_process,GO
715,"Nucleotide-excision repair, dna damage recognition",Biological_process,GO
716,"Transcription-coupled nucleotide-excision repair, dna damage recognition",Biological_process,GO
717,"Nucleotide-excision repair, dna duplex unwinding",Biological_process,GO
718,"Nucleotide-excision repair, dna damage removal",Biological_process,GO
719,Photoreactive repair,Biological_process,GO
720,Pyrimidine dimer repair by nucleotide-excision repair,Biological_process,GO
721,"(r,r)-butanediol dehydrogenase activity",Molecular_function,GO
722,Telomere maintenance via recombination,Biological_process,GO
723,Telomere maintenance,Biological_process,GO
724,Double-strand break repair via homologous recombination,Biological_process,GO
725,Recombinational repair,Biological_process,GO
727,Double-strand break repair via break-induced replication,Biological_process,GO
729,Dna double-strand break processing,Biological_process,GO
730,Dna recombinase assembly,Biological_process,GO
731,Dna synthesis involved in dna repair,Biological_process,GO
732,Dna strand displacement,Biological_process,GO
735,Removal of nonhomologous ends,Biological_process,GO
736,"Double-strand break repair via single-strand annealing, removal of nonhomologous ends",Biological_process,GO
740,Nuclear membrane fusion,Biological_process,GO
741,Karyogamy,Biological_process,GO
742,Karyogamy involved in conjugation with cellular fusion,Biological_process,GO
743,Nuclear migration involved in conjugation with cellular fusion,Biological_process,GO
744,Karyogamy involved in conjugation with mutual genetic exchange,Biological_process,GO
745,Nuclear migration involved in conjugation with mutual genetic exchange,Biological_process,GO
747,Conjugation with cellular fusion,Biological_process,GO
748,Conjugation with mutual genetic exchange,Biological_process,GO
749,Response to pheromone triggering conjugation with cellular fusion,Biological_process,GO
750,Pheromone-dependent signal transduction involved in conjugation with cellular fusion,Biological_process,GO
751,Mitotic cell cycle g1 arrest in response to pheromone,Biological_process,GO
752,Agglutination involved in conjugation with cellular fusion,Biological_process,GO
753,Cell morphogenesis involved in conjugation with cellular fusion,Biological_process,GO
754,Adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion,Biological_process,GO
755,Cytogamy,Biological_process,GO
756,Response to pheromone regulating conjugation with mutual genetic exchange,Biological_process,GO
758,Agglutination involved in conjugation with mutual genetic exchange,Biological_process,GO
760,Adaptation to pheromone regulating conjugation with mutual genetic exchange,Biological_process,GO
761,Conjugant formation,Biological_process,GO
762,Pheromone-induced unidirectional conjugation,Biological_process,GO
765,Response to pheromone regulating pheromone-induced unidirectional conjugation,Biological_process,GO
766,Negative adaptation of signaling pathway by response to pheromone involved in pheromone-induced unidirectional conjugation,Biological_process,GO
768,Syncytium formation by plasma membrane fusion,Biological_process,GO
769,Syncytium formation by mitosis without cytokinesis,Biological_process,GO
770,Peptide pheromone export,Biological_process,GO
772,Mating pheromone activity,Molecular_function,GO
773,Phosphatidyl-n-methylethanolamine n-methyltransferase activity,Molecular_function,GO
774,Adenyl-nucleotide exchange factor activity,Molecular_function,GO
775,"Chromosome, centromeric region",Cellular_component,GO
776,Kinetochore,Cellular_component,GO
779,"Condensed chromosome, centromeric region",Cellular_component,GO
781,"Chromosome, telomeric region",Cellular_component,GO
782,Telomere cap complex,Cellular_component,GO
783,Nuclear telomere cap complex,Cellular_component,GO
785,Chromatin,Cellular_component,GO
786,Nucleosome,Cellular_component,GO
791,Euchromatin,Cellular_component,GO
792,Heterochromatin,Cellular_component,GO
793,Condensed chromosome,Cellular_component,GO
794,Condensed nuclear chromosome,Cellular_component,GO
795,Synaptonemal complex,Cellular_component,GO
796,Condensin complex,Cellular_component,GO
800,Lateral element,Cellular_component,GO
801,Central element,Cellular_component,GO
802,Transverse filament,Cellular_component,GO
803,Sex chromosome,Cellular_component,GO
804,W chromosome,Cellular_component,GO
805,X chromosome,Cellular_component,GO
806,Y chromosome,Cellular_component,GO
807,Z chromosome,Cellular_component,GO
808,Origin recognition complex,Cellular_component,GO
809,Cytoplasmic origin of replication recognition complex,Cellular_component,GO
810,Diacylglycerol diphosphate phosphatase activity,Molecular_function,GO
811,Gins complex,Cellular_component,GO
812,Swr1 complex,Cellular_component,GO
813,Escrt i complex,Cellular_component,GO
814,Escrt ii complex,Cellular_component,GO
815,Escrt iii complex,Cellular_component,GO
817,Coma complex,Cellular_component,GO
819,Sister chromatid segregation,Biological_process,GO
820,Regulation of glutamine family amino acid metabolic process,Biological_process,GO
821,Regulation of arginine metabolic process,Biological_process,GO
822,Inositol hexakisphosphate binding,Molecular_function,GO
823,"Inositol-1,4,5-trisphosphate 6-kinase activity",Molecular_function,GO
824,Inositol tetrakisphosphate 3-kinase activity,Molecular_function,GO
825,Inositol tetrakisphosphate 6-kinase activity,Molecular_function,GO
827,"Inositol-1,3,4,5,6-pentakisphosphate kinase activity",Molecular_function,GO
828,Inositol hexakisphosphate kinase activity,Molecular_function,GO
829,Inositol heptakisphosphate kinase activity,Molecular_function,GO
830,Inositol hexakisphosphate 4-kinase activity,Molecular_function,GO
831,Inositol hexakisphosphate 6-kinase activity,Molecular_function,GO
832,Inositol hexakisphosphate 5-kinase activity,Molecular_function,GO
833,Inositol heptakisphosphate 4-kinase activity,Molecular_function,GO
834,Inositol heptakisphosphate 6-kinase activity,Molecular_function,GO
835,Er ubiquitin ligase complex,Cellular_component,GO
836,Hrd1p ubiquitin ligase complex,Cellular_component,GO
837,Doa10p ubiquitin ligase complex,Cellular_component,GO
838,Hrd1p ubiquitin ligase erad-m complex,Cellular_component,GO
839,Hrd1p ubiquitin ligase erad-l complex,Cellular_component,GO
