PathwayId:START_ID(Pathway),Relation:TYPE,PathwayId:END_ID(Pathway),RelationName
R-HSA-111933,PathwayToPathway,R-HSA-111957,Is parent of
R-HSA-111996,PathwayToPathway,R-HSA-111995,Is parent of
R-HSA-111996,PathwayToPathway,R-HSA-111997,Is parent of
R-HSA-111997,PathwayToPathway,R-HSA-111933,Is parent of
R-HSA-112040,PathwayToPathway,R-HSA-112043,Is parent of
R-HSA-112040,PathwayToPathway,R-HSA-170660,Is parent of
R-HSA-112040,PathwayToPathway,R-HSA-170670,Is parent of
R-HSA-112043,PathwayToPathway,R-HSA-111996,Is parent of
R-HSA-112307,PathwayToPathway,R-HSA-112303,Is parent of
R-HSA-112310,PathwayToPathway,R-HSA-181429,Is parent of
R-HSA-112310,PathwayToPathway,R-HSA-181430,Is parent of
R-HSA-112310,PathwayToPathway,R-HSA-210500,Is parent of
R-HSA-112310,PathwayToPathway,R-HSA-212676,Is parent of
R-HSA-112310,PathwayToPathway,R-HSA-264642,Is parent of
R-HSA-112310,PathwayToPathway,R-HSA-888590,Is parent of
R-HSA-112311,PathwayToPathway,R-HSA-379401,Is parent of
R-HSA-112311,PathwayToPathway,R-HSA-380615,Is parent of
R-HSA-112313,PathwayToPathway,R-HSA-210455,Is parent of
R-HSA-112314,PathwayToPathway,R-HSA-181431,Is parent of
R-HSA-112314,PathwayToPathway,R-HSA-399721,Is parent of
R-HSA-112314,PathwayToPathway,R-HSA-442755,Is parent of
R-HSA-112314,PathwayToPathway,R-HSA-451326,Is parent of
R-HSA-112314,PathwayToPathway,R-HSA-977443,Is parent of
R-HSA-112315,PathwayToPathway,R-HSA-112308,Is parent of
R-HSA-112315,PathwayToPathway,R-HSA-112310,Is parent of
R-HSA-112315,PathwayToPathway,R-HSA-112311,Is parent of
R-HSA-112315,PathwayToPathway,R-HSA-112313,Is parent of
R-HSA-112315,PathwayToPathway,R-HSA-112314,Is parent of
R-HSA-112316,PathwayToPathway,R-HSA-112307,Is parent of
R-HSA-112316,PathwayToPathway,R-HSA-112315,Is parent of
R-HSA-112316,PathwayToPathway,R-HSA-1296071,Is parent of
R-HSA-112316,PathwayToPathway,R-HSA-6794362,Is parent of
R-HSA-112399,PathwayToPathway,R-HSA-109704,Is parent of
R-HSA-112399,PathwayToPathway,R-HSA-112412,Is parent of
R-HSA-112409,PathwayToPathway,R-HSA-110056,Is parent of
R-HSA-112409,PathwayToPathway,R-HSA-112411,Is parent of
R-HSA-113510,PathwayToPathway,R-HSA-113501,Is parent of
R-HSA-113510,PathwayToPathway,R-HSA-113507,Is parent of
R-HSA-114452,PathwayToPathway,R-HSA-111446,Is parent of
R-HSA-114452,PathwayToPathway,R-HSA-111447,Is parent of
R-HSA-114452,PathwayToPathway,R-HSA-111448,Is parent of
R-HSA-114452,PathwayToPathway,R-HSA-139910,Is parent of
R-HSA-114452,PathwayToPathway,R-HSA-139915,Is parent of
R-HSA-114508,PathwayToPathway,R-HSA-426048,Is parent of
R-HSA-1168372,PathwayToPathway,R-HSA-1169091,Is parent of
R-HSA-1168372,PathwayToPathway,R-HSA-1169092,Is parent of
R-HSA-1168372,PathwayToPathway,R-HSA-2025928,Is parent of
R-HSA-1169410,PathwayToPathway,R-HSA-1169408,Is parent of
R-HSA-1169410,PathwayToPathway,R-HSA-8983711,Is parent of
R-HSA-1169410,PathwayToPathway,R-HSA-9833482,Is parent of
R-HSA-1181150,PathwayToPathway,R-HSA-1433617,Is parent of
R-HSA-1187000,PathwayToPathway,R-HSA-1300642,Is parent of
R-HSA-1187000,PathwayToPathway,R-HSA-1300645,Is parent of
R-HSA-1187000,PathwayToPathway,R-HSA-2534343,Is parent of
R-HSA-1222499,PathwayToPathway,R-HSA-1222387,Is parent of
R-HSA-1222499,PathwayToPathway,R-HSA-1222449,Is parent of
R-HSA-1222499,PathwayToPathway,R-HSA-1222538,Is parent of
R-HSA-1222499,PathwayToPathway,R-HSA-1222541,Is parent of
R-HSA-1222556,PathwayToPathway,R-HSA-8941413,Is parent of
R-HSA-1226099,PathwayToPathway,R-HSA-5655253,Is parent of
R-HSA-1226099,PathwayToPathway,R-HSA-5655291,Is parent of
R-HSA-1226099,PathwayToPathway,R-HSA-5655302,Is parent of
R-HSA-1226099,PathwayToPathway,R-HSA-5655332,Is parent of
R-HSA-1227986,PathwayToPathway,R-HSA-1250196,Is parent of
R-HSA-1227986,PathwayToPathway,R-HSA-1251932,Is parent of
R-HSA-1227986,PathwayToPathway,R-HSA-1306955,Is parent of
R-HSA-1227986,PathwayToPathway,R-HSA-1963640,Is parent of
R-HSA-1227986,PathwayToPathway,R-HSA-1963642,Is parent of
R-HSA-1227986,PathwayToPathway,R-HSA-6785631,Is parent of
R-HSA-1227986,PathwayToPathway,R-HSA-8847993,Is parent of
R-HSA-1227986,PathwayToPathway,R-HSA-8863795,Is parent of
R-HSA-1227986,PathwayToPathway,R-HSA-9652282,Is parent of
R-HSA-1227990,PathwayToPathway,R-HSA-9634285,Is parent of
R-HSA-1227990,PathwayToPathway,R-HSA-9664565,Is parent of
R-HSA-1227990,PathwayToPathway,R-HSA-9665230,Is parent of
R-HSA-1227990,PathwayToPathway,R-HSA-9665348,Is parent of
R-HSA-1227990,PathwayToPathway,R-HSA-9665686,Is parent of
R-HSA-1227990,PathwayToPathway,R-HSA-9665737,Is parent of
R-HSA-1234174,PathwayToPathway,R-HSA-1234158,Is parent of
R-HSA-1234174,PathwayToPathway,R-HSA-1234176,Is parent of
R-HSA-1236394,PathwayToPathway,R-HSA-1250342,Is parent of
R-HSA-1236394,PathwayToPathway,R-HSA-1250347,Is parent of
R-HSA-1236394,PathwayToPathway,R-HSA-1251985,Is parent of
R-HSA-1236394,PathwayToPathway,R-HSA-1253288,Is parent of
R-HSA-1236975,PathwayToPathway,R-HSA-1236973,Is parent of
R-HSA-1236975,PathwayToPathway,R-HSA-1236974,Is parent of
R-HSA-1236975,PathwayToPathway,R-HSA-1236977,Is parent of
R-HSA-1236975,PathwayToPathway,R-HSA-1236978,Is parent of
R-HSA-1257604,PathwayToPathway,R-HSA-198323,Is parent of
R-HSA-1257604,PathwayToPathway,R-HSA-198693,Is parent of
R-HSA-1257604,PathwayToPathway,R-HSA-199418,Is parent of
R-HSA-1257604,PathwayToPathway,R-HSA-6807070,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-1181150,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-186712,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-452723,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-525793,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-5619507,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-5682910,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-6805567,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-9616222,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-9675108,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-9690406,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-9730414,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-9733709,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-9734767,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-9758941,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-9816359,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-9830369,Is parent of
R-HSA-1266738,PathwayToPathway,R-HSA-9843745,Is parent of
R-HSA-1280215,PathwayToPathway,R-HSA-1170546,Is parent of
R-HSA-1280215,PathwayToPathway,R-HSA-449147,Is parent of
R-HSA-1280215,PathwayToPathway,R-HSA-5668541,Is parent of
R-HSA-1280215,PathwayToPathway,R-HSA-913531,Is parent of
R-HSA-1280215,PathwayToPathway,R-HSA-9607240,Is parent of
R-HSA-1280215,PathwayToPathway,R-HSA-9674555,Is parent of
R-HSA-1280215,PathwayToPathway,R-HSA-9680350,Is parent of
R-HSA-1280215,PathwayToPathway,R-HSA-982772,Is parent of
R-HSA-1280218,PathwayToPathway,R-HSA-198933,Is parent of
R-HSA-1280218,PathwayToPathway,R-HSA-202403,Is parent of
R-HSA-1280218,PathwayToPathway,R-HSA-2132295,Is parent of
R-HSA-1280218,PathwayToPathway,R-HSA-388841,Is parent of
R-HSA-1280218,PathwayToPathway,R-HSA-392517,Is parent of
R-HSA-1280218,PathwayToPathway,R-HSA-8851680,Is parent of
R-HSA-1280218,PathwayToPathway,R-HSA-983169,Is parent of
R-HSA-1280218,PathwayToPathway,R-HSA-983705,Is parent of
R-HSA-1296059,PathwayToPathway,R-HSA-1296041,Is parent of
R-HSA-1296065,PathwayToPathway,R-HSA-1296025,Is parent of
R-HSA-1296065,PathwayToPathway,R-HSA-1296053,Is parent of
R-HSA-1296065,PathwayToPathway,R-HSA-1296059,Is parent of
R-HSA-1296065,PathwayToPathway,R-HSA-1296067,Is parent of
R-HSA-1296071,PathwayToPathway,R-HSA-1296052,Is parent of
R-HSA-1296071,PathwayToPathway,R-HSA-1296061,Is parent of
R-HSA-1296071,PathwayToPathway,R-HSA-1296065,Is parent of
R-HSA-1296071,PathwayToPathway,R-HSA-1296072,Is parent of
R-HSA-1296071,PathwayToPathway,R-HSA-1296346,Is parent of
R-HSA-1296346,PathwayToPathway,R-HSA-1299287,Is parent of
R-HSA-1296346,PathwayToPathway,R-HSA-1299308,Is parent of
R-HSA-1296346,PathwayToPathway,R-HSA-1299316,Is parent of
R-HSA-1296346,PathwayToPathway,R-HSA-1299344,Is parent of
R-HSA-1296346,PathwayToPathway,R-HSA-1299361,Is parent of
R-HSA-1296346,PathwayToPathway,R-HSA-1299503,Is parent of
R-HSA-1362409,PathwayToPathway,R-HSA-2395516,Is parent of
R-HSA-140179,PathwayToPathway,R-HSA-141333,Is parent of
R-HSA-140179,PathwayToPathway,R-HSA-141334,Is parent of
R-HSA-140534,PathwayToPathway,R-HSA-3371378,Is parent of
R-HSA-140534,PathwayToPathway,R-HSA-69416,Is parent of
R-HSA-140877,PathwayToPathway,R-HSA-140834,Is parent of
R-HSA-140877,PathwayToPathway,R-HSA-140837,Is parent of
R-HSA-140877,PathwayToPathway,R-HSA-140875,Is parent of
R-HSA-141405,PathwayToPathway,R-HSA-141430,Is parent of
R-HSA-141424,PathwayToPathway,R-HSA-141444,Is parent of
R-HSA-1428517,PathwayToPathway,R-HSA-163210,Is parent of
R-HSA-1428517,PathwayToPathway,R-HSA-166187,Is parent of
R-HSA-1428517,PathwayToPathway,R-HSA-611105,Is parent of
R-HSA-1428517,PathwayToPathway,R-HSA-70268,Is parent of
R-HSA-1428517,PathwayToPathway,R-HSA-71403,Is parent of
R-HSA-1428517,PathwayToPathway,R-HSA-880009,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-1362409,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-1428517,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-1475029,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-1483249,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-15869,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-163685,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-189445,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-196854,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-202131,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-211859,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-2564830,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-556833,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-71291,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-71387,Is parent of
R-HSA-1430728,PathwayToPathway,R-HSA-71737,Is parent of
R-HSA-1433557,PathwayToPathway,R-HSA-1433559,Is parent of
R-HSA-1461973,PathwayToPathway,R-HSA-1461957,Is parent of
R-HSA-1461973,PathwayToPathway,R-HSA-1462054,Is parent of
R-HSA-1474165,PathwayToPathway,R-HSA-1187000,Is parent of
R-HSA-1474165,PathwayToPathway,R-HSA-1500620,Is parent of
R-HSA-1474165,PathwayToPathway,R-HSA-9827857,Is parent of
R-HSA-1474228,PathwayToPathway,R-HSA-1442490,Is parent of
R-HSA-1474228,PathwayToPathway,R-HSA-1592389,Is parent of
R-HSA-1474244,PathwayToPathway,R-HSA-1474228,Is parent of
R-HSA-1474244,PathwayToPathway,R-HSA-1474290,Is parent of
R-HSA-1474244,PathwayToPathway,R-HSA-1566948,Is parent of
R-HSA-1474244,PathwayToPathway,R-HSA-1566977,Is parent of
R-HSA-1474244,PathwayToPathway,R-HSA-216083,Is parent of
R-HSA-1474244,PathwayToPathway,R-HSA-3000157,Is parent of
R-HSA-1474244,PathwayToPathway,R-HSA-3000171,Is parent of
R-HSA-1474244,PathwayToPathway,R-HSA-3000178,Is parent of
R-HSA-1474244,PathwayToPathway,R-HSA-8941237,Is parent of
R-HSA-1474290,PathwayToPathway,R-HSA-1650814,Is parent of
R-HSA-1474290,PathwayToPathway,R-HSA-2022090,Is parent of
R-HSA-1480926,PathwayToPathway,R-HSA-1237044,Is parent of
R-HSA-1480926,PathwayToPathway,R-HSA-1247673,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1482788,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1482798,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1482801,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1482839,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1482883,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1482922,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1482925,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1483076,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1483101,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1483115,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1483148,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1483152,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1483166,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1483171,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1483191,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1483196,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1483213,Is parent of
R-HSA-1483206,PathwayToPathway,R-HSA-1483226,Is parent of
R-HSA-1483249,PathwayToPathway,R-HSA-1855156,Is parent of
R-HSA-1483249,PathwayToPathway,R-HSA-1855167,Is parent of
R-HSA-1483249,PathwayToPathway,R-HSA-1855170,Is parent of
R-HSA-1483249,PathwayToPathway,R-HSA-1855183,Is parent of
R-HSA-1483249,PathwayToPathway,R-HSA-1855184,Is parent of
R-HSA-1483249,PathwayToPathway,R-HSA-1855191,Is parent of
R-HSA-1483249,PathwayToPathway,R-HSA-1855192,Is parent of
R-HSA-1483249,PathwayToPathway,R-HSA-1855196,Is parent of
R-HSA-1483249,PathwayToPathway,R-HSA-1855204,Is parent of
R-HSA-1483249,PathwayToPathway,R-HSA-1855215,Is parent of
R-HSA-1483249,PathwayToPathway,R-HSA-1855229,Is parent of
R-HSA-1483249,PathwayToPathway,R-HSA-1855231,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-1483196,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-1483248,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-1660499,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-1660502,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-1660508,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-1660510,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-1660514,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-1660516,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-1660517,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-1660524,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-1660537,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-6814848,Is parent of
R-HSA-1483255,PathwayToPathway,R-HSA-8847453,Is parent of
R-HSA-1483257,PathwayToPathway,R-HSA-1483206,Is parent of
R-HSA-1483257,PathwayToPathway,R-HSA-1483255,Is parent of
R-HSA-1489509,PathwayToPathway,R-HSA-111997,Is parent of
R-HSA-1500620,PathwayToPathway,R-HSA-1221632,Is parent of
R-HSA-1500620,PathwayToPathway,R-HSA-912446,Is parent of
R-HSA-1500931,PathwayToPathway,R-HSA-373753,Is parent of
R-HSA-1500931,PathwayToPathway,R-HSA-391160,Is parent of
R-HSA-1500931,PathwayToPathway,R-HSA-446728,Is parent of
R-HSA-1502540,PathwayToPathway,R-HSA-2473224,Is parent of
R-HSA-1538133,PathwayToPathway,R-HSA-1362277,Is parent of
R-HSA-1538133,PathwayToPathway,R-HSA-1362300,Is parent of
R-HSA-156580,PathwayToPathway,R-HSA-156581,Is parent of
R-HSA-156580,PathwayToPathway,R-HSA-156582,Is parent of
R-HSA-156580,PathwayToPathway,R-HSA-156584,Is parent of
R-HSA-156580,PathwayToPathway,R-HSA-156587,Is parent of
R-HSA-156580,PathwayToPathway,R-HSA-156588,Is parent of
R-HSA-156580,PathwayToPathway,R-HSA-156590,Is parent of
R-HSA-156584,PathwayToPathway,R-HSA-174362,Is parent of
R-HSA-156587,PathwayToPathway,R-HSA-159424,Is parent of
R-HSA-156588,PathwayToPathway,R-HSA-173599,Is parent of
R-HSA-156590,PathwayToPathway,R-HSA-174403,Is parent of
R-HSA-1566948,PathwayToPathway,R-HSA-2129379,Is parent of
R-HSA-156842,PathwayToPathway,R-HSA-156902,Is parent of
R-HSA-157118,PathwayToPathway,R-HSA-1912422,Is parent of
R-HSA-157118,PathwayToPathway,R-HSA-1980143,Is parent of
R-HSA-157118,PathwayToPathway,R-HSA-1980145,Is parent of
R-HSA-157118,PathwayToPathway,R-HSA-9012852,Is parent of
R-HSA-157118,PathwayToPathway,R-HSA-9013694,Is parent of
R-HSA-157579,PathwayToPathway,R-HSA-171306,Is parent of
R-HSA-157579,PathwayToPathway,R-HSA-180786,Is parent of
R-HSA-157579,PathwayToPathway,R-HSA-9670095,Is parent of
R-HSA-157858,PathwayToPathway,R-HSA-190828,Is parent of
R-HSA-157858,PathwayToPathway,R-HSA-191650,Is parent of
R-HSA-15869,PathwayToPathway,R-HSA-499943,Is parent of
R-HSA-15869,PathwayToPathway,R-HSA-8956319,Is parent of
R-HSA-15869,PathwayToPathway,R-HSA-8956320,Is parent of
R-HSA-15869,PathwayToPathway,R-HSA-8956321,Is parent of
R-HSA-1592230,PathwayToPathway,R-HSA-2151201,Is parent of
R-HSA-1592230,PathwayToPathway,R-HSA-2151209,Is parent of
R-HSA-1592230,PathwayToPathway,R-HSA-8949613,Is parent of
R-HSA-159234,PathwayToPathway,R-HSA-159227,Is parent of
R-HSA-159234,PathwayToPathway,R-HSA-159230,Is parent of
R-HSA-159234,PathwayToPathway,R-HSA-159231,Is parent of
R-HSA-159424,PathwayToPathway,R-HSA-177128,Is parent of
R-HSA-159424,PathwayToPathway,R-HSA-177135,Is parent of
R-HSA-159424,PathwayToPathway,R-HSA-177162,Is parent of
R-HSA-159854,PathwayToPathway,R-HSA-159740,Is parent of
R-HSA-159854,PathwayToPathway,R-HSA-159763,Is parent of
R-HSA-159854,PathwayToPathway,R-HSA-159782,Is parent of
R-HSA-1606322,PathwayToPathway,R-HSA-1606341,Is parent of
R-HSA-1606322,PathwayToPathway,R-HSA-1810476,Is parent of
R-HSA-1614558,PathwayToPathway,R-HSA-1614517,Is parent of
R-HSA-1614635,PathwayToPathway,R-HSA-1237112,Is parent of
R-HSA-1614635,PathwayToPathway,R-HSA-1614558,Is parent of
R-HSA-1614635,PathwayToPathway,R-HSA-1614603,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-157118,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-165159,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-195721,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-2028269,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-2586552,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-354192,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-372790,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-5358351,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-5683057,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-73887,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-9006335,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-9006925,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-9006927,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-9006931,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-9006934,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-9006936,Is parent of
R-HSA-162582,PathwayToPathway,R-HSA-9716542,Is parent of
R-HSA-162587,PathwayToPathway,R-HSA-162594,Is parent of
R-HSA-162587,PathwayToPathway,R-HSA-162599,Is parent of
R-HSA-162589,PathwayToPathway,R-HSA-164516,Is parent of
R-HSA-162589,PathwayToPathway,R-HSA-164525,Is parent of
R-HSA-162592,PathwayToPathway,R-HSA-164843,Is parent of
R-HSA-162592,PathwayToPathway,R-HSA-175567,Is parent of
R-HSA-162592,PathwayToPathway,R-HSA-177539,Is parent of
R-HSA-162594,PathwayToPathway,R-HSA-162585,Is parent of
R-HSA-162594,PathwayToPathway,R-HSA-162589,Is parent of
R-HSA-162594,PathwayToPathway,R-HSA-162592,Is parent of
R-HSA-162594,PathwayToPathway,R-HSA-173107,Is parent of
R-HSA-162599,PathwayToPathway,R-HSA-162588,Is parent of
R-HSA-162599,PathwayToPathway,R-HSA-165054,Is parent of
R-HSA-162599,PathwayToPathway,R-HSA-167172,Is parent of
R-HSA-162599,PathwayToPathway,R-HSA-175474,Is parent of
R-HSA-162906,PathwayToPathway,R-HSA-162587,Is parent of
R-HSA-162906,PathwayToPathway,R-HSA-162909,Is parent of
R-HSA-162909,PathwayToPathway,R-HSA-164952,Is parent of
R-HSA-162909,PathwayToPathway,R-HSA-176033,Is parent of
R-HSA-162909,PathwayToPathway,R-HSA-176034,Is parent of
R-HSA-162909,PathwayToPathway,R-HSA-177243,Is parent of
R-HSA-162909,PathwayToPathway,R-HSA-180534,Is parent of
R-HSA-162909,PathwayToPathway,R-HSA-180585,Is parent of
R-HSA-162909,PathwayToPathway,R-HSA-180689,Is parent of
R-HSA-1630316,PathwayToPathway,R-HSA-1638074,Is parent of
R-HSA-1630316,PathwayToPathway,R-HSA-1638091,Is parent of
R-HSA-1630316,PathwayToPathway,R-HSA-174362,Is parent of
R-HSA-1630316,PathwayToPathway,R-HSA-1793185,Is parent of
R-HSA-1630316,PathwayToPathway,R-HSA-2142845,Is parent of
R-HSA-163125,PathwayToPathway,R-HSA-162699,Is parent of
R-HSA-163125,PathwayToPathway,R-HSA-162710,Is parent of
R-HSA-163125,PathwayToPathway,R-HSA-162791,Is parent of
R-HSA-1632852,PathwayToPathway,R-HSA-9663891,Is parent of
R-HSA-163359,PathwayToPathway,R-HSA-164378,Is parent of
R-HSA-163685,PathwayToPathway,R-HSA-163358,Is parent of
R-HSA-163685,PathwayToPathway,R-HSA-163359,Is parent of
R-HSA-163685,PathwayToPathway,R-HSA-163680,Is parent of
R-HSA-163685,PathwayToPathway,R-HSA-163754,Is parent of
R-HSA-163685,PathwayToPathway,R-HSA-163765,Is parent of
R-HSA-163685,PathwayToPathway,R-HSA-163767,Is parent of
R-HSA-163685,PathwayToPathway,R-HSA-422356,Is parent of
R-HSA-1638074,PathwayToPathway,R-HSA-2022854,Is parent of
R-HSA-1638074,PathwayToPathway,R-HSA-2022857,Is parent of
R-HSA-1638091,PathwayToPathway,R-HSA-1971475,Is parent of
R-HSA-1638091,PathwayToPathway,R-HSA-2022928,Is parent of
R-HSA-1638091,PathwayToPathway,R-HSA-2024096,Is parent of
R-HSA-163841,PathwayToPathway,R-HSA-159854,Is parent of
R-HSA-163841,PathwayToPathway,R-HSA-1663150,Is parent of
R-HSA-163841,PathwayToPathway,R-HSA-204626,Is parent of
R-HSA-163841,PathwayToPathway,R-HSA-5358493,Is parent of
R-HSA-163841,PathwayToPathway,R-HSA-9629569,Is parent of
R-HSA-1640170,PathwayToPathway,R-HSA-1500620,Is parent of
R-HSA-1640170,PathwayToPathway,R-HSA-69278,Is parent of
R-HSA-1640170,PathwayToPathway,R-HSA-69620,Is parent of
R-HSA-1640170,PathwayToPathway,R-HSA-73886,Is parent of
