PathwayId:ID(Pathway),PathwayName,:LABEL
R-HSA-9859138,"BCKDH synthesizes BCAA-CoA from KIC, KMVA, KIV",Pathway
R-HSA-9024909,BDNF activates NTRK2 (TRKB) signaling,Pathway
R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,Pathway
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",Pathway
R-HSA-9824439,Bacterial Infection Pathways,Pathway
R-HSA-73884,Base Excision Repair,Pathway
R-HSA-73929,"Base-Excision Repair, AP Site Formation",Pathway
R-HSA-210991,Basigin interactions,Pathway
R-HSA-1461957,Beta defensins,Pathway
R-HSA-77352,Beta oxidation of butanoyl-CoA to acetyl-CoA,Pathway
R-HSA-77346,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Pathway
R-HSA-77350,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Pathway
R-HSA-77310,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Pathway
R-HSA-77285,Beta oxidation of myristoyl-CoA to lauroyl-CoA,Pathway
R-HSA-77348,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Pathway
R-HSA-77305,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,Pathway
R-HSA-3858494,Beta-catenin independent WNT signaling,Pathway
R-HSA-196299,Beta-catenin phosphorylation cascade,Pathway
R-HSA-389887,Beta-oxidation of pristanoyl-CoA,Pathway
R-HSA-390247,Beta-oxidation of very long chain fatty acids,Pathway
R-HSA-425381,Bicarbonate transporters,Pathway
R-HSA-194068,Bile acid and bile salt metabolism,Pathway
R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,Pathway
R-HSA-173107,Binding and entry of HIV virion,Pathway
R-HSA-4411364,Binding of TCF/LEF:CTNNB1 to target gene promoters,Pathway
R-HSA-141333,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Pathway
R-HSA-211859,Biological oxidations,Pathway
R-HSA-2466712,"Biosynthesis of A2E, implicated in retinal degradation",Pathway
R-HSA-9018676,Biosynthesis of D-series resolvins,Pathway
R-HSA-9018677,Biosynthesis of DHA-derived SPMs,Pathway
R-HSA-9026395,Biosynthesis of DHA-derived sulfido conjugates,Pathway
R-HSA-9018683,Biosynthesis of DPA-derived SPMs,Pathway
R-HSA-9025094,Biosynthesis of DPAn-3 SPMs,Pathway
R-HSA-9026403,Biosynthesis of DPAn-3-derived 13-series resolvins,Pathway
R-HSA-9026290,Biosynthesis of DPAn-3-derived maresins,Pathway
R-HSA-9026286,Biosynthesis of DPAn-3-derived protectins and resolvins,Pathway
R-HSA-9025106,Biosynthesis of DPAn-6 SPMs,Pathway
R-HSA-9023661,Biosynthesis of E-series 18(R)-resolvins,Pathway
R-HSA-9018896,Biosynthesis of E-series 18(S)-resolvins,Pathway
R-HSA-9018679,Biosynthesis of EPA-derived SPMs,Pathway
R-HSA-9020265,Biosynthesis of aspirin-triggered D-series resolvins,Pathway
R-HSA-9027604,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives,Pathway
R-HSA-9026762,Biosynthesis of maresin conjugates in tissue regeneration (MCTR),Pathway
R-HSA-9027307,Biosynthesis of maresin-like SPMs,Pathway
R-HSA-9018682,Biosynthesis of maresins,Pathway
R-HSA-9026766,Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR),Pathway
R-HSA-9018681,Biosynthesis of protectins,Pathway
R-HSA-9018678,Biosynthesis of specialized proresolving mediators (SPMs),Pathway
R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",Pathway
R-HSA-196780,Biotin transport and metabolism,Pathway
R-HSA-9636467,Blockage of phagosome acidification,Pathway
R-HSA-9033658,Blood group systems biosynthesis,Pathway
R-HSA-70895,Branched-chain amino acid catabolism,Pathway
R-HSA-352238,Breakdown of the nuclear lamina,Pathway
R-HSA-168302,Budding,Pathway
R-HSA-162588,Budding and maturation of HIV virion,Pathway
R-HSA-450385,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,Pathway
R-HSA-8851680,Butyrophilin (BTN) family interactions,Pathway
R-HSA-5621481,C-type lectin receptors (CLRs),Pathway
R-HSA-75102,C6 deamination of adenosine,Pathway
R-HSA-5218900,CASP8 activity is inhibited,Pathway
R-HSA-9662834,CD163 mediating an anti-inflammatory response,Pathway
R-HSA-5621575,CD209 (DC-SIGN) signaling,Pathway
R-HSA-5690714,CD22 mediated BCR regulation,Pathway
R-HSA-389356,CD28 co-stimulation,Pathway
R-HSA-389357,CD28 dependent PI3K/Akt signaling,Pathway
R-HSA-389359,CD28 dependent Vav1 pathway,Pathway
R-HSA-9013148,CDC42 GTPase cycle,Pathway
R-HSA-68689,CDC6 association with the ORC:origin complex,Pathway
R-HSA-9833576,CDH11 homotypic and heterotypic interactions,Pathway
R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,Pathway
R-HSA-447041,CHL1 interactions,Pathway
R-HSA-5607763,CLEC7A (Dectin-1) induces NFAT activation,Pathway
R-HSA-5607764,CLEC7A (Dectin-1) signaling,Pathway
R-HSA-5660668,CLEC7A/inflammasome pathway,Pathway
R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,Pathway
R-HSA-6811436,COPI-independent Golgi-to-ER retrograde traffic,Pathway
R-HSA-6807878,COPI-mediated anterograde transport,Pathway
R-HSA-204005,COPII-mediated vesicle transport,Pathway
R-HSA-140180,COX reactions,Pathway
R-HSA-199920,CREB phosphorylation,Pathway
R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,Pathway
R-HSA-442720,CREB1 phosphorylation through the activation of Adenylate Cyclase,Pathway
R-HSA-442729,CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,Pathway
R-HSA-8874211,CREB3 factors activate genes,Pathway
R-HSA-399956,CRMPs in Sema3A signaling,Pathway
R-HSA-2024101,CS/DS degradation,Pathway
R-HSA-389513,CTLA4 inhibitory signaling,Pathway
R-HSA-5358747,CTNNB1 S33 mutants aren't phosphorylated,Pathway
R-HSA-5358749,CTNNB1 S37 mutants aren't phosphorylated,Pathway
R-HSA-5358751,CTNNB1 S45 mutants aren't phosphorylated,Pathway
R-HSA-5358752,CTNNB1 T41 mutants aren't phosphorylated,Pathway
R-HSA-211999,CYP2E1 reactions,Pathway
R-HSA-111996,Ca-dependent events,Pathway
R-HSA-1296052,Ca2+ activated K+ channels,Pathway
R-HSA-4086398,Ca2+ pathway,Pathway
R-HSA-111997,CaM pathway,Pathway
R-HSA-111932,CaMK IV-mediated phosphorylation of CREB,Pathway
R-HSA-2025928,Calcineurin activates NFAT,Pathway
R-HSA-419812,Calcitonin-like ligand receptors,Pathway
R-HSA-111933,Calmodulin induced events,Pathway
R-HSA-901042,Calnexin/calreticulin cycle,Pathway
R-HSA-111957,Cam-PDE 1 activation,Pathway
R-HSA-72737,Cap-dependent Translation Initiation,Pathway
R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin,Pathway
R-HSA-5576891,Cardiac conduction,Pathway
R-HSA-9733709,Cardiogenesis,Pathway
R-HSA-5694530,Cargo concentration in the ER,Pathway
R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,Pathway
R-HSA-5620920,Cargo trafficking to the periciliary membrane,Pathway
R-HSA-200425,Carnitine metabolism,Pathway
R-HSA-71262,Carnitine synthesis,Pathway
R-HSA-140534,Caspase activation via Death Receptors in the presence of ligand,Pathway
R-HSA-418889,Caspase activation via Dependence Receptors in the absence of ligand,Pathway
R-HSA-5357769,Caspase activation via extrinsic apoptotic signalling pathway,Pathway
R-HSA-264870,Caspase-mediated cleavage of cytoskeletal proteins,Pathway
R-HSA-209905,Catecholamine biosynthesis,Pathway
R-HSA-426117,Cation-coupled Chloride cotransporters,Pathway
R-HSA-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,Pathway
R-HSA-1640170,Cell Cycle,Pathway
R-HSA-69620,Cell Cycle Checkpoints,Pathway
R-HSA-69278,"Cell Cycle, Mitotic",Pathway
R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",Pathway
R-HSA-446728,Cell junction organization,Pathway
R-HSA-9664424,Cell recruitment (pro-inflammatory response),Pathway
R-HSA-1222541,Cell redox homeostasis,Pathway
R-HSA-202733,Cell surface interactions at the vascular wall,Pathway
R-HSA-1500931,Cell-Cell communication,Pathway
R-HSA-421270,Cell-cell junction organization,Pathway
R-HSA-446353,Cell-extracellular matrix interactions,Pathway
R-HSA-2559583,Cellular Senescence,Pathway
R-HSA-189200,Cellular hexose transport,Pathway
R-HSA-9711123,Cellular response to chemical stress,Pathway
R-HSA-3371556,Cellular response to heat stress,Pathway
R-HSA-1234174,Cellular response to hypoxia,Pathway
R-HSA-9840373,Cellular response to mitochondrial stress,Pathway
R-HSA-9711097,Cellular response to starvation,Pathway
R-HSA-8953897,Cellular responses to stimuli,Pathway
R-HSA-2262752,Cellular responses to stress,Pathway
R-HSA-380287,Centrosome maturation,Pathway
R-HSA-193681,Ceramide signalling,Pathway
R-HSA-163765,ChREBP activates metabolic gene expression,Pathway
R-HSA-9613829,Chaperone Mediated Autophagy,Pathway
R-HSA-390466,Chaperonin-mediated protein folding,Pathway
R-HSA-380108,Chemokine receptors bind chemokines,Pathway
R-HSA-75035,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,Pathway
R-HSA-191273,Cholesterol biosynthesis,Pathway
R-HSA-6807047,Cholesterol biosynthesis via desmosterol,Pathway
R-HSA-6807062,Cholesterol biosynthesis via lathosterol,Pathway
R-HSA-6798163,Choline catabolism,Pathway
R-HSA-2022870,Chondroitin sulfate biosynthesis,Pathway
R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,Pathway
R-HSA-9821002,Chromatin modifications during the maternal to zygotic transition (MZT),Pathway
R-HSA-3247509,Chromatin modifying enzymes,Pathway
R-HSA-4839726,Chromatin organization,Pathway
R-HSA-73886,Chromosome Maintenance,Pathway
R-HSA-8963888,Chylomicron assembly,Pathway
R-HSA-8964026,Chylomicron clearance,Pathway
R-HSA-8963901,Chylomicron remodeling,Pathway
R-HSA-5617833,Cilium Assembly,Pathway
R-HSA-9793528,Ciprofloxacin ADME,Pathway
R-HSA-400253,Circadian Clock,Pathway
R-HSA-71403,Citric acid cycle (TCA cycle),Pathway
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),Pathway
R-HSA-373080,Class B/2 (Secretin family receptors),Pathway
R-HSA-420499,Class C/3 (Metabotropic glutamate/pheromone receptors),Pathway
R-HSA-983169,Class I MHC mediated antigen processing & presentation,Pathway
R-HSA-9603798,Class I peroxisomal membrane protein import,Pathway
R-HSA-1296053,Classical Kir channels,Pathway
R-HSA-173623,Classical antibody-mediated complement activation,Pathway
R-HSA-8856828,Clathrin-mediated endocytosis,Pathway
R-HSA-110331,Cleavage of the damaged purine,Pathway
R-HSA-110329,Cleavage of the damaged pyrimidine ,Pathway
R-HSA-9759218,Cobalamin (Cbl) metabolism,Pathway
R-HSA-196741,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Pathway
R-HSA-196783,Coenzyme A biosynthesis,Pathway
R-HSA-2470946,Cohesin Loading onto Chromatin,Pathway
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,Pathway
R-HSA-8948216,Collagen chain trimerization,Pathway
R-HSA-1442490,Collagen degradation,Pathway
R-HSA-1474290,Collagen formation,Pathway
R-HSA-140875,Common Pathway of Fibrin Clot Formation,Pathway
R-HSA-8948700,Competing endogenous RNAs (ceRNAs) regulate PTEN translation,Pathway
R-HSA-166658,Complement cascade,Pathway
R-HSA-6799198,Complex I biogenesis,Pathway
R-HSA-9865881,Complex III assembly,Pathway
R-HSA-9864848,Complex IV assembly,Pathway
R-HSA-2514853,Condensation of Prometaphase Chromosomes,Pathway
R-HSA-2299718,Condensation of Prophase Chromosomes,Pathway
R-HSA-177135,Conjugation of benzoate with glycine,Pathway
R-HSA-159424,Conjugation of carboxylic acids,Pathway
R-HSA-177162,Conjugation of phenylacetate with glutamine,Pathway
R-HSA-177128,Conjugation of salicylate with glycine,Pathway
R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer,Pathway
R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,Pathway
R-HSA-5637810,Constitutive Signaling by EGFRvIII,Pathway
R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,Pathway
R-HSA-2691232,Constitutive Signaling by NOTCH1 HD Domain Mutants,Pathway
R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,Pathway
R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,Pathway
R-HSA-2660826,Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,Pathway
R-HSA-9634285,Constitutive Signaling by Overexpressed ERBB2,Pathway
R-HSA-176407,Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,Pathway
R-HSA-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,Pathway
R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,Pathway
R-HSA-388841,Costimulation by the CD28 family,Pathway
R-HSA-71288,Creatine metabolism,Pathway
R-HSA-166786,Creation of C4 and C2 activators,Pathway
R-HSA-8949613,Cristae formation,Pathway
R-HSA-1236973,Cross-presentation of particulate exogenous antigens (phagosomes),Pathway
R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),Pathway
R-HSA-2243919,Crosslinking of collagen fibrils,Pathway
R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,Pathway
R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,Pathway
R-HSA-69231,Cyclin D associated events in G1,Pathway
R-HSA-69202,Cyclin E associated events during G1/S transition ,Pathway
R-HSA-1614603,Cysteine formation from homocysteine,Pathway
R-HSA-211897,Cytochrome P450 - arranged by substrate type,Pathway
R-HSA-111461,Cytochrome c-mediated apoptotic response,Pathway
R-HSA-1280215,Cytokine Signaling in Immune system,Pathway
R-HSA-9707564,Cytoprotection by HMOX1,Pathway
R-HSA-2564830,Cytosolic iron-sulfur cluster assembly,Pathway
R-HSA-1834949,Cytosolic sensors of pathogen-associated DNA ,Pathway
R-HSA-156584,Cytosolic sulfonation of small molecules,Pathway
R-HSA-379716,Cytosolic tRNA aminoacylation,Pathway
R-HSA-1489509,DAG and IP3 signaling,Pathway
R-HSA-2172127,DAP12 interactions,Pathway
R-HSA-2424491,DAP12 signaling,Pathway
R-HSA-180024,DARPP-32 events,Pathway
R-HSA-418885,DCC mediated attractive signaling,Pathway
R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Pathway
