G4Id:START_ID(G4),Relation:TYPE,DiseaseId:END_ID(Disease),RelationName
HG4_470592,G4ToDisease,C0340164,Relate to
HG4_470592,G4ToDisease,C0036202,Relate to
HG4_471193,G4ToDisease,C0017661,Relate to
HG4_472427,G4ToDisease,C0036341,Relate to
HG4_477832,G4ToDisease,C0011860,Relate to
HG4_482202,G4ToDisease,C0678222,Relate to
HG4_482390,G4ToDisease,C1510586,Relate to
HG4_482390,G4ToDisease,C0036341,Relate to
HG4_482684,G4ToDisease,C0003873,Relate to
HG4_487658,G4ToDisease,C0002395,Relate to
HG4_518647,G4ToDisease,C0178468,Relate to
HG4_527650,G4ToDisease,C1956346,Relate to
HG4_528395,G4ToDisease,C0036341,Relate to
HG4_529019,G4ToDisease,C0007222,Relate to
HG4_529275,G4ToDisease,C0028754,Relate to
HG4_538494,G4ToDisease,C0398677,Relate to
HG4_539081,G4ToDisease,C0026769,Relate to
HG4_539800,G4ToDisease,C0011860,Relate to
HG4_546884,G4ToDisease,C0011860,Relate to
HG4_547305,G4ToDisease,C0007766,Relate to
HG4_566670,G4ToDisease,C0678222,Relate to
HG4_571180,G4ToDisease,C0178468,Relate to
HG4_574950,G4ToDisease,C0036341,Relate to
HG4_581841,G4ToDisease,C1269683,Relate to
HG4_586861,G4ToDisease,C1956346,Relate to
HG4_592517,G4ToDisease,C0038454,Relate to
HG4_592545,G4ToDisease,C0020538,Relate to
HG4_603243,G4ToDisease,C0028754,Relate to
HG4_609800,G4ToDisease,C0008925,Relate to
HG4_612280,G4ToDisease,C0028754,Relate to
HG4_628670,G4ToDisease,C0036421,Relate to
HG4_637520,G4ToDisease,C0011860,Relate to
HG4_648297,G4ToDisease,C0003873,Relate to
HG4_650180,G4ToDisease,C0855228,Relate to
HG4_654804,G4ToDisease,C0014175,Relate to
HG4_658884,G4ToDisease,C0020538,Relate to
HG4_661135,G4ToDisease,C0028754,Relate to
HG4_663090,G4ToDisease,C0011860,Relate to
HG4_663169,G4ToDisease,C0011860,Relate to
HG4_675348,G4ToDisease,C0011860,Relate to
HG4_697753,G4ToDisease,C0398677,Relate to
HG4_698689,G4ToDisease,C0678222,Relate to
HG4_698689,G4ToDisease,C3642254,Relate to
HG4_707197,G4ToDisease,C0024530,Relate to
HG4_710916,G4ToDisease,C0017601,Relate to
HG4_712547,G4ToDisease,C0524620,Relate to
HG4_722503,G4ToDisease,C0011860,Relate to
HG4_728660,G4ToDisease,C0011860,Relate to
HG4_744428,G4ToDisease,C0678222,Relate to
HG4_745086,G4ToDisease,C0011860,Relate to
HG4_751685,G4ToDisease,C0019569,Relate to
HG4_760143,G4ToDisease,C0007222,Relate to
HG4_762064,G4ToDisease,C0011860,Relate to
HG4_762065,G4ToDisease,C0011860,Relate to
HG4_763734,G4ToDisease,C0011860,Relate to
HG4_770539,G4ToDisease,C0026769,Relate to
HG4_770600,G4ToDisease,C0026769,Relate to
HG4_783996,G4ToDisease,C0007766,Relate to
HG4_783996,G4ToDisease,C0036341,Relate to
HG4_792563,G4ToDisease,C0600139,Relate to
HG4_807092,G4ToDisease,C0476131,Relate to
HG4_807708,G4ToDisease,C0024141,Relate to
HG4_807716,G4ToDisease,C0036421,Relate to
HG4_808872,G4ToDisease,C0741260,Relate to
HG4_810130,G4ToDisease,C0018099,Relate to
HG4_811949,G4ToDisease,C0678222,Relate to
HG4_811949,G4ToDisease,C4733092,Relate to
HG4_813027,G4ToDisease,C0007847,Relate to
HG4_813155,G4ToDisease,C0011854,Relate to
HG4_814574,G4ToDisease,C0018099,Relate to
HG4_814825,G4ToDisease,C0011860,Relate to
HG4_820700,G4ToDisease,C0152013,Relate to
HG4_843496,G4ToDisease,C0007117,Relate to
HG4_843496,G4ToDisease,C0023343,Relate to
HG4_843496,G4ToDisease,C0566602,Relate to
HG4_1326649,G4ToDisease,C0023891,Relate to
HG4_1328366,G4ToDisease,C0024141,Relate to
HG4_1329608,G4ToDisease,C0917801,Relate to
HG4_1329618,G4ToDisease,C0917801,Relate to
HG4_1335171,G4ToDisease,C0034951,Relate to
HG4_1340609,G4ToDisease,C0149931,Relate to
HG4_1367692,G4ToDisease,C4315130,Relate to
HG4_1377898,G4ToDisease,C4289690,Relate to
HG4_1378135,G4ToDisease,C0600139,Relate to
HG4_1378798,G4ToDisease,C0917801,Relate to
HG4_1379032,G4ToDisease,C0007222,Relate to
HG4_1406096,G4ToDisease,C0024141,Relate to
HG4_1420287,G4ToDisease,C0018621,Relate to
HG4_1420287,G4ToDisease,C0013595,Relate to
HG4_1420811,G4ToDisease,C0003873,Relate to
HG4_1423227,G4ToDisease,C0678222,Relate to
HG4_1423233,G4ToDisease,C0011860,Relate to
HG4_1441514,G4ToDisease,C0494463,Relate to
HG4_1458659,G4ToDisease,C1861172,Relate to
HG4_1502148,G4ToDisease,C0024141,Relate to
HG4_834948,G4ToDisease,C0002395,Relate to
HG4_840272,G4ToDisease,C0741260,Relate to
HG4_843815,G4ToDisease,C0024141,Relate to
HG4_846329,G4ToDisease,C0036341,Relate to
HG4_854405,G4ToDisease,C0494463,Relate to
HG4_856498,G4ToDisease,C0011860,Relate to
HG4_859908,G4ToDisease,C0004096,Relate to
HG4_859908,G4ToDisease,C0018621,Relate to
HG4_859908,G4ToDisease,C0013595,Relate to
HG4_859908,G4ToDisease,C3662483,Relate to
HG4_859908,G4ToDisease,C0741260,Relate to
HG4_859908,G4ToDisease,C0016470,Relate to
HG4_859911,G4ToDisease,C0004096,Relate to
HG4_859911,G4ToDisease,C0018621,Relate to
HG4_859911,G4ToDisease,C0013595,Relate to
HG4_859911,G4ToDisease,C2607914,Relate to
HG4_859911,G4ToDisease,C0020517,Relate to
HG4_859911,G4ToDisease,C0340064,Relate to
HG4_870001,G4ToDisease,C0678222,Relate to
HG4_873283,G4ToDisease,C1867403,Relate to
HG4_890984,G4ToDisease,C0011860,Relate to
HG4_893071,G4ToDisease,C0917801,Relate to
HG4_893378,G4ToDisease,C0009402,Relate to
HG4_896239,G4ToDisease,C0024141,Relate to
HG4_905442,G4ToDisease,C0042345,Relate to
HG4_913777,G4ToDisease,C0011854,Relate to
HG4_914794,G4ToDisease,C0917801,Relate to
HG4_914794,G4ToDisease,C0036341,Relate to
HG4_914822,G4ToDisease,C0004096,Relate to
HG4_924564,G4ToDisease,C0002171,Relate to
HG4_931874,G4ToDisease,C0853193,Relate to
HG4_932966,G4ToDisease,C0009402,Relate to
HG4_939586,G4ToDisease,C0036341,Relate to
HG4_939695,G4ToDisease,C1956346,Relate to
HG4_939695,G4ToDisease,C0027051,Relate to
HG4_939695,G4ToDisease,C0152172,Relate to
HG4_939695,G4ToDisease,C2063003,Relate to
HG4_940380,G4ToDisease,C1269683,Relate to
HG4_941007,G4ToDisease,C0018099,Relate to
HG4_978355,G4ToDisease,C0085111,Relate to
HG4_983927,G4ToDisease,C0027092,Relate to
HG4_984704,G4ToDisease,C0007222,Relate to
HG4_985945,G4ToDisease,C3887519,Relate to
HG4_997634,G4ToDisease,C0001956,Relate to
HG4_1018950,G4ToDisease,C1956346,Relate to
HG4_1023135,G4ToDisease,C0013595,Relate to
HG4_1027030,G4ToDisease,C0476089,Relate to
HG4_1027030,G4ToDisease,C1336905,Relate to
HG4_1029954,G4ToDisease,C0004364,Relate to
HG4_1042791,G4ToDisease,C0004096,Relate to
HG4_1042791,G4ToDisease,C0264408,Relate to
HG4_1042791,G4ToDisease,C0035242,Relate to
HG4_1043234,G4ToDisease,C0007222,Relate to
HG4_1054622,G4ToDisease,C0549473,Relate to
HG4_1054624,G4ToDisease,C1290886,Relate to
HG4_1054624,G4ToDisease,C0038013,Relate to
HG4_1054624,G4ToDisease,C0010346,Relate to
HG4_1054624,G4ToDisease,C0033860,Relate to
HG4_1054624,G4ToDisease,C0566602,Relate to
HG4_1054624,G4ToDisease,C0009324,Relate to
HG4_1061021,G4ToDisease,C0699885,Relate to
HG4_1065426,G4ToDisease,C1510586,Relate to
HG4_1065426,G4ToDisease,C0036341,Relate to
HG4_1065726,G4ToDisease,C0152013,Relate to
HG4_1085514,G4ToDisease,C0003873,Relate to
HG4_1095380,G4ToDisease,C0004096,Relate to
HG4_1095380,G4ToDisease,C0018621,Relate to
HG4_1095380,G4ToDisease,C0013595,Relate to
HG4_1095380,G4ToDisease,C2607914,Relate to
HG4_1095380,G4ToDisease,C0020517,Relate to
HG4_1108778,G4ToDisease,C1290886,Relate to
HG4_1108778,G4ToDisease,C0038013,Relate to
HG4_1108778,G4ToDisease,C0010346,Relate to
HG4_1108778,G4ToDisease,C0033860,Relate to
HG4_1108778,G4ToDisease,C0566602,Relate to
HG4_1108778,G4ToDisease,C0009324,Relate to
HG4_1109624,G4ToDisease,C0030567,Relate to
HG4_1109806,G4ToDisease,C0002395,Relate to
HG4_1119432,G4ToDisease,C0011860,Relate to
HG4_1120882,G4ToDisease,C0600139,Relate to
HG4_1121525,G4ToDisease,C0002418,Relate to
HG4_1126060,G4ToDisease,C0027092,Relate to
HG4_1126807,G4ToDisease,C0036341,Relate to
HG4_1131177,G4ToDisease,C0341470,Relate to
HG4_1131290,G4ToDisease,C0024117,Relate to
HG4_1132835,G4ToDisease,C0026769,Relate to
HG4_1136146,G4ToDisease,C0494463,Relate to
HG4_1137863,G4ToDisease,C1862941,Relate to
HG4_1138549,G4ToDisease,C0003873,Relate to
HG4_1151823,G4ToDisease,C0011860,Relate to
HG4_1155237,G4ToDisease,C0011860,Relate to
HG4_1155238,G4ToDisease,C0011860,Relate to
HG4_1162680,G4ToDisease,C0011884,Relate to
HG4_1164013,G4ToDisease,C0036341,Relate to
HG4_1164035,G4ToDisease,C0011860,Relate to
HG4_1179941,G4ToDisease,C0264408,Relate to
HG4_1180866,G4ToDisease,C1335302,Relate to
HG4_1182683,G4ToDisease,C0021390,Relate to
HG4_1186579,G4ToDisease,C0013595,Relate to
HG4_1187681,G4ToDisease,C0024117,Relate to
HG4_1187744,G4ToDisease,C0034951,Relate to
HG4_1197025,G4ToDisease,C0002395,Relate to
HG4_1197025,G4ToDisease,C0494463,Relate to
HG4_1198288,G4ToDisease,C0007222,Relate to
HG4_1198288,G4ToDisease,C0034951,Relate to
HG4_1208848,G4ToDisease,C0033860,Relate to
HG4_1215436,G4ToDisease,C0678222,Relate to
HG4_1216324,G4ToDisease,C0019569,Relate to
HG4_1216324,G4ToDisease,C0033860,Relate to
HG4_1218321,G4ToDisease,C0338451,Relate to
HG4_1218997,G4ToDisease,C0039494,Relate to
HG4_1220457,G4ToDisease,C1510475,Relate to
HG4_1228194,G4ToDisease,C0028768,Relate to
HG4_1236119,G4ToDisease,C0011581,Relate to
HG4_1236119,G4ToDisease,C0086132,Relate to
HG4_1257190,G4ToDisease,C0002395,Relate to
HG4_1257190,G4ToDisease,C0494463,Relate to
HG4_1258483,G4ToDisease,C0559470,Relate to
HG4_1259622,G4ToDisease,C0019829,Relate to
HG4_1260316,G4ToDisease,C0085580,Relate to
HG4_1260730,G4ToDisease,C1956346,Relate to
HG4_1261560,G4ToDisease,C0678222,Relate to
HG4_1265077,G4ToDisease,C0028754,Relate to
HG4_1266189,G4ToDisease,C0034951,Relate to
HG4_1273291,G4ToDisease,C0011860,Relate to
HG4_1276191,G4ToDisease,C0178468,Relate to
HG4_1276191,G4ToDisease,C0004364,Relate to
HG4_1276191,G4ToDisease,C0020676,Relate to
HG4_1276191,G4ToDisease,C3890205,Relate to
HG4_1276191,G4ToDisease,C0026769,Relate to
HG4_1276191,G4ToDisease,C0008312,Relate to
HG4_1276191,G4ToDisease,C0033860,Relate to
HG4_1276191,G4ToDisease,C0263361,Relate to
HG4_1276191,G4ToDisease,C0003873,Relate to
HG4_1276191,G4ToDisease,C0036202,Relate to
HG4_1276191,G4ToDisease,C0024141,Relate to
HG4_1276191,G4ToDisease,C0011854,Relate to
HG4_1277414,G4ToDisease,C1956346,Relate to
HG4_1279973,G4ToDisease,C0028754,Relate to
HG4_1282387,G4ToDisease,C0019159,Relate to
HG4_1285970,G4ToDisease,C1269683,Relate to
HG4_1288791,G4ToDisease,C3266076,Relate to
HG4_1289294,G4ToDisease,C1263846,Relate to
HG4_1297148,G4ToDisease,C2607914,Relate to
HG4_1297162,G4ToDisease,C0004096,Relate to
HG4_1297162,G4ToDisease,C0155877,Relate to
HG4_1297162,G4ToDisease,C0013595,Relate to
HG4_1297162,G4ToDisease,C0018621,Relate to
HG4_1297162,G4ToDisease,C0741260,Relate to
HG4_1297162,G4ToDisease,C0264408,Relate to
HG4_1297162,G4ToDisease,C0340064,Relate to
HG4_1297162,G4ToDisease,C0035242,Relate to
HG4_1307659,G4ToDisease,C0029408,Relate to
HG4_1307659,G4ToDisease,C0029410,Relate to
HG4_1307659,G4ToDisease,C0409959,Relate to
HG4_1311669,G4ToDisease,C0002395,Relate to
HG4_1312048,G4ToDisease,C0002395,Relate to
HG4_1312085,G4ToDisease,C0002395,Relate to
HG4_1312105,G4ToDisease,C0002395,Relate to
HG4_1312106,G4ToDisease,C0002395,Relate to
HG4_1312209,G4ToDisease,C0002395,Relate to
HG4_1312347,G4ToDisease,C0002395,Relate to
HG4_1312843,G4ToDisease,C1956346,Relate to
HG4_1315393,G4ToDisease,C0011854,Relate to
HG4_1315922,G4ToDisease,C0028754,Relate to
HG4_1321611,G4ToDisease,C0263874,Relate to
HG4_940,G4ToDisease,C1261473,Relate to
HG4_2180,G4ToDisease,C0853879,Relate to
HG4_2180,G4ToDisease,C0279671,Relate to
HG4_2180,G4ToDisease,C1263762,Relate to
HG4_2180,G4ToDisease,C0279702,Relate to
HG4_2180,G4ToDisease,C1306837,Relate to
HG4_2180,G4ToDisease,C1997581,Relate to
HG4_2180,G4ToDisease,C0152013,Relate to
HG4_2180,G4ToDisease,C0149782,Relate to
HG4_2180,G4ToDisease,C0007112,Relate to
HG4_2183,G4ToDisease,C0279671,Relate to
HG4_2183,G4ToDisease,C1263762,Relate to
HG4_2183,G4ToDisease,C0279702,Relate to
HG4_2183,G4ToDisease,C1306837,Relate to
HG4_2183,G4ToDisease,C0152013,Relate to
HG4_2183,G4ToDisease,C0149782,Relate to
HG4_2183,G4ToDisease,C0007112,Relate to
HG4_2844,G4ToDisease,C1621958,Relate to
HG4_2844,G4ToDisease,C0149978,Relate to
HG4_2897,G4ToDisease,C0338106,Relate to
HG4_2897,G4ToDisease,C1621958,Relate to
HG4_2897,G4ToDisease,C0279702,Relate to
HG4_2897,G4ToDisease,C1306837,Relate to
HG4_2897,G4ToDisease,C0007112,Relate to
HG4_2897,G4ToDisease,C0149978,Relate to
HG4_2897,G4ToDisease,C0549473,Relate to
HG4_3048,G4ToDisease,C0338106,Relate to
HG4_3048,G4ToDisease,C0279702,Relate to
HG4_3048,G4ToDisease,C0007112,Relate to
HG4_3056,G4ToDisease,C0338106,Relate to
HG4_5341,G4ToDisease,C0007112,Relate to
HG4_5341,G4ToDisease,C0549473,Relate to
HG4_5356,G4ToDisease,C0853879,Relate to
HG4_5356,G4ToDisease,C1168401,Relate to
HG4_5356,G4ToDisease,C0279702,Relate to
HG4_5356,G4ToDisease,C1306837,Relate to
HG4_5356,G4ToDisease,C0152013,Relate to
HG4_5356,G4ToDisease,C0281361,Relate to
HG4_5356,G4ToDisease,C0007112,Relate to
HG4_5356,G4ToDisease,C0549473,Relate to
HG4_5371,G4ToDisease,C0853879,Relate to
HG4_5371,G4ToDisease,C0279702,Relate to
HG4_5371,G4ToDisease,C1306837,Relate to
HG4_5371,G4ToDisease,C0152013,Relate to
HG4_5371,G4ToDisease,C0281361,Relate to
HG4_5371,G4ToDisease,C0007112,Relate to
HG4_5371,G4ToDisease,C0549473,Relate to
HG4_5460,G4ToDisease,C2205338,Relate to
HG4_5983,G4ToDisease,C0549473,Relate to
HG4_5988,G4ToDisease,C0007112,Relate to
HG4_5988,G4ToDisease,C0549473,Relate to
HG4_5992,G4ToDisease,C0549473,Relate to
HG4_5994,G4ToDisease,C0853879,Relate to
HG4_6011,G4ToDisease,C1168401,Relate to
HG4_6011,G4ToDisease,C0007112,Relate to
HG4_6011,G4ToDisease,C0549473,Relate to
HG4_6028,G4ToDisease,C0279702,Relate to
HG4_6028,G4ToDisease,C0007112,Relate to
HG4_6028,G4ToDisease,C0549473,Relate to
HG4_6127,G4ToDisease,C0007112,Relate to
HG4_6131,G4ToDisease,C0007112,Relate to
HG4_6134,G4ToDisease,C0007112,Relate to
HG4_6176,G4ToDisease,C0549473,Relate to
HG4_6259,G4ToDisease,C0549473,Relate to
HG4_6269,G4ToDisease,C0152013,Relate to
HG4_6269,G4ToDisease,C0007112,Relate to
HG4_6269,G4ToDisease,C0549473,Relate to
HG4_6331,G4ToDisease,C0279680,Relate to
HG4_6331,G4ToDisease,C0338106,Relate to
HG4_6331,G4ToDisease,C0152013,Relate to
HG4_6331,G4ToDisease,C0149782,Relate to
HG4_6370,G4ToDisease,C0279680,Relate to
HG4_6370,G4ToDisease,C0338106,Relate to
HG4_6370,G4ToDisease,C0152013,Relate to
HG4_6370,G4ToDisease,C0149782,Relate to
HG4_6370,G4ToDisease,C0007112,Relate to
HG4_6370,G4ToDisease,C0549473,Relate to
HG4_6370,G4ToDisease,C0040100,Relate to
HG4_6393,G4ToDisease,C0279680,Relate to
HG4_6393,G4ToDisease,C0338106,Relate to
HG4_6393,G4ToDisease,C0152013,Relate to
HG4_6393,G4ToDisease,C0149782,Relate to
HG4_6393,G4ToDisease,C0007112,Relate to
HG4_6393,G4ToDisease,C0549473,Relate to
HG4_6393,G4ToDisease,C0040100,Relate to
HG4_6403,G4ToDisease,C0152013,Relate to
HG4_6403,G4ToDisease,C0149782,Relate to
HG4_6403,G4ToDisease,C0007112,Relate to
HG4_6403,G4ToDisease,C1336708,Relate to
HG4_6403,G4ToDisease,C0549473,Relate to
HG4_6406,G4ToDisease,C0279680,Relate to
HG4_6406,G4ToDisease,C0152013,Relate to
HG4_6406,G4ToDisease,C0149782,Relate to
HG4_6406,G4ToDisease,C0007112,Relate to
HG4_6406,G4ToDisease,C1336708,Relate to
HG4_6406,G4ToDisease,C0549473,Relate to
HG4_6420,G4ToDisease,C0279680,Relate to
HG4_6420,G4ToDisease,C0338106,Relate to
HG4_6420,G4ToDisease,C0152013,Relate to
HG4_6420,G4ToDisease,C0007112,Relate to
HG4_6420,G4ToDisease,C1336708,Relate to
HG4_6426,G4ToDisease,C0279680,Relate to
HG4_6480,G4ToDisease,C0007112,Relate to
HG4_6480,G4ToDisease,C1336708,Relate to
HG4_6480,G4ToDisease,C0549473,Relate to
HG4_6593,G4ToDisease,C0007112,Relate to
HG4_6593,G4ToDisease,C0549473,Relate to
HG4_6624,G4ToDisease,C0279680,Relate to
HG4_6624,G4ToDisease,C0853879,Relate to
HG4_6624,G4ToDisease,C0152013,Relate to
HG4_6624,G4ToDisease,C0007112,Relate to
HG4_6624,G4ToDisease,C0699791,Relate to
HG4_6624,G4ToDisease,C0549473,Relate to
HG4_6688,G4ToDisease,C0549473,Relate to
HG4_6701,G4ToDisease,C0549473,Relate to
HG4_6752,G4ToDisease,C0152013,Relate to
HG4_6903,G4ToDisease,C0338106,Relate to
HG4_8171,G4ToDisease,C2205338,Relate to
HG4_8661,G4ToDisease,C0549473,Relate to
HG4_9987,G4ToDisease,C0007112,Relate to
HG4_9989,G4ToDisease,C0007112,Relate to
HG4_9993,G4ToDisease,C0007112,Relate to
HG4_10008,G4ToDisease,C1168401,Relate to
HG4_10008,G4ToDisease,C0279702,Relate to
HG4_10008,G4ToDisease,C0279663,Relate to
HG4_10008,G4ToDisease,C0549473,Relate to
HG4_10051,G4ToDisease,C0279671,Relate to
HG4_10051,G4ToDisease,C1263762,Relate to
HG4_10051,G4ToDisease,C0007112,Relate to
HG4_10051,G4ToDisease,C0549473,Relate to
HG4_10062,G4ToDisease,C0279680,Relate to
HG4_10062,G4ToDisease,C0853879,Relate to
HG4_10062,G4ToDisease,C1168401,Relate to
HG4_10062,G4ToDisease,C0279702,Relate to
HG4_10062,G4ToDisease,C0023467,Relate to
HG4_10062,G4ToDisease,C0007112,Relate to
HG4_10062,G4ToDisease,C0549473,Relate to
HG4_12457,G4ToDisease,C0549473,Relate to
HG4_12499,G4ToDisease,C0007112,Relate to
HG4_12499,G4ToDisease,C0549473,Relate to
HG4_12541,G4ToDisease,C0007112,Relate to
HG4_12541,G4ToDisease,C0549473,Relate to
HG4_12573,G4ToDisease,C0007112,Relate to
HG4_12573,G4ToDisease,C0549473,Relate to
HG4_12582,G4ToDisease,C2205338,Relate to
HG4_15668,G4ToDisease,C0007112,Relate to
HG4_16349,G4ToDisease,C0853879,Relate to
HG4_16349,G4ToDisease,C1336708,Relate to
HG4_16598,G4ToDisease,C0007112,Relate to
HG4_17777,G4ToDisease,C0007112,Relate to
HG4_19338,G4ToDisease,C0023467,Relate to
HG4_19975,G4ToDisease,C0023467,Relate to
HG4_22920,G4ToDisease,C0025500,Relate to
HG4_22920,G4ToDisease,C0281361,Relate to
HG4_22920,G4ToDisease,C0007112,Relate to
HG4_22920,G4ToDisease,C0549473,Relate to
HG4_22920,G4ToDisease,C0279702,Relate to
HG4_22920,G4ToDisease,C0152013,Relate to
HG4_22924,G4ToDisease,C0279702,Relate to
HG4_22924,G4ToDisease,C0152013,Relate to
HG4_22924,G4ToDisease,C0025500,Relate to
HG4_22924,G4ToDisease,C0549473,Relate to
HG4_23225,G4ToDisease,C0853879,Relate to
HG4_23229,G4ToDisease,C0279680,Relate to
HG4_23229,G4ToDisease,C0338106,Relate to
HG4_23229,G4ToDisease,C0279702,Relate to
HG4_23229,G4ToDisease,C1306837,Relate to
HG4_23229,G4ToDisease,C0152013,Relate to
HG4_23229,G4ToDisease,C0007112,Relate to
HG4_23229,G4ToDisease,C0549473,Relate to
HG4_23229,G4ToDisease,C0040100,Relate to
HG4_23229,G4ToDisease,C0476089,Relate to
HG4_23238,G4ToDisease,C0279680,Relate to
HG4_23238,G4ToDisease,C0338106,Relate to
HG4_23240,G4ToDisease,C0338106,Relate to
HG4_23240,G4ToDisease,C0279702,Relate to
HG4_23240,G4ToDisease,C1306837,Relate to
HG4_23240,G4ToDisease,C0152013,Relate to
HG4_23240,G4ToDisease,C0007112,Relate to
HG4_23240,G4ToDisease,C0549473,Relate to
HG4_23240,G4ToDisease,C0040100,Relate to
HG4_23240,G4ToDisease,C0476089,Relate to
HG4_23267,G4ToDisease,C0279680,Relate to
HG4_23267,G4ToDisease,C0279702,Relate to
HG4_23267,G4ToDisease,C1306837,Relate to
HG4_23267,G4ToDisease,C0007112,Relate to
HG4_23267,G4ToDisease,C0549473,Relate to
HG4_23268,G4ToDisease,C0279680,Relate to
HG4_23268,G4ToDisease,C0279702,Relate to
HG4_23268,G4ToDisease,C1306837,Relate to
HG4_23268,G4ToDisease,C0007112,Relate to
HG4_23268,G4ToDisease,C0549473,Relate to
HG4_23287,G4ToDisease,C0853879,Relate to
HG4_23287,G4ToDisease,C1997581,Relate to
HG4_23287,G4ToDisease,C0281361,Relate to
HG4_23287,G4ToDisease,C0549473,Relate to
HG4_23308,G4ToDisease,C1997581,Relate to
HG4_23559,G4ToDisease,C0279671,Relate to
HG4_23559,G4ToDisease,C1263762,Relate to
HG4_23559,G4ToDisease,C1168401,Relate to
HG4_23559,G4ToDisease,C1336708,Relate to
HG4_23559,G4ToDisease,C0549473,Relate to
HG4_23616,G4ToDisease,C0279671,Relate to
HG4_23616,G4ToDisease,C1263762,Relate to
HG4_23616,G4ToDisease,C1168401,Relate to
HG4_23616,G4ToDisease,C0007112,Relate to
HG4_23616,G4ToDisease,C1336708,Relate to
HG4_23617,G4ToDisease,C0279671,Relate to
HG4_23617,G4ToDisease,C1263762,Relate to
HG4_23617,G4ToDisease,C1168401,Relate to
HG4_23737,G4ToDisease,C0549473,Relate to
HG4_23741,G4ToDisease,C0007112,Relate to
