DrugId:START_ID(Drug),Relation:TYPE,DiseaseId:END_ID(Disease),RelationName
DB06770,DrugToDisease,C0745138,Contraindication
DB06770,DrugToDisease,C0010054,Contraindication
DB06770,DrugToDisease,C0030920,Contraindication
DB06770,DrugToDisease,C0236124,Contraindication
DB06770,DrugToDisease,C0403654,Contraindication
DB06770,DrugToDisease,C1739363,Contraindication
DB06770,DrugToDisease,C0024117,Contraindication
DB06770,DrugToDisease,C0267509,Contraindication
DB04145,DrugToDisease,C0025281,Indication
DB04145,DrugToDisease,C0020473,Indication
DB04145,DrugToDisease,C0030783,Indication
DB04145,DrugToDisease,C0030783,Indication
DB11085,DrugToDisease,C0332798,Contraindication
DB11085,DrugToDisease,C0009663,Contraindication
DB11085,DrugToDisease,C0001144,Indication
DB11085,DrugToDisease,C0015230,Contraindication
DB11085,DrugToDisease,C0014544,Contraindication
DB11085,DrugToDisease,C0264886,Contraindication
DB11085,DrugToDisease,C0085096,Contraindication
DB11085,DrugToDisease,C0016436,Contraindication
DB11085,DrugToDisease,C0022658,Contraindication
DB11085,DrugToDisease,C3875321,Contraindication
DB11085,DrugToDisease,C0272053,Contraindication
DB11085,DrugToDisease,C2939465,Contraindication
DB11085,DrugToDisease,C0235063,Contraindication
DB11085,DrugToDisease,C0011849,Contraindication
DB11085,DrugToDisease,C0025637,Contraindication
DB11085,DrugToDisease,C0268193,Contraindication
DB11085,DrugToDisease,C0033774,Indication
DB09526,DrugToDisease,C0405580,Contraindication
DB09526,DrugToDisease,C0038814,Contraindication
DB09526,DrugToDisease,C0025218,Indication
DB09526,DrugToDisease,C0013595,Contraindication
DB09526,DrugToDisease,C0151514,Contraindication
DB09526,DrugToDisease,C0085096,Contraindication
DB05381,DrugToDisease,C0023467,Indication
DB05381,DrugToDisease,C0403654,Contraindication
DB05381,DrugToDisease,C0020538,Contraindication
DB05381,DrugToDisease,C0017601,Contraindication
DB05381,DrugToDisease,C0264886,Contraindication
DB05381,DrugToDisease,C0011849,Contraindication
DB05381,DrugToDisease,C0267509,Contraindication
DB05381,DrugToDisease,C0010054,Contraindication
DB05381,DrugToDisease,C0740858,Contraindication
DB05381,DrugToDisease,C0020542,Contraindication
DB05381,DrugToDisease,C0035229,Contraindication
DB05381,DrugToDisease,C0033975,Contraindication
DB05381,DrugToDisease,C0007222,Contraindication
DB05381,DrugToDisease,C0020550,Contraindication
DB05381,DrugToDisease,C0002962,Contraindication
DB05381,DrugToDisease,C1739363,Contraindication
DB05381,DrugToDisease,C0745138,Contraindication
DB05381,DrugToDisease,C0003851,Contraindication
DB05381,DrugToDisease,C0085631,Contraindication
DB05381,DrugToDisease,C0149893,Contraindication
DB05381,DrugToDisease,C0030920,Contraindication
DB05381,DrugToDisease,C0013604,Contraindication
DB05381,DrugToDisease,C0017605,Contraindication
DB05381,DrugToDisease,C0268734,Contraindication
DB05381,DrugToDisease,C0018824,Contraindication
DB05381,DrugToDisease,C0039070,Contraindication
DB05381,DrugToDisease,C0028840,Contraindication
DB05381,DrugToDisease,C0347950,Contraindication
DB05381,DrugToDisease,C0269658,Contraindication
DB05381,DrugToDisease,C0001973,Contraindication
DB05381,DrugToDisease,C0004096,Contraindication
DB05381,DrugToDisease,C0011854,Contraindication
DB05381,DrugToDisease,C0029408,Indication
DB00763,DrugToDisease,C3203356,Contraindication
DB00763,DrugToDisease,C0151773,Contraindication
DB00763,DrugToDisease,C0020676,Contraindication
DB00763,DrugToDisease,C1262760,Contraindication
DB00763,DrugToDisease,C0040127,Off-label use
DB00763,DrugToDisease,C0020550,Indication
DB00763,DrugToDisease,C0001824,Contraindication
DB00763,DrugToDisease,C0023530,Contraindication
DB00763,DrugToDisease,C0040034,Contraindication
DB00763,DrugToDisease,C0030312,Contraindication
DB01677,DrugToDisease,C0033860,Indication
DB01612,DrugToDisease,C0238080,Indication
DB01612,DrugToDisease,C0002871,Contraindication
DB01612,DrugToDisease,C0017601,Contraindication
DB01612,DrugToDisease,C0002962,Off-label use
DB01612,DrugToDisease,C0025637,Contraindication
DB01612,DrugToDisease,C0033845,Contraindication
DB01612,DrugToDisease,C0018674,Contraindication
DB01612,DrugToDisease,C2937358,Contraindication
DB01612,DrugToDisease,C0020651,Contraindication
DB00139,DrugToDisease,C0002895,Contraindication
DB00139,DrugToDisease,C0002878,Contraindication
DB00139,DrugToDisease,C0019114,Contraindication
DB00139,DrugToDisease,C0272053,Contraindication
DB00139,DrugToDisease,C0018995,Contraindication
DB00139,DrugToDisease,C0030920,Contraindication
DB00139,DrugToDisease,C1510475,Contraindication
DB00139,DrugToDisease,C0162316,Indication
DB00139,DrugToDisease,C0017160,Contraindication
DB00139,DrugToDisease,C0020501,Contraindication
DB00139,DrugToDisease,C0009324,Contraindication
DB06756,DrugToDisease,C0019880,Indication
DB06756,DrugToDisease,C2939175,Contraindication
DB06756,DrugToDisease,C0268621,Contraindication
DB06756,DrugToDisease,C0236124,Contraindication
DB06756,DrugToDisease,C0006114,Contraindication
DB06756,DrugToDisease,C0001339,Contraindication
DB06756,DrugToDisease,C0036992,Contraindication
DB06756,DrugToDisease,C0010346,Contraindication
DB06756,DrugToDisease,C0729524,Indication
DB06756,DrugToDisease,C4076057,Indication
DB06756,DrugToDisease,C0577708,Indication
DB06756,DrugToDisease,C0520775,Indication
DB06756,DrugToDisease,C0600041,Indication
DB06756,DrugToDisease,C0010692,Indication
DB06756,DrugToDisease,C0014358,Contraindication
DB06756,DrugToDisease,C0014544,Contraindication
DB06756,DrugToDisease,C0031117,Contraindication
DB06756,DrugToDisease,C0026896,Contraindication
DB06756,DrugToDisease,C0040479,Contraindication
DB06756,DrugToDisease,C1141890,Contraindication
DB06756,DrugToDisease,C0022658,Contraindication
DB06756,DrugToDisease,C0263933,Contraindication
DB06756,DrugToDisease,C0039503,Contraindication
DB06756,DrugToDisease,C0151937,Contraindication
DB15985,DrugToDisease,C0014544,Indication
DB13838,DrugToDisease,C0600041,Indication
DB03754,DrugToDisease,C0030920,Contraindication
DB03754,DrugToDisease,C0038454,Contraindication
DB03754,DrugToDisease,C0013238,Contraindication
DB03754,DrugToDisease,C0392163,Contraindication
DB03754,DrugToDisease,C0022658,Contraindication
DB03754,DrugToDisease,C0002871,Contraindication
DB03754,DrugToDisease,C0341677,Contraindication
DB03754,DrugToDisease,C0023895,Contraindication
DB03754,DrugToDisease,C0155118,Contraindication
DB03754,DrugToDisease,C0021390,Contraindication
DB03754,DrugToDisease,C0003873,Contraindication
DB03754,DrugToDisease,C0268734,Contraindication
DB03754,DrugToDisease,C0684275,Contraindication
DB03754,DrugToDisease,C0007222,Contraindication
DB03754,DrugToDisease,C0010034,Contraindication
DB03754,DrugToDisease,C0027051,Contraindication
DB03754,DrugToDisease,C0005779,Contraindication
DB03754,DrugToDisease,C0003460,Contraindication
DB03754,DrugToDisease,C0041948,Contraindication
DB03754,DrugToDisease,C2937358,Contraindication
DB03754,DrugToDisease,C0017181,Contraindication
DB03754,DrugToDisease,C0009766,Indication
DB03754,DrugToDisease,C0264716,Contraindication
DB03754,DrugToDisease,C0011849,Contraindication
DB03754,DrugToDisease,C0013295,Contraindication
DB03754,DrugToDisease,C0155970,Contraindication
DB03754,DrugToDisease,C0235063,Contraindication
DB03754,DrugToDisease,C0020615,Contraindication
DB03754,DrugToDisease,C0020538,Contraindication
DB03754,DrugToDisease,C0004096,Contraindication
DB03754,DrugToDisease,C0237938,Contraindication
DB03754,DrugToDisease,C0038358,Contraindication
DB03754,DrugToDisease,C0001127,Contraindication
DB00151,DrugToDisease,C0235063,Contraindication
DB00151,DrugToDisease,C0006277,Indication
DB00151,DrugToDisease,C0014867,Contraindication
DB00151,DrugToDisease,C0237938,Contraindication
DB00151,DrugToDisease,C0237963,Indication
DB00151,DrugToDisease,C2939175,Off-label use
DB00151,DrugToDisease,C0002726,Indication
DB00151,DrugToDisease,C0392164,Indication
DB00151,DrugToDisease,C0347950,Contraindication
DB00151,DrugToDisease,C0006266,Contraindication
DB00151,DrugToDisease,C0006267,Indication
DB00151,DrugToDisease,C0030920,Contraindication
DB00151,DrugToDisease,C0017181,Contraindication
DB00151,DrugToDisease,C0751434,Contraindication
DB02701,DrugToDisease,C0275959,Contraindication
DB02701,DrugToDisease,C0022658,Contraindication
DB02701,DrugToDisease,C0005779,Contraindication
DB02701,DrugToDisease,C0001144,Indication
DB02701,DrugToDisease,C0006277,Contraindication
DB02701,DrugToDisease,C0011849,Contraindication
DB02701,DrugToDisease,C0030783,Indication
DB02701,DrugToDisease,C0340654,Contraindication
DB02701,DrugToDisease,C0343206,Contraindication
DB02701,DrugToDisease,C0948089,Contraindication
DB02701,DrugToDisease,C0018099,Contraindication
DB02701,DrugToDisease,C0030783,Indication
DB02701,DrugToDisease,C0011608,Contraindication
DB02701,DrugToDisease,C0023895,Contraindication
DB02701,DrugToDisease,C0002895,Contraindication
DB02701,DrugToDisease,C0025637,Off-label use
DB02701,DrugToDisease,C0272053,Contraindication
DB02701,DrugToDisease,C0030920,Contraindication
DB02701,DrugToDisease,C0018021,Contraindication
DB02701,DrugToDisease,C0035410,Contraindication
DB02701,DrugToDisease,C0677607,Contraindication
DB02701,DrugToDisease,C0684275,Contraindication
DB02701,DrugToDisease,C0020501,Contraindication
DB02701,DrugToDisease,C0018995,Contraindication
DB00627,DrugToDisease,C0020443,Indication
DB00627,DrugToDisease,C0020557,Indication
DB00627,DrugToDisease,C0342882,Indication
DB00627,DrugToDisease,C0020474,Indication
DB00627,DrugToDisease,C1510471,Indication
DB00627,DrugToDisease,C0020473,Indication
DB00339,DrugToDisease,C0011849,Contraindication
DB00339,DrugToDisease,C0268734,Contraindication
DB00339,DrugToDisease,C0162557,Contraindication
DB00339,DrugToDisease,C0018099,Contraindication
DB00339,DrugToDisease,C0272053,Contraindication
DB00339,DrugToDisease,C0267797,Contraindication
DB00339,DrugToDisease,C0023895,Contraindication
DB00339,DrugToDisease,C0085605,Contraindication
DB00339,DrugToDisease,C0275959,Indication
DB00339,DrugToDisease,C0031117,Contraindication
DB00339,DrugToDisease,C0740447,Contraindication
DB00339,DrugToDisease,C0022346,Contraindication
DB00339,DrugToDisease,C0032708,Contraindication
DB00339,DrugToDisease,C0041327,Indication
DB00339,DrugToDisease,C0001973,Contraindication
DB00339,DrugToDisease,C0041318,Indication
DB00339,DrugToDisease,C1827377,Contraindication
DB11359,DrugToDisease,C0740577,Contraindication
DB11359,DrugToDisease,C0034067,Contraindication
DB11359,DrugToDisease,C0085633,Contraindication
DB11359,DrugToDisease,C0007222,Contraindication
DB11359,DrugToDisease,C0020598,Contraindication
DB11359,DrugToDisease,C1621824,Contraindication
DB11359,DrugToDisease,C0011849,Contraindication
DB11359,DrugToDisease,C0878588,Contraindication
DB11359,DrugToDisease,C0267797,Contraindication
DB11359,DrugToDisease,C0264886,Contraindication
DB11359,DrugToDisease,C0004093,Contraindication
DB11359,DrugToDisease,C0033937,Contraindication
DB11359,DrugToDisease,C0027051,Contraindication
DB11359,DrugToDisease,C0009324,Contraindication
DB11359,DrugToDisease,C0023895,Contraindication
DB11359,DrugToDisease,C1260880,Indication
DB11359,DrugToDisease,C0035410,Contraindication
DB11359,DrugToDisease,C0268734,Contraindication
DB11359,DrugToDisease,C0034072,Contraindication
DB11359,DrugToDisease,C0017605,Contraindication
DB11359,DrugToDisease,C0030920,Contraindication
DB11359,DrugToDisease,C0242528,Contraindication
DB11359,DrugToDisease,C0028840,Contraindication
DB11359,DrugToDisease,C0238357,Contraindication
DB11359,DrugToDisease,C0034063,Contraindication
DB11359,DrugToDisease,C0405580,Contraindication
DB11359,DrugToDisease,C0267509,Contraindication
DB11359,DrugToDisease,C0151559,Contraindication
DB11359,DrugToDisease,C0009443,Indication
DB11359,DrugToDisease,C0010054,Contraindication
DB11359,DrugToDisease,C0020676,Contraindication
DB11359,DrugToDisease,C0220983,Contraindication
DB11359,DrugToDisease,C0041974,Contraindication
DB11359,DrugToDisease,C0036974,Contraindication
DB11359,DrugToDisease,C0220981,Contraindication
DB11359,DrugToDisease,C3472181,Contraindication
DB11359,DrugToDisease,C0264716,Contraindication
DB11359,DrugToDisease,C0001339,Contraindication
DB11359,DrugToDisease,C0151942,Contraindication
DB11359,DrugToDisease,C0020538,Contraindication
DB11359,DrugToDisease,C0033845,Contraindication
DB11359,DrugToDisease,C1739363,Contraindication
DB11359,DrugToDisease,C0001122,Contraindication
DB11359,DrugToDisease,C0001403,Contraindication
DB11359,DrugToDisease,C0740858,Contraindication
DB11359,DrugToDisease,C0010200,Indication
DB11359,DrugToDisease,C1510472,Contraindication
DB11359,DrugToDisease,C0020550,Contraindication
DB11359,DrugToDisease,C0028756,Contraindication
DB11359,DrugToDisease,C0745138,Contraindication
DB11359,DrugToDisease,C0022658,Contraindication
DB11359,DrugToDisease,C0027424,Indication
DB11359,DrugToDisease,C0035455,Indication
DB11359,DrugToDisease,C0014544,Contraindication
DB11359,DrugToDisease,C0028961,Contraindication
DB11359,DrugToDisease,C0085649,Contraindication
DB11359,DrugToDisease,C0003460,Contraindication
DB11359,DrugToDisease,C0001957,Contraindication
DB11359,DrugToDisease,C0235063,Contraindication
DB11359,DrugToDisease,C0020488,Contraindication
DB11359,DrugToDisease,C0016977,Contraindication
DB11359,DrugToDisease,C0018674,Contraindication
DB11359,DrugToDisease,C0011175,Contraindication
DB11359,DrugToDisease,C0340515,Contraindication
DB11359,DrugToDisease,C1956346,Contraindication
DB11359,DrugToDisease,C0009421,Contraindication
DB11359,DrugToDisease,C0242184,Contraindication
DB11359,DrugToDisease,C0006118,Contraindication
DB11359,DrugToDisease,C3263723,Contraindication
DB11359,DrugToDisease,C0042514,Contraindication
DB11359,DrugToDisease,C0341677,Contraindication
DB11359,DrugToDisease,C0403654,Contraindication
DB11359,DrugToDisease,C0021390,Contraindication
DB11359,DrugToDisease,C0003850,Contraindication
DB11359,DrugToDisease,C0009806,Contraindication
DB11359,DrugToDisease,C0001969,Contraindication
DB11359,DrugToDisease,C0221505,Contraindication
DB11359,DrugToDisease,C0376185,Contraindication
DB06782,DrugToDisease,C0311375,Indication
DB06782,DrugToDisease,C0261486,Indication
DB06782,DrugToDisease,C2939465,Contraindication
DB06782,DrugToDisease,C0412842,Contraindication
DB06782,DrugToDisease,C0023895,Contraindication
DB06782,DrugToDisease,C0272053,Contraindication
DB06782,DrugToDisease,C0020538,Contraindication
DB00529,DrugToDisease,C0040479,Contraindication
DB00529,DrugToDisease,C0014544,Contraindication
DB00529,DrugToDisease,C1141890,Contraindication
DB00529,DrugToDisease,C0002871,Contraindication
DB00529,DrugToDisease,C0001824,Contraindication
DB00529,DrugToDisease,C0151723,Contraindication
DB00529,DrugToDisease,C0085682,Contraindication
DB00529,DrugToDisease,C0085681,Contraindication
DB00529,DrugToDisease,C0027947,Contraindication
DB00529,DrugToDisease,C1720144,Off-label use
DB00529,DrugToDisease,C0020598,Contraindication
DB00529,DrugToDisease,C0011175,Contraindication
DB00529,DrugToDisease,C0022658,Contraindication
DB00529,DrugToDisease,C1955629,Indication
DB06143,DrugToDisease,C0085605,Indication
DB06815,DrugToDisease,C0009663,Contraindication
DB06815,DrugToDisease,C0267509,Contraindication
DB06815,DrugToDisease,C2607914,Indication
DB06815,DrugToDisease,C0403654,Contraindication
DB06815,DrugToDisease,C0036508,Indication
DB06815,DrugToDisease,C0085096,Contraindication
DB06815,DrugToDisease,C0020538,Contraindication
DB06815,DrugToDisease,C0028840,Contraindication
DB06815,DrugToDisease,C0010200,Indication
DB06815,DrugToDisease,C0010054,Contraindication
DB06815,DrugToDisease,C0423775,Indication
DB06815,DrugToDisease,C0011849,Contraindication
DB06815,DrugToDisease,C0009443,Indication
DB06815,DrugToDisease,C0745138,Contraindication
DB06815,DrugToDisease,C0017605,Contraindication
DB06815,DrugToDisease,C0027424,Indication
DB06815,DrugToDisease,C0020550,Contraindication
DB06815,DrugToDisease,C0030920,Contraindication
DB06815,DrugToDisease,C1739363,Contraindication
DB06815,DrugToDisease,C0035460,Indication
DB06815,DrugToDisease,C3875321,Contraindication
DB06815,DrugToDisease,C1260880,Indication
DB06815,DrugToDisease,C0040262,Indication
DB16929,DrugToDisease,C0043037,Indication
DB01099,DrugToDisease,C0008582,Off-label use
DB01099,DrugToDisease,C0271909,Contraindication
DB01099,DrugToDisease,C0040034,Contraindication
DB01099,DrugToDisease,C0023530,Contraindication
DB01099,DrugToDisease,C0022658,Contraindication
DB01099,DrugToDisease,C0001824,Contraindication
DB01099,DrugToDisease,C0151773,Contraindication
DB01099,DrugToDisease,C0023895,Contraindication
DB01080,DrugToDisease,C0022658,Contraindication
DB01080,DrugToDisease,C0085633,Contraindication
DB01080,DrugToDisease,C0002871,Contraindication
DB01080,DrugToDisease,C2711653,Indication
DB01080,DrugToDisease,C0037769,Indication
DB01080,DrugToDisease,C0031117,Contraindication
DB01080,DrugToDisease,C0013604,Contraindication
DB00331,DrugToDisease,C0151744,Contraindication
DB00331,DrugToDisease,C0022658,Contraindication
DB00331,DrugToDisease,C0004093,Contraindication
DB00331,DrugToDisease,C0032460,Off-label use
DB00331,DrugToDisease,C0002962,Contraindication
DB00331,DrugToDisease,C0162533,Contraindication
DB00331,DrugToDisease,C0341677,Contraindication
DB00331,DrugToDisease,C0011175,Contraindication
DB00331,DrugToDisease,C0013604,Contraindication
DB00331,DrugToDisease,C0264716,Contraindication
DB00331,DrugToDisease,C0220981,Contraindication
DB00331,DrugToDisease,C0271051,Contraindication
DB00331,DrugToDisease,C0275518,Contraindication
DB00331,DrugToDisease,C0020615,Contraindication
DB00331,DrugToDisease,C1443924,Contraindication
DB00331,DrugToDisease,C0036974,Contraindication
DB00331,DrugToDisease,C0029456,Contraindication
DB00331,DrugToDisease,C0001969,Contraindication
DB00331,DrugToDisease,C0001339,Contraindication
DB00331,DrugToDisease,C0001125,Contraindication
DB00331,DrugToDisease,C0042847,Contraindication
DB00331,DrugToDisease,C1262760,Contraindication
DB00331,DrugToDisease,C0011860,Indication
DB00331,DrugToDisease,C0002878,Contraindication
DB00331,DrugToDisease,C0029453,Contraindication
DB00331,DrugToDisease,C0581377,Contraindication
DB00331,DrugToDisease,C0232597,Contraindication
DB00331,DrugToDisease,C0016658,Contraindication
DB00331,DrugToDisease,C0009450,Contraindication
DB00331,DrugToDisease,C0001403,Contraindication
DB00331,DrugToDisease,C0022661,Contraindication
DB00331,DrugToDisease,C0034063,Contraindication
DB00331,DrugToDisease,C0085605,Contraindication
DB00331,DrugToDisease,C0242966,Contraindication
DB00331,DrugToDisease,C0405580,Contraindication
DB00331,DrugToDisease,C1956346,Contraindication
DB00331,DrugToDisease,C0023895,Contraindication
DB00331,DrugToDisease,C0036980,Contraindication
DB00331,DrugToDisease,C0024312,Contraindication
DB00331,DrugToDisease,C0001973,Contraindication
DB00331,DrugToDisease,C0237987,Contraindication
DB00331,DrugToDisease,C3263723,Contraindication
DB00331,DrugToDisease,C0015967,Contraindication
DB00331,DrugToDisease,C0151467,Contraindication
DB00331,DrugToDisease,C0020635,Contraindication
DB00331,DrugToDisease,C0085207,Off-label use
DB00331,DrugToDisease,C0027051,Contraindication
DB00331,DrugToDisease,C0268000,Contraindication
DB00331,DrugToDisease,C0038454,Contraindication
DB00331,DrugToDisease,C0005684,Contraindication
DB00331,DrugToDisease,C0220982,Contraindication
DB00331,DrugToDisease,C0268734,Contraindication
DB00331,DrugToDisease,C0032460,Off-label use
DB00331,DrugToDisease,C0032460,Indication
DB00544,DrugToDisease,C0017181,Contraindication
DB00544,DrugToDisease,C0153446,Off-label use
DB00544,DrugToDisease,C0281361,Indication
DB00544,DrugToDisease,C0011991,Contraindication
DB00544,DrugToDisease,C0007102,Indication
DB00544,DrugToDisease,C0040034,Contraindication
DB00544,DrugToDisease,C0241069,Contraindication
DB00544,DrugToDisease,C0022658,Contraindication
DB00544,DrugToDisease,C0678222,Off-label use
DB00544,DrugToDisease,C0023532,Off-label use
DB00544,DrugToDisease,C0275518,Contraindication
DB00544,DrugToDisease,C0862889,Indication
DB00544,DrugToDisease,C0007847,Off-label use
DB00544,DrugToDisease,C0346979,Contraindication
DB00544,DrugToDisease,C0278996,Off-label use
DB00544,DrugToDisease,C0038362,Contraindication
DB00544,DrugToDisease,C0023895,Contraindication
DB00544,DrugToDisease,C0546837,Off-label use
DB00544,DrugToDisease,C0346218,Off-label use
DB00544,DrugToDisease,C0019080,Contraindication
DB00544,DrugToDisease,C4305467,Off-label use
DB00544,DrugToDisease,C1282500,Indication
DB00544,DrugToDisease,C0022602,Indication
DB00544,DrugToDisease,C0005684,Off-label use
DB00544,DrugToDisease,C0031350,Contraindication
DB00544,DrugToDisease,C0232597,Contraindication
DB00544,DrugToDisease,C0034561,Off-label use
DB00544,DrugToDisease,C0027947,Contraindication
DB00544,DrugToDisease,C0151773,Contraindication
DB00544,DrugToDisease,C0002962,Contraindication
DB00544,DrugToDisease,C1959620,Contraindication
DB00544,DrugToDisease,C0023530,Contraindication
DB00544,DrugToDisease,C0024586,Off-label use
DB00544,DrugToDisease,C0024623,Indication
DB00544,DrugToDisease,C0267026,Off-label use
DB00544,DrugToDisease,C0153425,Indication
DB00855,DrugToDisease,C0022602,Indication
DB00855,DrugToDisease,C0349506,Contraindication
DB00149,DrugToDisease,C0022661,Contraindication
DB00149,DrugToDisease,C0149911,Contraindication
DB00149,DrugToDisease,C0018799,Contraindication
DB00149,DrugToDisease,C0751434,Contraindication
DB00149,DrugToDisease,C0022658,Contraindication
DB00149,DrugToDisease,C0020437,Contraindication
DB00149,DrugToDisease,C0042510,Contraindication
DB00149,DrugToDisease,C0022650,Contraindication
DB00149,DrugToDisease,C0274726,Contraindication
DB00149,DrugToDisease,C0036202,Contraindication
DB00513,DrugToDisease,C0023895,Contraindication
DB00513,DrugToDisease,C0018965,Contraindication
DB00513,DrugToDisease,C0012739,Contraindication
DB00513,DrugToDisease,C0022658,Contraindication
DB00513,DrugToDisease,C0040053,Contraindication
DB00129,DrugToDisease,C0015230,Contraindication
DB00128,DrugToDisease,C0236124,Contraindication
DB00128,DrugToDisease,C0022658,Contraindication
DB00128,DrugToDisease,C0238357,Contraindication
DB00128,DrugToDisease,C0376185,Contraindication
DB00128,DrugToDisease,C2936781,Contraindication
DB00128,DrugToDisease,C0237938,Contraindication
DB00128,DrugToDisease,C3472181,Contraindication
DB00128,DrugToDisease,C0011991,Contraindication
DB00128,DrugToDisease,C0152020,Contraindication
DB00128,DrugToDisease,C0401151,Contraindication
DB00128,DrugToDisease,C0151517,Contraindication
DB00128,DrugToDisease,C0268734,Contraindication
DB00752,DrugToDisease,C0023895,Contraindication
DB00752,DrugToDisease,C1269683,Indication
