NodeType: Drug | Name: 3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester | DrugId: DB01959
NodeType: Drug | Name: (4S)-5-[[(1S)-1-Carboxy-2-cyclohexylethyl]amino]-4-[[(2S)-2-[[(3R)-4-cyclohexyl-2-oxo-3-(phenylmethoxycarbonylamino)butanoyl]amino]-5-(diaminomethylideneamino)pentanoyl]amino]-5-oxopentanoic acid | DrugId: DB01984
NodeType: Drug | Name: N-acetyl-L-arginine | DrugId: DB01985
NodeType: Drug | Name: 3-Fluoro-2-Methyl-Aniline | DrugId: DB01986
NodeType: Drug | Name: Cocarboxylase | DrugId: DB01987
NodeType: Drug | Name: 6((S)-3-Benzylpiperazin-1-Yl)-3-(Naphthalen-2-Yl)-4-(Pyridin-4-Yl)Pyrazine | DrugId: DB01988
NodeType: Drug | Name: Methyl N-{[(1R)-1-({1-[(benzyloxy)carbonyl]-L-prolyl-6-ammonio-L-norleucyl}amino)-2-phenylethyl](hydroxy)phosphoryl}-L-alanyl-L-prolinate | DrugId: DB01989
NodeType: Drug | Name: Cholesterol sulfate | DrugId: DB01990
NodeType: Drug | Name: TU-514 | DrugId: DB01991
NodeType: Drug | Name: Coenzyme A | DrugId: DB01992
NodeType: Drug | Name: N-(5'-Phosphopyridoxyl)-D-Alanine | DrugId: DB01993
NodeType: Drug | Name: 2-(Pyrido[1,2-E]Purin-4-Yl)Amino-Ethanol | DrugId: DB01994
NodeType: Drug | Name: 5-methylcytidine 5'-monophosphate | DrugId: DB01995
NodeType: Drug | Name: 3-Methylpyridine | DrugId: DB01996
NodeType: Drug | Name: 3-Bromo-7-Nitroindazole | DrugId: DB01997
NodeType: Drug | Name: 2-[3,4-Dihydroxy-2-Hydroxymethyl-5-(2-Hydroxy-Nonyl)-Tetrahydro-Furan-2-Yloxy]-6-Hydroxymethyl-Tetra Hydro-Pyran-3,4,5-Triol | DrugId: DB01998
NodeType: Drug | Name: 5,10,15,20-Tetrakis(4-Sulpfonatophenyl)-21h,23h-Porphine | DrugId: DB01999
NodeType: Drug | Name: 5-(4-Morpholin-4-Yl-Phenylsulfanyl)-2,4-Quinazolinediamine | DrugId: DB02001
NodeType: Drug | Name: 2-Aminoprop-2-Enamide | DrugId: DB02002
NodeType: Drug | Name: 5-(Aminomethyl)-6-(2,4-Dichlorophenyl)-2-(3,5-Dimethoxyphenyl)Pyrimidin-4-Amine | DrugId: DB02004
NodeType: Drug | Name: 2-Oxo-3-Pentenoic Acid | DrugId: DB02005
NodeType: Drug | Name: Br-Coeleneterazine | DrugId: DB02006
NodeType: Drug | Name: alpha-D-glucose 6-phosphate | DrugId: DB02007
NodeType: Drug | Name: 1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine | DrugId: DB02008
NodeType: Drug | Name: L-756423 | DrugId: DB02009
NodeType: Drug | Name: Staurosporine | DrugId: DB02010
NodeType: Drug | Name: N-(Phosphonoacetyl)-L-Ornithine | DrugId: DB02011
NodeType: Drug | Name: Iron azide hydrate | DrugId: DB02013
NodeType: Drug | Name: 5-(2-Fluoro-5-{(1E)-3-[3-hydroxy-2-(methoxycarbonyl)phenoxy]-1-propen-1-yl}phenyl)-1,2-oxazole-3-carboxylic acid | DrugId: DB02014
NodeType: Drug | Name: Dihydrofolic Acid | DrugId: DB02015
NodeType: Drug | Name: R048-8071 | DrugId: DB02016
NodeType: Drug | Name: Imidazole-Derived Cellobiose | DrugId: DB02017
NodeType: Drug | Name: Amido Phenyl Pyruvic Acid | DrugId: DB02018
NodeType: Drug | Name: Acetyl Dithranol | DrugId: DB02019
NodeType: Drug | Name: Alrestatin | DrugId: DB02020
NodeType: Drug | Name: Fidarestat | DrugId: DB02021
NodeType: Drug | Name: 4-Amino-5-Hydroxymethyl-2-Methylpyrimidine | DrugId: DB02022
NodeType: Drug | Name: 8-oxo-dGMP | DrugId: DB02023
NodeType: Drug | Name: 3-phenylpropionic acid | DrugId: DB02024
NodeType: Drug | Name: ACV tripeptide | DrugId: DB02025
NodeType: Drug | Name: Furo[2,3d]Pyrimidine Antifolate | DrugId: DB02026
NodeType: Drug | Name: N-{(4S)-4-Amino-5-[(2-aminoethyl)amino]pentyl}-N'-nitroguanidine | DrugId: DB02027
NodeType: Drug | Name: (1R,2R,3S,4R,6S)-3,4,6-Trihydroxy-5-{[(S)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)] | DrugId: DB02028
NodeType: Drug | Name: N-Cyclohexyl-N'-(4-Iodophenyl)Urea | DrugId: DB02029
NodeType: Drug | Name: Alpha-Ribazole-5'-Phosphate | DrugId: DB02030
NodeType: Drug | Name: (6S)-5,6,7,8-tetrahydrofolic acid | DrugId: DB02031
NodeType: Drug | Name: Epicaptopril | DrugId: DB02032
NodeType: Drug | Name: N-(3-Cyclopropyl(5,6,7,8,9,10-Hexahydro-2-Oxo-2h-Cycloocta[B]Pyran-3-Yl)Methyl)Phenylbenzensulfonamide | DrugId: DB02033
NodeType: Drug | Name: Tridolgosir | DrugId: DB02034
NodeType: Drug | Name: Hexadecanesulfonyl fluoride | DrugId: DB02035
NodeType: Drug | Name: 2-(3,4-Dihydro-3-Oxo-2h-Benzo[B][1,4]Thiazin-2-Yl)-N-Hydroxyacetamide | DrugId: DB02036
NodeType: Drug | Name: 2,5-Diaminopyrimidin-4,6-diol | DrugId: DB02037
NodeType: Drug | Name: D-[3-hydroxy-2-methyl-5-phosphonooxymethyl-pyridin-4-ylmethyl]-N,O-cycloserylamide | DrugId: DB02038
NodeType: Drug | Name: S-Acetyl-Cysteine | DrugId: DB02039
NodeType: Drug | Name: Isoluminol | DrugId: DB02041
NodeType: Drug | Name: 2-(2-{2-[2-(2-Methoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol | DrugId: DB02042
NodeType: Drug | Name: 1,2-Dipalmitoyl-Phosphatidyl-Glycerole | DrugId: DB02043
NodeType: Drug | Name: N-[3-(aminomethyl)benzyl]acetamidine | DrugId: DB02044
NodeType: Drug | Name: Amylamine | DrugId: DB02045
NodeType: Drug | Name: N-[(Furan-2-Yl)Carbonyl]-(S)-Leucyl-(R)-[1-Amino-2(1h-Indol-3-Yl)Ethyl]-Phosphonic Acid | DrugId: DB02046
NodeType: Drug | Name: (+)-2-(4-biphenyl)propionic acid | DrugId: DB02047
NodeType: Drug | Name: 1,2,4-Triazole-Carboxamidine | DrugId: DB02048
NodeType: Drug | Name: 2-{4-[4-(4-Chloro-Phenoxy)-Benzenesulfonyl]-Tetrahydro-Pyran-4-Yl}-N-Hydroxy-Acetamide | DrugId: DB02049
NodeType: Drug | Name: 4-Nitrophenyl (3S)-3-({N-[(benzyloxy)carbonyl]-L-phenylalanyl}amino)-5-phenyl-1-pentanesulfonate | DrugId: DB02051
NodeType: Drug | Name: Indirubin-3'-monoxime | DrugId: DB02052
NodeType: Drug | Name: Ribose-5-phosphate | DrugId: DB02053
NodeType: Drug | Name: Gabaculine | DrugId: DB02054
NodeType: Drug | Name: N-Butyl-Benzenesulfonamide | DrugId: DB02055
NodeType: Drug | Name: Lornoxicam | DrugId: DB06725
NodeType: Drug | Name: (S)-AMPA | DrugId: DB02057
NodeType: Drug | Name: 3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone | DrugId: DB02058
NodeType: Drug | Name: Adenosine-5-Diphosphoribose | DrugId: DB02059
NodeType: Drug | Name: Cyclohexanone | DrugId: DB02060
NodeType: Drug | Name: Cellobiose | DrugId: DB02061
NodeType: Drug | Name: N-[3-[(1-Aminoethyl)(Hydroxy)Phosphoryl]-2-(1,1'-Biphenyl-4-Ylmethyl)Propanoyl]Alanine | DrugId: DB02062
NodeType: Drug | Name: CRA_16847 | DrugId: DB02063
NodeType: Drug | Name: 4-Deoxylactose | DrugId: DB02065
NodeType: Drug | Name: N7-Methyl-Formycin A | DrugId: DB02066
NodeType: Drug | Name: Triglu-5-formyl-tetrahydrofolate | DrugId: DB02067
NodeType: Drug | Name: Delta-Amino Valeric Acid | DrugId: DB02068
NodeType: Drug | Name: N-(2-Flouro-Benzyl)-4-Sulfamoyl-Benzamide | DrugId: DB02069
NodeType: Drug | Name: WAY-151693 | DrugId: DB02071
NodeType: Drug | Name: 2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid | DrugId: DB02072
NodeType: Drug | Name: Biliverdine IX Alpha | DrugId: DB02073
NodeType: Drug | Name: [(2R,3R,4S,5S)-3,4-Dihydroxy-5-(4-oxo-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-2-pyrrolidinyl]methyl dihydrogen phosphate | DrugId: DB02075
NodeType: Drug | Name: 6-phospho-D-gluconic acid | DrugId: DB02076
NodeType: Drug | Name: L-N(omega)-nitroarginine-(4R)-amino-L-proline amide | DrugId: DB02077
NodeType: Drug | Name: Triglyme | DrugId: DB02078
NodeType: Drug | Name: Aminooxyacetic acid | DrugId: DB02079
NodeType: Drug | Name: 1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene | DrugId: DB02080
NodeType: Drug | Name: Bis-Benzamidine | DrugId: DB02081
NodeType: Drug | Name: Phosphoaminophosphonic acid guanylate ester | DrugId: DB02082
NodeType: Drug | Name: CRA_17312 | DrugId: DB02084
NodeType: Drug | Name: 1-Aminocyclopropanecarboxylic Acid | DrugId: DB02085
NodeType: Drug | Name: (3,4-Dihydroxy-Phenyl)-Triphenyl-Arsonium | DrugId: DB02086
NodeType: Drug | Name: 3,5-Difluorobenzenesulfonamide | DrugId: DB02087
NodeType: Drug | Name: Norleucine Phosphonate | DrugId: DB02088
NodeType: Drug | Name: CP-526423 | DrugId: DB02089
NodeType: Drug | Name: A Disubstituted Succinyl Caprolactam Hydroxymate Mmp3inhibitor | DrugId: DB02090
NodeType: Drug | Name: 4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine | DrugId: DB02091
NodeType: Drug | Name: Cholesteryl Linoleate | DrugId: DB02092
NodeType: Drug | Name: 5-phospho-D-arabinohydroxamic acid | DrugId: DB02093
NodeType: Drug | Name: N-2-Thiophen-2-Yl-Acetamide Boronic Acid | DrugId: DB02094
NodeType: Drug | Name: Isatin | DrugId: DB02095
NodeType: Drug | Name: FR221647 | DrugId: DB02096
NodeType: Drug | Name: Cytidine | DrugId: DB02097
NodeType: Drug | Name: Adenosine-2'-5'-Diphosphate | DrugId: DB02098
NodeType: Drug | Name: S-azabisabolene | DrugId: DB02099
NodeType: Drug | Name: Methyl alpha-galactoside | DrugId: DB02100
NodeType: Drug | Name: (S,R)-fidarestat | DrugId: DB02101
NodeType: Drug | Name: Mozenavir | DrugId: DB02102
NodeType: Drug | Name: 2-Chlorodideoxyadenosine | DrugId: DB02103
NodeType: Drug | Name: 2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine | DrugId: DB02104
NodeType: Drug | Name: 3,5-Dinitrocatechol | DrugId: DB02105
NodeType: Drug | Name: [3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid | DrugId: DB02106
NodeType: Drug | Name: Leucine - Reduced Carbonyl | DrugId: DB02107
NodeType: Drug | Name: 2-Aminoethanimidic Acid | DrugId: DB02108
NodeType: Drug | Name: Hadacidin | DrugId: DB02109
NodeType: Drug | Name: Protoporphyrin Ix Containing Co | DrugId: DB02110
NodeType: Drug | Name: 3-hydroxyisoxazole-4-carboxylic acid | DrugId: DB02111
NodeType: Drug | Name: Zk-806450 | DrugId: DB02112
NodeType: Drug | Name: 6-Methylpurine | DrugId: DB02113
NodeType: Drug | Name: Cumidine | DrugId: DB02114
NodeType: Drug | Name: Daidzin | DrugId: DB02115
NodeType: Drug | Name: Olomoucine | DrugId: DB02116
NodeType: Drug | Name: CP-271485 | DrugId: DB02118
NodeType: Drug | Name: 6-Hydroxymethyl-7,8-Dihydropterin | DrugId: DB02119
NodeType: Drug | Name: 6-Amino-4-Hydroxymethyl-Cyclohex-4-Ene-1,2,3-Triol | DrugId: DB02120
NodeType: Drug | Name: Butyramide | DrugId: DB02121
NodeType: Drug | Name: 4-iodo-acetamido phenylboronic acid | DrugId: DB02122
NodeType: Drug | Name: Glycochenodeoxycholic Acid | DrugId: DB02123
NodeType: Drug | Name: (2s,3s)-Trans-2,3-Dihydro-3-Hydroxyanthranilic Acid | DrugId: DB02124
NodeType: Drug | Name: Adamantanone | DrugId: DB02125
NodeType: Drug | Name: 4-Carboxycinnamic Acid | DrugId: DB02126
NodeType: Drug | Name: Diisopropyl methylphosphonate | DrugId: DB02127
NodeType: Drug | Name: [1-(3-hydroxy-2-oxo-1-phenethyl-propylcarbamoyl)2-phenyl-ethyl]-carbamic acid pyridin-4-ylmethyl ester | DrugId: DB02128
NodeType: Drug | Name: Vanillic acid | DrugId: DB02130
NodeType: Drug | Name: N-1-methylheptylformamide | DrugId: DB02131
NodeType: Drug | Name: Zenarestat | DrugId: DB02132
NodeType: Drug | Name: Chlorophyll A | DrugId: DB02133
NodeType: Drug | Name: 1-deoxy-1-{2,6,8-trioxo-7-[4-(phosphonooxy)butyl]-1,2,3,6,7,8-hexahydro-9H-purin-9-yl}-D-arabinitol | DrugId: DB02135
NodeType: Drug | Name: Cephalosporin analog | DrugId: DB02136
NodeType: Drug | Name: Molybdenum cofactor | DrugId: DB02137
NodeType: Drug | Name: Diethyl 4-Methylbenzylphosphonate | DrugId: DB02138
NodeType: Drug | Name: (2e)-N-Allyl-4-{[3-(4-Bromophenyl)-5-Fluoro-1-Methyl-1h-Indazol-6-Yl]Oxy}-N-Methyl-2-Buten-1-Amine | DrugId: DB02139
NodeType: Drug | Name: N1-(1-Dimethylcarbamoyl-2-Phenyl-Ethyl)-2-Oxo-N4-(2-Pyridin-2-Yl-Ethyl)-Succinamide | DrugId: DB02140
NodeType: Drug | Name: S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea | DrugId: DB02141
NodeType: Drug | Name: 1-hydroxy-2-isopropylguanidine | DrugId: DB02143
NodeType: Drug | Name: 1,2-diacyl-sn-glycero-3-phosphoinositol | DrugId: DB02144
NodeType: Drug | Name: Butyl alcohol | DrugId: DB02145
NodeType: Drug | Name: Glutathione S-atrazine | DrugId: DB02146
NodeType: Drug | Name: Cyclo-Tetrametavanadate | DrugId: DB02147
NodeType: Drug | Name: 3-Amino-4-Oxybenzyl-2-Butanone | DrugId: DB02148
NodeType: Drug | Name: Methionine Phosphonate | DrugId: DB02151
NodeType: Drug | Name: K-252a | DrugId: DB02152
NodeType: Drug | Name: 3-sulfino-L-alanine | DrugId: DB02153
NodeType: Drug | Name: 2,3-Bis-Benzo[1,3]Dioxol-5-Ylmethyl-Succinic Acid | DrugId: DB02154
NodeType: Drug | Name: 3-[(3-sec-butyl-4-hydroxybenzoyl)amino]azepan-4-yl 4-(2-hydroxy-5-methoxybenzoyl)benzoate | DrugId: DB02155
NodeType: Drug | Name: Sulfopyruvate | DrugId: DB02156
NodeType: Drug | Name: (2S,3S,4R,5S)-2-(4-Amino-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-5-[(methylsulfanyl)methyl]-3,4-pyrrolidinediol | DrugId: DB02158
NodeType: Drug | Name: (R)-Propylene glycol | DrugId: DB02159
NodeType: Drug | Name: S-Butyryl-Cystein | DrugId: DB02160
NodeType: Drug | Name: Hydroxy-Phenyl-Acetic Acid 8-Methyl-8-Aza-Bicyclo[3.2.1]Oct-3-Yl Ester | DrugId: DB02161
NodeType: Drug | Name: 5'-O-(N-Ethyl-Sulfamoyl)Adenosine | DrugId: DB02162
NodeType: Drug | Name: 2,5-Xylidine | DrugId: DB02163
NodeType: Drug | Name: N-sulfo-flavin mononucleotide | DrugId: DB02164
NodeType: Drug | Name: Zinc trihydroxide | DrugId: DB02165
NodeType: Drug | Name: Propidium | DrugId: DB02166
NodeType: Drug | Name: N,N-Dimethyl-L-Alanine | DrugId: DB02167
NodeType: Drug | Name: 6-bromopurine | DrugId: DB02168
NodeType: Drug | Name: 9,10-Deepithio-9,10-Didehydroacanthifolicin | DrugId: DB02169
NodeType: Drug | Name: 1,8-Di-Hydroxy-4-Nitro-Xanthen-9-One | DrugId: DB02170
NodeType: Drug | Name: 2,5-Dideoxy-2,5-Imino-D-Glucitol | DrugId: DB02172
NodeType: Drug | Name: Co(III)-(Deuteroporphyrin IX) | DrugId: DB02173
NodeType: Drug | Name: D-Glutamine | DrugId: DB02174
NodeType: Drug | Name: Mercury Acetate Ion | DrugId: DB02176
NodeType: Drug | Name: 1-Acetyl-4-(4-{4-[(2-Ethoxyphenyl)Thio]-3-Nitrophenyl}Pyridin-2-Yl)Piperazine | DrugId: DB02177
NodeType: Drug | Name: Phenylacetaldehyde | DrugId: DB02178
NodeType: Drug | Name: O-Trifluoromethylphenyl Anthranilic Acid | DrugId: DB02179
NodeType: Drug | Name: Myristoyl-Coa | DrugId: DB02180
NodeType: Drug | Name: 2'-Deoxyguanosine-5'-Triphosphate | DrugId: DB02181
NodeType: Drug | Name: Hybrid Between B and C Type Hemes (Protoporphyrin Ixcontaining Fe) | DrugId: DB02182
NodeType: Drug | Name: Adenosine-5'-ditungstate | DrugId: DB02183
NodeType: Drug | Name: D-1,4-dithiothreitol | DrugId: DB02184
NodeType: Drug | Name: 2,4-Dihydroxy-7-(Methyloxy)-2h-1,4-Benzoxazin-3(4h)-One | DrugId: DB02185
NodeType: Drug | Name: N-acetyl-beta-D-galactosamine 6-sulfate | DrugId: DB02186
NodeType: Drug | Name: Equilin | DrugId: DB02187
NodeType: Drug | Name: N-Methylmesoporphyrin containing copper | DrugId: DB02188
NodeType: Drug | Name: (S)-oxalosuccinic acid | DrugId: DB02190
NodeType: Drug | Name: (7as,12ar,12bs)-1,2,3,4,7a,12,12a,12b-Octahydroindolo[2,3-a]Quinolizin-7(6h)-One | DrugId: DB02191
NodeType: Drug | Name: Phenylethyl alcohol | DrugId: DB02192
NodeType: Drug | Name: 8-Benzyl-2-Hydroxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One | DrugId: DB02194
NodeType: Drug | Name: 3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine | DrugId: DB02195
NodeType: Drug | Name: Uridine-Diphosphate-N-Acetylgalactosamine | DrugId: DB02196
NodeType: Drug | Name: 4-[(4-Imidazo[1,2-a]Pyridin-3-Ylpyrimidin-2-Yl)Amino]Benzenesulfonamide | DrugId: DB02197
NodeType: Drug | Name: 2-Bromoacetyl Group | DrugId: DB02198
NodeType: Drug | Name: 1,3-Dedimethyl-1,3-Divinyl Heme | DrugId: DB02199
NodeType: Drug | Name: 3-[N-[benzyloxycarbonyl]-phenylalaninyl-amino]-5-phenyl-pentane-1-sulfonylmethylbenzene | DrugId: DB02200
NodeType: Drug | Name: Malonate Ion | DrugId: DB02201
NodeType: Drug | Name: (S)-butane-1,3-diol | DrugId: DB02202
NodeType: Drug | Name: Acetone Cyanohydrin | DrugId: DB02203
NodeType: Drug | Name: (+)-Rutamarin alcohol | DrugId: DB02205
NodeType: Drug | Name: 7-Nitroindazole | DrugId: DB02207
NodeType: Drug | Name: Hexane-1,6-Diol | DrugId: DB02210
NodeType: Drug | Name: (R)-N-methyl-N-2-propynyl-1-indanamine | DrugId: DB02211
NodeType: Drug | Name: Metanitrophenyl-Alpha-D-Galactoside | DrugId: DB02213
NodeType: Drug | Name: 6,7-dioxo-5H-8-ribitylaminolumazine | DrugId: DB02214
NodeType: Drug | Name: Furoyl-Leucine | DrugId: DB02215
NodeType: Drug | Name: S-Methylcysteine | DrugId: DB02216
NodeType: Drug | Name: Dpb-T | DrugId: DB02217
NodeType: Drug | Name: N-[4-hydroxymethyl-cyclohexan-6-yl-1,2,3-triol]-4,6-dideoxy-4-aminoglucopyranoside | DrugId: DB02218
NodeType: Drug | Name: 3-(cyclohexylamino)propanesulfonic acid | DrugId: DB02219
NodeType: Drug | Name: AL7089A | DrugId: DB02220
NodeType: Drug | Name: 4-(Aminosulfonyl)-N-[(2,4,6-Trifluorophenyl)Methyl]-Benzamide | DrugId: DB02221
NodeType: Drug | Name: 2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine | DrugId: DB02222
NodeType: Drug | Name: LY231514 tetra glu | DrugId: DB02223
NodeType: Drug | Name: Taxifolin | DrugId: DB02224
NodeType: Drug | Name: 1,2-Di-N-Pentanoyl-Sn-Glycero-3-Dithiophosphocholine | DrugId: DB02225
NodeType: Drug | Name: 3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-4-Yl]Hexyl]-Phenanthridinium | DrugId: DB02226
NodeType: Drug | Name: 4,5-Dihydroxy-Tetrahydro-Pyran-2-Carboxylic Acid | DrugId: DB02227
NodeType: Drug | Name: 2-deoxy-2-fluoro-��-D-galactose | DrugId: DB02228
NodeType: Drug | Name: 5'-O-[(L-methionyl)-sulphamoyl]adenosine | DrugId: DB02229
NodeType: Drug | Name: Immucillin-G | DrugId: DB02230
NodeType: Drug | Name: 6-hydroxy-D-norleucine | DrugId: DB02233
NodeType: Drug | Name: S-Ethylisothiourea | DrugId: DB02234
NodeType: Drug | Name: L-methionine (R)-S-oxide | DrugId: DB02235
NodeType: Drug | Name: Glycinamide Ribonucleotide | DrugId: DB02236
NodeType: Drug | Name: Maltotetraose | DrugId: DB02237
NodeType: Drug | Name: Laevulinic Acid | DrugId: DB02239
NodeType: Drug | Name: Quinacrine mustard | DrugId: DB02240
NodeType: Drug | Name: 8-Benzyl-2-Hydroperoxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One | DrugId: DB02241
NodeType: Drug | Name: Cyclohexanepropanoic acid | DrugId: DB02242
NodeType: Drug | Name: 4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide | DrugId: DB02243
NodeType: Drug | Name: 7-Deazaguanine | DrugId: DB02245
NodeType: Drug | Name: Hydrolyzed Cephalothin | DrugId: DB02247
NodeType: Drug | Name: 3-Methyl-5-Sulfo-Pyrrolidine-2-Carboxylic Acid | DrugId: DB02248
NodeType: Drug | Name: 2-Ethoxyethanol | DrugId: DB02249
NodeType: Drug | Name: O-Succinylbenzoate | DrugId: DB02251
NodeType: Drug | Name: Iodobenzene | DrugId: DB02252
NodeType: Drug | Name: (1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-Hydroxy-3,7,12,16-Tetramethylheptadeca-1,3,5,7,9,11,13,15-Octaen-1-Yl]-3,5,5-Trimethylcyclohex-3-En-1-Ol | DrugId: DB02253
NodeType: Drug | Name: Trifluoro-thiamin phosphate | DrugId: DB02254
NodeType: Drug | Name: Ilomastat | DrugId: DB02255
NodeType: Drug | Name: 2'-Deoxyuridine | DrugId: DB02256
NodeType: Drug | Name: N-Bromoacetyl-Aminoethyl Phosphate | DrugId: DB02257
NodeType: Drug | Name: SR11254 | DrugId: DB02258
NodeType: Drug | Name: 3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid (4-Sulfamoyl-Phenyl)-Amide | DrugId: DB02259
NodeType: Drug | Name: 4-Oxosebacic Acid | DrugId: DB02260
NodeType: Drug | Name: Platelet Activating Factor | DrugId: DB02261
NodeType: Drug | Name: O2-Sulfo-Glucuronic Acid | DrugId: DB02264
NodeType: Drug | Name: Ethyl-Trimethyl-Silane | DrugId: DB02265
NodeType: Drug | Name: Flufenamic acid | DrugId: DB02266
NodeType: Drug | Name: Argininosuccinate | DrugId: DB02267
NodeType: Drug | Name: 4-(Acetylamino)-3-Amino Benzoic Acid | DrugId: DB02268
NodeType: Drug | Name: [4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium | DrugId: DB02269
NodeType: Drug | Name: Dimethylallyl S-Thiolodiphosphate | DrugId: DB02270
NodeType: Drug | Name: S-(2-oxo)pentadecylcoa | DrugId: DB02271
NodeType: Drug | Name: Porphobilinogen | DrugId: DB02272
NodeType: Drug | Name: 2,6-Dimethyl-7-Octen-2-Ol | DrugId: DB02273
NodeType: Drug | Name: 7-Keto-8-Aminopelargonic Acid | DrugId: DB02274
NodeType: Drug | Name: [2-Aminomethyl-5-Oxo-4-(4-Oxo-Cyclohexa-2,5-Dienylmethyl)-4,5-Dihydro-Imidazol-1-Yl] -Acetaldehyde | DrugId: DB02275
NodeType: Drug | Name: (S)-2-(Phosphonoxy)Caproyl-L-Leucyl-P-Nitroanilide | DrugId: DB02276
NodeType: Drug | Name: 1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea | DrugId: DB02277
NodeType: Drug | Name: 7,8-dihydro-7,7-dimethyl-6-hydroxypterin | DrugId: DB02278
