NodeType: Pathway | PathwayName: Regulation of innate immune responses to cytosolic DNA | PathwayId: R-HSA-3134975
NodeType: Pathway | PathwayName: Reproduction | PathwayId: R-HSA-1474165
NodeType: Pathway | PathwayName: Resistance of ERBB2 KD mutants to AEE788 | PathwayId: R-HSA-9665250
NodeType: Pathway | PathwayName: Resistance of ERBB2 KD mutants to afatinib | PathwayId: R-HSA-9665249
NodeType: Pathway | PathwayName: Resistance of ERBB2 KD mutants to lapatinib | PathwayId: R-HSA-9665251
NodeType: Pathway | PathwayName: Resistance of ERBB2 KD mutants to neratinib | PathwayId: R-HSA-9665246
NodeType: Pathway | PathwayName: Resistance of ERBB2 KD mutants to osimertinib | PathwayId: R-HSA-9665247
NodeType: Pathway | PathwayName: Resistance of ERBB2 KD mutants to sapitinib | PathwayId: R-HSA-9665244
NodeType: Pathway | PathwayName: Resistance of ERBB2 KD mutants to tesevatinib | PathwayId: R-HSA-9665245
NodeType: Pathway | PathwayName: Resistance of ERBB2 KD mutants to trastuzumab | PathwayId: R-HSA-9665233
NodeType: Pathway | PathwayName: Resolution of AP sites via the multiple-nucleotide patch replacement pathway | PathwayId: R-HSA-110373
NodeType: Pathway | PathwayName: Resolution of AP sites via the single-nucleotide replacement pathway | PathwayId: R-HSA-110381
NodeType: Pathway | PathwayName: Resolution of Abasic Sites (AP sites) | PathwayId: R-HSA-73933
NodeType: Pathway | PathwayName: Resolution of D-Loop Structures | PathwayId: R-HSA-5693537
NodeType: Pathway | PathwayName: Resolution of D-loop Structures through Holliday Junction Intermediates | PathwayId: R-HSA-5693568
NodeType: Pathway | PathwayName: Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA) | PathwayId: R-HSA-5693554
NodeType: Pathway | PathwayName: Resolution of Sister Chromatid Cohesion | PathwayId: R-HSA-2500257
NodeType: Pathway | PathwayName: Respiratory Syncytial Virus Infection Pathway | PathwayId: R-HSA-9820952
NodeType: Pathway | PathwayName: Respiratory electron transport | PathwayId: R-HSA-611105
NodeType: Pathway | PathwayName: Respiratory syncytial virus (RSV) attachment and entry | PathwayId: R-HSA-9820960
NodeType: Pathway | PathwayName: Respiratory syncytial virus (RSV) genome replication, transcription and translation | PathwayId: R-HSA-9820965
NodeType: Pathway | PathwayName: Respiratory syncytial virus genome replication | PathwayId: R-HSA-9834752
NodeType: Pathway | PathwayName: Respiratory syncytial virus genome transcription | PathwayId: R-HSA-9828642
NodeType: Pathway | PathwayName: Response of EIF2AK1 (HRI) to heme deficiency | PathwayId: R-HSA-9648895
NodeType: Pathway | PathwayName: Response of EIF2AK4 (GCN2) to amino acid deficiency | PathwayId: R-HSA-9633012
NodeType: Pathway | PathwayName: Response of Mtb to phagocytosis | PathwayId: R-HSA-9637690
NodeType: Pathway | PathwayName: Response to elevated platelet cytosolic Ca2+ | PathwayId: R-HSA-76005
NodeType: Pathway | PathwayName: Response to metal ions | PathwayId: R-HSA-5660526
NodeType: Pathway | PathwayName: Retinoid cycle disease events | PathwayId: R-HSA-2453864
NodeType: Pathway | PathwayName: Retinoid metabolism and transport | PathwayId: R-HSA-975634
NodeType: Pathway | PathwayName: Retinoid metabolism disease events | PathwayId: R-HSA-6809583
NodeType: Pathway | PathwayName: Retrograde neurotrophin signalling | PathwayId: R-HSA-177504
NodeType: Pathway | PathwayName: Retrograde transport at the Trans-Golgi-Network | PathwayId: R-HSA-6811440
NodeType: Pathway | PathwayName: Reuptake of GABA | PathwayId: R-HSA-888593
NodeType: Pathway | PathwayName: Rev-mediated nuclear export of HIV RNA | PathwayId: R-HSA-165054
NodeType: Pathway | PathwayName: Reversal of alkylation damage by DNA dioxygenases | PathwayId: R-HSA-73943
NodeType: Pathway | PathwayName: Reverse Transcription of HIV RNA | PathwayId: R-HSA-162589
NodeType: Pathway | PathwayName: Reversible DNA damage induced by alkylating chemotherapeutic drugs | PathwayId: R-HSA-9729902
NodeType: Pathway | PathwayName: Reversible hydration of carbon dioxide | PathwayId: R-HSA-1475029
NodeType: Pathway | PathwayName: Rhesus blood group biosynthesis | PathwayId: R-HSA-9037628
NodeType: Pathway | PathwayName: Rhesus glycoproteins mediate ammonium transport. | PathwayId: R-HSA-444411
NodeType: Pathway | PathwayName: Ribavirin ADME | PathwayId: R-HSA-9755088
NodeType: Pathway | PathwayName: Ribosomal scanning and start codon recognition | PathwayId: R-HSA-72702
NodeType: Pathway | PathwayName: Role of ABL in ROBO-SLIT signaling | PathwayId: R-HSA-428890
NodeType: Pathway | PathwayName: Role of LAT2/NTAL/LAB on calcium mobilization | PathwayId: R-HSA-2730905
NodeType: Pathway | PathwayName: Role of phospholipids in phagocytosis | PathwayId: R-HSA-2029485
NodeType: Pathway | PathwayName: Role of second messengers in netrin-1 signaling | PathwayId: R-HSA-418890
NodeType: Pathway | PathwayName: S Phase | PathwayId: R-HSA-69242
NodeType: Pathway | PathwayName: SARS-CoV Infections | PathwayId: R-HSA-9679506
NodeType: Pathway | PathwayName: SARS-CoV-1 Genome Replication and Transcription | PathwayId: R-HSA-9679514
NodeType: Pathway | PathwayName: SARS-CoV-1 Infection | PathwayId: R-HSA-9678108
NodeType: Pathway | PathwayName: SARS-CoV-1 activates/modulates innate immune responses | PathwayId: R-HSA-9692916
NodeType: Pathway | PathwayName: SARS-CoV-1 modulates host translation machinery | PathwayId: R-HSA-9735869
NodeType: Pathway | PathwayName: SARS-CoV-1 targets PDZ proteins in cell-cell junction | PathwayId: R-HSA-9692912
NodeType: Pathway | PathwayName: SARS-CoV-1 targets host intracellular signalling and regulatory pathways | PathwayId: R-HSA-9735871
NodeType: Pathway | PathwayName: SARS-CoV-1-host interactions | PathwayId: R-HSA-9692914
NodeType: Pathway | PathwayName: SARS-CoV-1-mediated effects on programmed cell death | PathwayId: R-HSA-9692913
NodeType: Pathway | PathwayName: SARS-CoV-2 Genome Replication and Transcription | PathwayId: R-HSA-9694682
NodeType: Pathway | PathwayName: SARS-CoV-2 Infection | PathwayId: R-HSA-9694516
NodeType: Pathway | PathwayName: SARS-CoV-2 activates/modulates innate and adaptive immune responses | PathwayId: R-HSA-9705671
NodeType: Pathway | PathwayName: SARS-CoV-2 modulates autophagy | PathwayId: R-HSA-9754560
NodeType: Pathway | PathwayName: SARS-CoV-2 modulates host translation machinery | PathwayId: R-HSA-9754678
NodeType: Pathway | PathwayName: SARS-CoV-2 targets PDZ proteins in cell-cell junction | PathwayId: R-HSA-9705677
NodeType: Pathway | PathwayName: SARS-CoV-2 targets host intracellular signalling and regulatory pathways | PathwayId: R-HSA-9755779
NodeType: Pathway | PathwayName: SARS-CoV-2-host interactions | PathwayId: R-HSA-9705683
NodeType: Pathway | PathwayName: SCF(Skp2)-mediated degradation of p27/p21 | PathwayId: R-HSA-187577
NodeType: Pathway | PathwayName: SCF-beta-TrCP mediated degradation of Emi1 | PathwayId: R-HSA-174113
NodeType: Pathway | PathwayName: SDK interactions | PathwayId: R-HSA-373756
NodeType: Pathway | PathwayName: SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion | PathwayId: R-HSA-399955
NodeType: Pathway | PathwayName: SHC-mediated cascade:FGFR1 | PathwayId: R-HSA-5654688
NodeType: Pathway | PathwayName: SHC-mediated cascade:FGFR2 | PathwayId: R-HSA-5654699
NodeType: Pathway | PathwayName: SHC-mediated cascade:FGFR3 | PathwayId: R-HSA-5654704
NodeType: Pathway | PathwayName: SHC-mediated cascade:FGFR4 | PathwayId: R-HSA-5654719
NodeType: Pathway | PathwayName: SHC-related events triggered by IGF1R | PathwayId: R-HSA-2428933
NodeType: Pathway | PathwayName: SHC1 events in EGFR signaling | PathwayId: R-HSA-180336
NodeType: Pathway | PathwayName: SHC1 events in ERBB2 signaling | PathwayId: R-HSA-1250196
NodeType: Pathway | PathwayName: SHC1 events in ERBB4 signaling | PathwayId: R-HSA-1250347
NodeType: Pathway | PathwayName: SHOC2 M1731 mutant abolishes MRAS complex function | PathwayId: R-HSA-9726840
NodeType: Pathway | PathwayName: SIRT1 negatively regulates rRNA expression | PathwayId: R-HSA-427359
NodeType: Pathway | PathwayName: SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs | PathwayId: R-HSA-77588
NodeType: Pathway | PathwayName: SLBP independent Processing of Histone Pre-mRNAs | PathwayId: R-HSA-111367
NodeType: Pathway | PathwayName: SLC transporter disorders | PathwayId: R-HSA-5619102
NodeType: Pathway | PathwayName: SLC-mediated transmembrane transport | PathwayId: R-HSA-425407
NodeType: Pathway | PathwayName: SLC15A4:TASL-dependent IRF5 activation | PathwayId: R-HSA-9860276
NodeType: Pathway | PathwayName: SLIT2:ROBO1 increases RHOA activity | PathwayId: R-HSA-8985586
NodeType: Pathway | PathwayName: SMAC (DIABLO) binds to IAPs | PathwayId: R-HSA-111463
NodeType: Pathway | PathwayName: SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes | PathwayId: R-HSA-111464
NodeType: Pathway | PathwayName: SMAC, XIAP-regulated apoptotic response | PathwayId: R-HSA-111469
NodeType: Pathway | PathwayName: SMAD2/3 MH2 Domain Mutants in Cancer | PathwayId: R-HSA-3315487
NodeType: Pathway | PathwayName: SMAD2/3 Phosphorylation Motif Mutants in Cancer | PathwayId: R-HSA-3304356
NodeType: Pathway | PathwayName: SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription | PathwayId: R-HSA-2173796
NodeType: Pathway | PathwayName: SMAD4 MH2 Domain Mutants in Cancer | PathwayId: R-HSA-3311021
NodeType: Pathway | PathwayName: SOS-mediated signalling | PathwayId: R-HSA-112412
NodeType: Pathway | PathwayName: SRP-dependent cotranslational protein targeting to membrane | PathwayId: R-HSA-1799339
NodeType: Pathway | PathwayName: STAT3 nuclear events downstream of ALK signaling | PathwayId: R-HSA-9701898
NodeType: Pathway | PathwayName: STAT5 Activation | PathwayId: R-HSA-9645135
NodeType: Pathway | PathwayName: STAT5 activation downstream of FLT3 ITD mutants | PathwayId: R-HSA-9702518
NodeType: Pathway | PathwayName: STAT6-mediated induction of chemokines | PathwayId: R-HSA-3249367
NodeType: Pathway | PathwayName: STING mediated induction of host immune responses | PathwayId: R-HSA-1834941
NodeType: Pathway | PathwayName: SUMO E3 ligases SUMOylate target proteins | PathwayId: R-HSA-3108232
NodeType: Pathway | PathwayName: SUMO is conjugated to E1 (UBA2:SAE1) | PathwayId: R-HSA-3065676
NodeType: Pathway | PathwayName: SUMO is proteolytically processed | PathwayId: R-HSA-3065679
NodeType: Pathway | PathwayName: SUMO is transferred from E1 to E2 (UBE2I, UBC9) | PathwayId: R-HSA-3065678
NodeType: Pathway | PathwayName: SUMOylation | PathwayId: R-HSA-2990846
NodeType: Pathway | PathwayName: SUMOylation of DNA damage response and repair proteins | PathwayId: R-HSA-3108214
NodeType: Pathway | PathwayName: SUMOylation of DNA methylation proteins | PathwayId: R-HSA-4655427
NodeType: Pathway | PathwayName: SUMOylation of DNA replication proteins | PathwayId: R-HSA-4615885
NodeType: Pathway | PathwayName: SUMOylation of RNA binding proteins | PathwayId: R-HSA-4570464
NodeType: Pathway | PathwayName: SUMOylation of SUMOylation proteins | PathwayId: R-HSA-4085377
NodeType: Pathway | PathwayName: SUMOylation of chromatin organization proteins | PathwayId: R-HSA-4551638
NodeType: Pathway | PathwayName: SUMOylation of immune response proteins | PathwayId: R-HSA-4755510
NodeType: Pathway | PathwayName: SUMOylation of intracellular receptors | PathwayId: R-HSA-4090294
NodeType: Pathway | PathwayName: SUMOylation of nuclear envelope proteins | PathwayId: R-HSA-9793242
NodeType: Pathway | PathwayName: SUMOylation of transcription cofactors | PathwayId: R-HSA-3899300
NodeType: Pathway | PathwayName: SUMOylation of transcription factors | PathwayId: R-HSA-3232118
NodeType: Pathway | PathwayName: SUMOylation of ubiquitinylation proteins | PathwayId: R-HSA-3232142
NodeType: Pathway | PathwayName: Scavenging by Class A Receptors | PathwayId: R-HSA-3000480
NodeType: Pathway | PathwayName: Scavenging by Class B Receptors | PathwayId: R-HSA-3000471
NodeType: Pathway | PathwayName: Scavenging by Class F Receptors | PathwayId: R-HSA-3000484
NodeType: Pathway | PathwayName: Scavenging by Class H Receptors | PathwayId: R-HSA-3000497
NodeType: Pathway | PathwayName: Scavenging of heme from plasma | PathwayId: R-HSA-2168880
NodeType: Pathway | PathwayName: Sealing of the nuclear envelope (NE) by ESCRT-III | PathwayId: R-HSA-9668328
NodeType: Pathway | PathwayName: Selective autophagy | PathwayId: R-HSA-9663891
NodeType: Pathway | PathwayName: Selenoamino acid metabolism | PathwayId: R-HSA-2408522
NodeType: Pathway | PathwayName: Selenocysteine synthesis | PathwayId: R-HSA-2408557
NodeType: Pathway | PathwayName: Sema3A PAK dependent Axon repulsion | PathwayId: R-HSA-399954
NodeType: Pathway | PathwayName: Sema4D in semaphorin signaling | PathwayId: R-HSA-400685
NodeType: Pathway | PathwayName: Sema4D induced cell migration and growth-cone collapse | PathwayId: R-HSA-416572
NodeType: Pathway | PathwayName: Sema4D mediated inhibition of cell attachment and migration | PathwayId: R-HSA-416550
NodeType: Pathway | PathwayName: Semaphorin interactions | PathwayId: R-HSA-373755
NodeType: Pathway | PathwayName: Senescence-Associated Secretory Phenotype (SASP) | PathwayId: R-HSA-2559582
NodeType: Pathway | PathwayName: Sensing of DNA Double Strand Breaks | PathwayId: R-HSA-5693548
NodeType: Pathway | PathwayName: Sensory Perception | PathwayId: R-HSA-9709957
NodeType: Pathway | PathwayName: Sensory perception of salty taste | PathwayId: R-HSA-9730628
NodeType: Pathway | PathwayName: Sensory perception of sour taste | PathwayId: R-HSA-9729555
NodeType: Pathway | PathwayName: Sensory perception of sweet, bitter, and umami (glutamate) taste | PathwayId: R-HSA-9717207
NodeType: Pathway | PathwayName: Sensory perception of taste | PathwayId: R-HSA-9717189
NodeType: Pathway | PathwayName: Sensory processing of sound | PathwayId: R-HSA-9659379
NodeType: Pathway | PathwayName: Sensory processing of sound by inner hair cells of the cochlea | PathwayId: R-HSA-9662360
NodeType: Pathway | PathwayName: Sensory processing of sound by outer hair cells of the cochlea | PathwayId: R-HSA-9662361
NodeType: Pathway | PathwayName: Separation of Sister Chromatids | PathwayId: R-HSA-2467813
NodeType: Pathway | PathwayName: Serine biosynthesis | PathwayId: R-HSA-977347
NodeType: Pathway | PathwayName: Serotonin Neurotransmitter Release Cycle | PathwayId: R-HSA-181429
NodeType: Pathway | PathwayName: Serotonin and melatonin biosynthesis | PathwayId: R-HSA-209931
NodeType: Pathway | PathwayName: Serotonin clearance from the synaptic cleft | PathwayId: R-HSA-380615
NodeType: Pathway | PathwayName: Serotonin receptors | PathwayId: R-HSA-390666
NodeType: Pathway | PathwayName: Severe congenital neutropenia type 4 (G6PC3) | PathwayId: R-HSA-3282872
NodeType: Pathway | PathwayName: Sialic acid metabolism | PathwayId: R-HSA-4085001
NodeType: Pathway | PathwayName: Signal Transduction | PathwayId: R-HSA-162582
NodeType: Pathway | PathwayName: Signal amplification | PathwayId: R-HSA-392518
NodeType: Pathway | PathwayName: Signal attenuation | PathwayId: R-HSA-74749
NodeType: Pathway | PathwayName: Signal regulatory protein family interactions | PathwayId: R-HSA-391160
NodeType: Pathway | PathwayName: Signal transduction by L1 | PathwayId: R-HSA-445144
NodeType: Pathway | PathwayName: Signaling by ALK | PathwayId: R-HSA-201556
NodeType: Pathway | PathwayName: Signaling by ALK fusions and activated point mutants | PathwayId: R-HSA-9725370
NodeType: Pathway | PathwayName: Signaling by ALK in cancer | PathwayId: R-HSA-9700206
NodeType: Pathway | PathwayName: Signaling by AMER1 mutants | PathwayId: R-HSA-4839748
NodeType: Pathway | PathwayName: Signaling by APC mutants | PathwayId: R-HSA-4839744
NodeType: Pathway | PathwayName: Signaling by AXIN mutants | PathwayId: R-HSA-4839735
NodeType: Pathway | PathwayName: Signaling by Activin | PathwayId: R-HSA-1502540
NodeType: Pathway | PathwayName: Signaling by BMP | PathwayId: R-HSA-201451
NodeType: Pathway | PathwayName: Signaling by BRAF and RAF1 fusions | PathwayId: R-HSA-6802952
NodeType: Pathway | PathwayName: Signaling by CSF1 (M-CSF) in myeloid cells | PathwayId: R-HSA-9680350
NodeType: Pathway | PathwayName: Signaling by CSF3 (G-CSF) | PathwayId: R-HSA-9674555
NodeType: Pathway | PathwayName: Signaling by CTNNB1 phospho-site mutants | PathwayId: R-HSA-4839743
NodeType: Pathway | PathwayName: Signaling by EGFR | PathwayId: R-HSA-177929
NodeType: Pathway | PathwayName: Signaling by EGFR in Cancer | PathwayId: R-HSA-1643713
NodeType: Pathway | PathwayName: Signaling by EGFRvIII in Cancer | PathwayId: R-HSA-5637812
NodeType: Pathway | PathwayName: Signaling by ERBB2 | PathwayId: R-HSA-1227986
NodeType: Pathway | PathwayName: Signaling by ERBB2 ECD mutants | PathwayId: R-HSA-9665348
NodeType: Pathway | PathwayName: Signaling by ERBB2 KD Mutants | PathwayId: R-HSA-9664565
NodeType: Pathway | PathwayName: Signaling by ERBB2 TMD/JMD mutants | PathwayId: R-HSA-9665686
NodeType: Pathway | PathwayName: Signaling by ERBB2 in Cancer | PathwayId: R-HSA-1227990
NodeType: Pathway | PathwayName: Signaling by ERBB4 | PathwayId: R-HSA-1236394
NodeType: Pathway | PathwayName: Signaling by Erythropoietin | PathwayId: R-HSA-9006335
NodeType: Pathway | PathwayName: Signaling by FGFR | PathwayId: R-HSA-190236
NodeType: Pathway | PathwayName: Signaling by FGFR in disease | PathwayId: R-HSA-1226099
NodeType: Pathway | PathwayName: Signaling by FGFR1 | PathwayId: R-HSA-5654736
NodeType: Pathway | PathwayName: Signaling by FGFR1 amplification mutants | PathwayId: R-HSA-1839120
NodeType: Pathway | PathwayName: Signaling by FGFR1 in disease | PathwayId: R-HSA-5655302
NodeType: Pathway | PathwayName: Signaling by FGFR2 | PathwayId: R-HSA-5654738
NodeType: Pathway | PathwayName: Signaling by FGFR2 IIIa TM | PathwayId: R-HSA-8851708
NodeType: Pathway | PathwayName: Signaling by FGFR2 amplification mutants | PathwayId: R-HSA-2023837
NodeType: Pathway | PathwayName: Signaling by FGFR2 fusions | PathwayId: R-HSA-8853333
NodeType: Pathway | PathwayName: Signaling by FGFR2 in disease | PathwayId: R-HSA-5655253
NodeType: Pathway | PathwayName: Signaling by FGFR3 | PathwayId: R-HSA-5654741
NodeType: Pathway | PathwayName: Signaling by FGFR3 fusions in cancer | PathwayId: R-HSA-8853334
NodeType: Pathway | PathwayName: Signaling by FGFR3 in disease | PathwayId: R-HSA-5655332
NodeType: Pathway | PathwayName: Signaling by FGFR4 | PathwayId: R-HSA-5654743
NodeType: Pathway | PathwayName: Signaling by FGFR4 in disease | PathwayId: R-HSA-5655291
NodeType: Pathway | PathwayName: Signaling by FLT3 ITD and TKD mutants | PathwayId: R-HSA-9703648
NodeType: Pathway | PathwayName: Signaling by FLT3 fusion proteins | PathwayId: R-HSA-9703465
NodeType: Pathway | PathwayName: Signaling by GPCR | PathwayId: R-HSA-372790
NodeType: Pathway | PathwayName: Signaling by GSK3beta mutants | PathwayId: R-HSA-5339716
NodeType: Pathway | PathwayName: Signaling by Hedgehog | PathwayId: R-HSA-5358351
NodeType: Pathway | PathwayName: Signaling by Hippo | PathwayId: R-HSA-2028269
NodeType: Pathway | PathwayName: Signaling by Insulin receptor | PathwayId: R-HSA-74752
NodeType: Pathway | PathwayName: Signaling by Interleukins | PathwayId: R-HSA-449147
NodeType: Pathway | PathwayName: Signaling by KIT in disease | PathwayId: R-HSA-9669938
NodeType: Pathway | PathwayName: Signaling by LRP5 mutants | PathwayId: R-HSA-5339717
NodeType: Pathway | PathwayName: Signaling by LTK | PathwayId: R-HSA-9842663
NodeType: Pathway | PathwayName: Signaling by LTK in cancer | PathwayId: R-HSA-9842640
NodeType: Pathway | PathwayName: Signaling by Leptin | PathwayId: R-HSA-2586552
NodeType: Pathway | PathwayName: Signaling by Ligand-Responsive EGFR Variants in Cancer | PathwayId: R-HSA-5637815
NodeType: Pathway | PathwayName: Signaling by MAP2K mutants | PathwayId: R-HSA-9652169
NodeType: Pathway | PathwayName: Signaling by MAPK mutants | PathwayId: R-HSA-9652817
NodeType: Pathway | PathwayName: Signaling by MET | PathwayId: R-HSA-6806834
NodeType: Pathway | PathwayName: Signaling by MRAS-complex mutants | PathwayId: R-HSA-9660537
NodeType: Pathway | PathwayName: Signaling by MST1 | PathwayId: R-HSA-8852405
NodeType: Pathway | PathwayName: Signaling by NODAL | PathwayId: R-HSA-1181150
NodeType: Pathway | PathwayName: Signaling by NOTCH | PathwayId: R-HSA-157118
NodeType: Pathway | PathwayName: Signaling by NOTCH1 | PathwayId: R-HSA-1980143
NodeType: Pathway | PathwayName: Signaling by NOTCH1 HD Domain Mutants in Cancer | PathwayId: R-HSA-2691230
NodeType: Pathway | PathwayName: Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer | PathwayId: R-HSA-2894858
NodeType: Pathway | PathwayName: Signaling by NOTCH1 PEST Domain Mutants in Cancer | PathwayId: R-HSA-2644602
NodeType: Pathway | PathwayName: Signaling by NOTCH1 in Cancer | PathwayId: R-HSA-2644603
NodeType: Pathway | PathwayName: Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant | PathwayId: R-HSA-2660825
NodeType: Pathway | PathwayName: Signaling by NOTCH2 | PathwayId: R-HSA-1980145
NodeType: Pathway | PathwayName: Signaling by NOTCH3 | PathwayId: R-HSA-9012852
NodeType: Pathway | PathwayName: Signaling by NOTCH4 | PathwayId: R-HSA-9013694
NodeType: Pathway | PathwayName: Signaling by NTRK1 (TRKA) | PathwayId: R-HSA-187037
NodeType: Pathway | PathwayName: Signaling by NTRK2 (TRKB) | PathwayId: R-HSA-9006115
NodeType: Pathway | PathwayName: Signaling by NTRK3 (TRKC) | PathwayId: R-HSA-9034015
NodeType: Pathway | PathwayName: Signaling by NTRKs | PathwayId: R-HSA-166520
NodeType: Pathway | PathwayName: Signaling by Non-Receptor Tyrosine Kinases | PathwayId: R-HSA-9006927
NodeType: Pathway | PathwayName: Signaling by Nuclear Receptors | PathwayId: R-HSA-9006931
NodeType: Pathway | PathwayName: Signaling by Overexpressed Wild-Type EGFR in Cancer | PathwayId: R-HSA-5638302
NodeType: Pathway | PathwayName: Signaling by PDGF | PathwayId: R-HSA-186797
NodeType: Pathway | PathwayName: Signaling by PDGFR in disease | PathwayId: R-HSA-9671555
NodeType: Pathway | PathwayName: Signaling by PDGFRA extracellular domain mutants | PathwayId: R-HSA-9673770
NodeType: Pathway | PathwayName: Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants | PathwayId: R-HSA-9673767
NodeType: Pathway | PathwayName: Signaling by PTK6 | PathwayId: R-HSA-8848021
NodeType: Pathway | PathwayName: Signaling by RAF1 mutants | PathwayId: R-HSA-9656223
NodeType: Pathway | PathwayName: Signaling by RAS GAP mutants | PathwayId: R-HSA-9753510
NodeType: Pathway | PathwayName: Signaling by RAS GTPase mutants | PathwayId: R-HSA-9753512
NodeType: Pathway | PathwayName: Signaling by RAS mutants | PathwayId: R-HSA-6802949
NodeType: Pathway | PathwayName: Signaling by RNF43 mutants | PathwayId: R-HSA-5340588
NodeType: Pathway | PathwayName: Signaling by ROBO receptors | PathwayId: R-HSA-376176
NodeType: Pathway | PathwayName: Signaling by Receptor Tyrosine Kinases | PathwayId: R-HSA-9006934
NodeType: Pathway | PathwayName: Signaling by Retinoic Acid | PathwayId: R-HSA-5362517
NodeType: Pathway | PathwayName: Signaling by Rho GTPases | PathwayId: R-HSA-194315
NodeType: Pathway | PathwayName: Signaling by Rho GTPases, Miro GTPases and RHOBTB3 | PathwayId: R-HSA-9716542
NodeType: Pathway | PathwayName: Signaling by SCF-KIT | PathwayId: R-HSA-1433557
NodeType: Pathway | PathwayName: Signaling by TCF7L2 mutants | PathwayId: R-HSA-5339700
NodeType: Pathway | PathwayName: Signaling by TGF-beta Receptor Complex | PathwayId: R-HSA-170834
NodeType: Pathway | PathwayName: Signaling by TGF-beta Receptor Complex in Cancer | PathwayId: R-HSA-3304351
NodeType: Pathway | PathwayName: Signaling by TGFB family members | PathwayId: R-HSA-9006936
NodeType: Pathway | PathwayName: Signaling by TGFBR3 | PathwayId: R-HSA-9839373
NodeType: Pathway | PathwayName: Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) | PathwayId: R-HSA-2404192
NodeType: Pathway | PathwayName: Signaling by VEGF | PathwayId: R-HSA-194138
NodeType: Pathway | PathwayName: Signaling by WNT | PathwayId: R-HSA-195721
NodeType: Pathway | PathwayName: Signaling by WNT in cancer | PathwayId: R-HSA-4791275
NodeType: Pathway | PathwayName: Signaling by activated point mutants of FGFR1 | PathwayId: R-HSA-1839122
NodeType: Pathway | PathwayName: Signaling by activated point mutants of FGFR3 | PathwayId: R-HSA-1839130
NodeType: Pathway | PathwayName: Signaling by cytosolic FGFR1 fusion mutants | PathwayId: R-HSA-1839117
NodeType: Pathway | PathwayName: Signaling by cytosolic PDGFRA and PDGFRB fusion proteins | PathwayId: R-HSA-9673766
NodeType: Pathway | PathwayName: Signaling by extracellular domain mutants of KIT | PathwayId: R-HSA-9680187
NodeType: Pathway | PathwayName: Signaling by high-kinase activity BRAF mutants | PathwayId: R-HSA-6802948
NodeType: Pathway | PathwayName: Signaling by juxtamembrane domain KIT mutants | PathwayId: R-HSA-9669935
